Political Affiliation,N,Mean,StdDev,p25,p50,p75
confessional,165,264002.895355543,441345.91162781214,17806,96084.4328780555,326870.964314817
liberal,146,328133.595546057,629125.740091686,19531.822194652526,104174.128958411,302796.2421622502
neutral,2,325062.9691251856,442998.80383280624,168439.24000133242,325062.9691251856,481686.69824903883
socialist,23,201086.16085222046,496883.8818206956,3017.44665451227,13107.465256791,112005.7588971698
