Unnamed: 0,Name,Parliament
16,Gerrit Adrianus de Raadt,1874-1877
17,Gijsbertus Schot,1874-1877
18,Hendrik Jan Smit,1874-1877
19,Charles Theodorus Stork,1874-1877
20,Gerard Regnier Gerlacius van Swinderen,1874-1877
21,Jacobus Thooft,1874-1877
22,Herman Eliza Verschoor,1874-1877
23,Louis Libert Guillaume Marc Villers de Pité,1874-1877
24,Theodorus Pieter Viruly,1874-1877
25,Joost van Vollenhoven,1874-1877
26,Louis Beerenbroek,1874-1877
27,Joan Huydecoper van Maarsseveen,1874-1877
28,Herman Jan Rahusen,1874-1877
29,Cornelis Herman van Rhemen van Rhemenshuizen,1874-1877
30,Carolus Jacobus Antonius van Rijckevorsel,1874-1877
31,Jan Arend Godert de Vos van Steenwijk,1874-1877
32,Hans Willem Aylva baron van Pallandt van Waardenburg en Neerijnen,1874-1877
33,Cornelis Hartsen,1874-1877
34,Evert du Marchie van Voorthuysen,1874-1877
35,Wyncko Johannes Tonckens,1874-1877
36,Johannes Hengst,1874-1877
37,Louis van Sasse van Ysselt,1874-1877
38,Antonius Franciscus Vos de Wael,1874-1877
39,Hendrik Jan Carsten,1874-1877
40,Cornelis Jacob Arnold den Tex,1874-1877
41,Carolus Joannes Pické,1874-1877
42,Willem Anne Assueer Jacob Schimmelpenninck van der Oye,1874-1877
0,Dirk van Akerlaken,1877-1880
1,Adolph Blussé,1877-1880
2,Willem Christiaan Borsius,1877-1880
3,Ernst Christiaan Büchner,1877-1880
4,Hendrik Jan Carsten,1877-1880
5,Hendrikus Albertus Diedericus Coenen,1877-1880
6,Gerard Dumbar,1877-1880
7,Albertus Jacobus Duymaer van Twist,1877-1880
8,Frans Julius Johan van Eysinga,1877-1880
9,Cornelis Jans Geertsema,1877-1880
10,Johan Wilhelm Hein,1877-1880
11,Carel Johan Richard Nobel,1877-1880
12,Carolus Joannes Pické,1877-1880
13,Lodewijk Pincoffs,1877-1880
14,Adrianus Prins,1877-1880
15,Gerrit Adrianus de Raadt,1877-1880
16,Cornelis Herman van Rhemen van Rhemenshuizen,1877-1880
17,Gijsbertus Schot,1877-1880
18,Willem de Sitter,1877-1880
19,Hendrik Jan Smit,1877-1880
20,Charles Theodorus Stork,1877-1880
21,Gerard Regnier Gerlacius van Swinderen,1877-1880
22,Adriaan Volckert Teding van Berkhout,1877-1880
23,Cornelis Jacob Arnold den Tex,1877-1880
24,Jacobus Thooft,1877-1880
25,Louis Libert Guillaume Marc Villers de Pité,1877-1880
26,Theodorus Pieter Viruly,1877-1880
27,Joost van Vollenhoven,1877-1880
28,Johannes Hengst,1877-1880
29,Franciscus Bernardus Hubertus Michiels van Kessenich,1877-1880
30,Louis van Sasse van Ysselt,1877-1880
31,Petrus Johannes Antonius Smitz,1877-1880
32,Antonius Franciscus Vos de Wael,1877-1880
33,Louis Beerenbroek,1877-1880
34,Joan Huydecoper van Maarsseveen,1877-1880
35,Carolus Jacobus Antonius van Rijckevorsel,1877-1880
36,Jan Arend Godert de Vos van Steenwijk,1877-1880
37,Hans Willem Aylva baron van Pallandt van Waardenburg en Neerijnen,1877-1880
38,Evert du Marchie van Voorthuysen,1877-1880
39,Albert Jan Blijdenstein,1877-1880
40,Coos Cremers,1877-1880
41,Frederik Gerrit Edmond Merkes van Gendt,1877-1880
42,Jan Hendrik Frans Karel van Swinderen,1877-1880
43,Louis Gaspard Adrien van Limburg Stirum,1877-1880
44,Albertus van Naamen van Eemnes,1877-1880
45,Gijsbert van Tienhoven,1877-1880
0,Dirk van Akerlaken,1880-1883
1,Albert Jan Blijdenstein,1880-1883
2,Adolph Blussé,1880-1883
3,Willem Christiaan Borsius,1880-1883
4,Ernst Christiaan Büchner,1880-1883
5,Hendrik Jan Carsten,1880-1883
6,Hendrikus Albertus Diedericus Coenen,1880-1883
7,Coos Cremers,1880-1883
8,Albertus Jacobus Duymaer van Twist,1880-1883
9,Frans Julius Johan van Eysinga,1880-1883
10,Isaäc Dignus Fransen van de Putte,1880-1883
11,Louis Gaspard Adrien van Limburg Stirum,1880-1883
12,Frederik Gerhard Edmond Merkes van Gendt,1880-1883
13,Albertus van Naamen van Eemnes,1880-1883
14,Carel Johan Richard Nobel,1880-1883
15,Carolus Joannes Pické,1880-1883
16,Gerrit Adrianus de Raadt,1880-1883
17,Gijsbertus Schot,1880-1883
18,Willem de Sitter,1880-1883
19,Hendrik Jan Smit,1880-1883
20,Charles Theodorus Stork,1880-1883
21,Jan Hendrik Frans Karel van Swinderen,1880-1883
22,Adriaan Volckert Teding van Berkhout,1880-1883
23,Cornelis Jacob Arnold den Tex,1880-1883
24,Jacobus Thooft,1880-1883
25,Gijsbert van Tienhoven,1880-1883
26,Theodorus Pieter Viruly,1880-1883
27,Joost van Vollenhoven,1880-1883
28,Johannes Hengst,1880-1883
29,Franciscus Bernardus Hubertus Michiels van Kessenich,1880-1883
30,Willem Hubert Pyls,1880-1883
31,Louis van Sasse van Ysselt,1880-1883
32,Petrus Johannes Antonius Smitz,1880-1883
33,Antonius Franciscus Vos de Wael,1880-1883
34,Louis Beerenbroek,1880-1883
35,Joan Huydecoper van Maarsseveen,1880-1883
36,Carolus Jacobus Antonius van Rijckevorsel,1880-1883
37,Evert du Marchie van Voorthuysen,1880-1883
38,Willem Anne Assueer Jacob Schimmelpenninck van der Oye,1880-1883
39,Maurits Herman Insinger,1880-1883
40,Doede Doedes Breuning,1880-1883
41,Hendrik Muller Szn.,1880-1883
42,Berend van Roijen,1880-1883
43,Dirk Visser van Hazerswoude,1880-1883
44,Hubert Gérard Louis Regout,1880-1883
45,Johannes Baptista Arnoldus Josephus Maria Verheyen,1880-1883
46,Menso Johannes Pijnappel,1880-1883
0,Dirk van Akerlaken,1883-1884
1,Albert Jan Blijdenstein,1883-1884
2,Adolph Blussé,1883-1884
3,Willem Christiaan Borsius,1883-1884
4,Doede Doedes Breuning,1883-1884
5,Hendrik Jan Carsten,1883-1884
6,Hendrikus Albertus Diedericus Coenen,1883-1884
7,Frans Julius Johan van Eysinga,1883-1884
8,Isaäc Dignus Fransen van de Putte,1883-1884
9,Maurits Herman Insinger,1883-1884
10,Louis Gaspard Adrien van Limburg Stirum,1883-1884
11,Frederik Gerrit Edmond Merkes van Gendt,1883-1884
12,Hendrik Muller Szn.,1883-1884
13,Albertus van Naamen van Eemnes,1883-1884
14,Carel Johan Richard Nobel,1883-1884
15,Carolus Joannes Pické,1883-1884
16,Gerrit Adrianus de Raadt,1883-1884
17,Berend van Roijen,1883-1884
18,Willem de Sitter,1883-1884
19,Charles Theodorus Stork,1883-1884
20,Jan Hendrik Frans Karel van Swinderen,1883-1884
21,Adriaan Volckert Teding van Berkhout,1883-1884
22,Jacobus Thooft,1883-1884
23,Gijsbert van Tienhoven,1883-1884
24,Theodorus Pieter Viruly,1883-1884
25,Dirk Visser van Hazerswoude,1883-1884
