Political Affiliation,N,Mean,StdDev,p25,p50,p75
confessional,78,471575.2451119505,577338.521931859,69136.10191590492,214369.440417886,696749.0275228866
liberal,82,640724.997857409,1052276.2737469347,99277.98002523156,321203.72187419946,681574.7399687995
socialist,3,830340.2323915187,1189981.7731281125,148598.4064528729,296046.25714813,1244935.07070847
