,Name,Parliament
38,Evert du Marchie van Voorthuysen,1877-1880
39,Albert Jan Blijdenstein vanaf 17 september 1878,1877-1880
40,Coos Cremers vanaf 16 september 1879,1877-1880
41,Frederik Gerrit Edmond Merkes van Gendt vanaf 16 september 1879,1877-1880
42,Jan Hendrik Frans Karel van Swinderen vanaf 16 september 1879,1877-1880
43,Louis Gaspard Adrien van Limburg Stirum vanaf 13 april 1880,1877-1880
44,Albertus van Naamen van Eemnes vanaf 20 mei 1880,1877-1880
45,Gijsbert van Tienhoven vanaf 28 juli 1880,1877-1880
0,Dirk van Akerlaken,1880-1883
1,Albert Jan Blijdenstein,1880-1883
2,Adolph Blussé,1880-1883
3,Willem Christiaan Borsius,1880-1883
4,Ernst Christiaan Büchner tot 29 september 1882,1880-1883
5,Hendrik Jan Carsten,1880-1883
6,Hendrikus Albertus Diedericus Coenen,1880-1883
7,Coos Cremers tot 4 maart 1882,1880-1883
8,Albertus Jacobus Duymaer van Twist tot 12 oktober 1881,1880-1883
9,Frans Julius Johan van Eysinga,1880-1883
10,Isaäc Dignus Fransen van de Putte,1880-1883
11,Louis Gaspard Adrien van Limburg Stirum,1880-1883
12,Frederik Gerhard Edmond Merkes van Gendt,1880-1883
13,Albertus van Naamen van Eemnes,1880-1883
14,Carel Johan Richard Nobel,1880-1883
15,Carolus Joannes Pické,1880-1883
16,Gerrit Adrianus de Raadt,1880-1883
17,Gijsbertus Schot tot 18 september 1881,1880-1883
18,Willem de Sitter,1880-1883
19,Hendrik Jan Smit tot 10 mei 1881,1880-1883
20,Charles Theodorus Stork,1880-1883
21,Jan Hendrik Frans Karel van Swinderen,1880-1883
22,Adriaan Volckert Teding van Berkhout,1880-1883
23,Cornelis Jacob Arnold den Tex tot 5 december 1882,1880-1883
24,Jacobus Thooft,1880-1883
25,Gijsbert van Tienhoven,1880-1883
26,Theodorus Pieter Viruly,1880-1883
27,Joost van Vollenhoven,1880-1883
28,Johannes Hengst,1880-1883
29,Franciscus Bernardus Hubertus Michiels van Kessenich tot 31 mei 1881,1880-1883
