Political Affiliation,N,Mean,StdDev,p25,p50,p75
confessional,62,195799.39404970902,329123.0963095474,21193.924637814926,71684.075383586,219146.07251851173
liberal,63,254826.18307197595,451972.0165496172,45771.962863932946,105576.597416143,298577.517935241
neutral,7,26744.121205192285,23695.717370272643,8838.280534675054,24459.0012852606,42524.49826449075
socialist,4,106573.68318288153,103740.62472513177,51885.92357841895,58300.529316912594,112988.28892137518
