"Regio","RegioCode","RegioUitslag","Kandidaat","AantalStemmen","main","side"
"Breda","KD61","Kiesgerechtigden","",3638,1860-06-12,1862-03-11
"Breda","KD61","AantalStembriefjes","",2363,1860-06-12,1862-03-11
"Breda","KD61","Opkomst","",2361,1860-06-12,1862-03-11
"Breda","KD61","AantalGeldigeStemmen","",2341,1860-06-12,1862-03-11
"Breda","KD61","AantalBlancoStemmen","",18,1860-06-12,1862-03-11
"Breda","KD61","","N.R.H. Guljé",1216,1860-06-12,1862-03-11
"Breda","KD61","","mr. P.J.J. Hollingérus Pijpers",1125,1860-06-12,1862-03-11
"Alkmaar","KD34","Kiesgerechtigden","",2871,1860-06-12,1860-06-12
"Alkmaar","KD34","Opkomst","",1103,1860-06-12,1860-06-12
"Alkmaar","KD34","AantalStembriefjes","",1103,1860-06-12,1860-06-12
"Alkmaar","KD34","AantalGeldigeStemmen","",1091,1860-06-12,1860-06-12
"Alkmaar","KD34","AantalBlancoStemmen","",5,1860-06-12,1860-06-12
"Alkmaar","KD34","","jhr.mr. C.van Foreest",525,1860-06-12,1860-06-12
"Alkmaar","KD34","","mr. P. Blussé van Oud-Alblas",507,1860-06-12,1860-06-12
"Alkmaar","KD34","","J.L. Kikkert",45,1860-06-12,1860-06-12
"Almelo","KD15","Kiesgerechtigden","",1876,1860-06-12,1860-06-12
"Almelo","KD15","AantalStembriefjes","",1240,1860-06-12,1860-06-12
"Almelo","KD15","Opkomst","",1239,1860-06-12,1860-06-12
"Almelo","KD15","AantalGeldigeStemmen","",1229,1860-06-12,1860-06-12
"Almelo","KD15","AantalBlancoStemmen","",8,1860-06-12,1860-06-12
"Almelo","KD15","","dr. W.R.baron van Hoëvell",812,1860-06-12,1860-06-12
"Almelo","KD15","","mr. B. Brouwer",320,1860-06-12,1860-06-12
"Almelo","KD15","","mr. A.A.van Wulfften Palthe",44,1860-06-12,1860-06-12
"Almelo","KD15","","S.A.van Hoogstraten",24,1860-06-12,1860-06-12
"Amersfoort","KD26","Kiesgerechtigden","",2763,1860-06-12,1860-06-12
"Amersfoort","KD26","Opkomst","",1070,1860-06-12,1860-06-12
"Amersfoort","KD26","AantalStembriefjes","",1070,1860-06-12,1860-06-12
"Amersfoort","KD26","AantalGeldigeStemmen","",1039,1860-06-12,1860-06-12
"Amersfoort","KD26","AantalBlancoStemmen","",12,1860-06-12,1860-06-12
"Amersfoort","KD26","","mr. J.K.baron van Goltstein",725,1860-06-12,1860-06-12
"Amersfoort","KD26","","jhr.mr. H.A.M.van Asch van Wijck",598,1860-06-12,1860-06-12
"Amersfoort","KD26","","mr. G. Groen van Prinsterer",210,1860-06-12,1860-06-12
"Amersfoort","KD26","","mr. A.W. Engelen",78,1860-06-12,1860-06-12
"Amsterdam","KD72","Kiesgerechtigden","",4318,1860-06-12,1860-06-12
"Amsterdam","KD72","AantalStembriefjes","",1365,1860-06-12,1860-06-12
"Amsterdam","KD72","Opkomst","",1364,1860-06-12,1860-06-12
"Amsterdam","KD72","AantalGeldigeStemmen","",1358,1860-06-12,1860-06-12
"Amsterdam","KD72","AantalBlancoStemmen","",30,1860-06-12,1860-06-12
"Amsterdam","KD72","","mr. J. Heemskerk Azn.",1232,1860-06-12,1860-06-12
"Amsterdam","KD72","","mr. C.van Heukelom",1190,1860-06-12,1860-06-12
"Amsterdam","KD72","","S. Cool",688,1860-06-12,1860-06-12
"Amsterdam","KD72","","W. Poolman",627,1860-06-12,1860-06-12
"Amsterdam","KD72","","jhr.mr. P.J. Teding van Berkhout",144,1860-06-12,1860-06-12
"Amsterdam","KD72","","E.W. Cramerus",143,1860-06-12,1860-06-12
"Appingedam","KD3","Kiesgerechtigden","",3138,1860-06-12,1860-06-12
"Appingedam","KD3","AantalStembriefjes","",823,1860-06-12,1860-06-12
"Appingedam","KD3","Opkomst","",822,1860-06-12,1860-06-12
"Appingedam","KD3","AantalGeldigeStemmen","",805,1860-06-12,1860-06-12
"Appingedam","KD3","AantalBlancoStemmen","",4,1860-06-12,1860-06-12
"Appingedam","KD3","","dr. R. Westerhoff",743,1860-06-12,1860-06-12
"Arnhem","KD17","Kiesgerechtigden","",2774,1860-06-12,1860-06-12
"Arnhem","KD17","Opkomst","",1418,1860-06-12,1860-06-12
"Arnhem","KD17","AantalStembriefjes","",1418,1860-06-12,1860-06-12
"Arnhem","KD17","AantalGeldigeStemmen","",1403,1860-06-12,1860-06-12
"Arnhem","KD17","AantalBlancoStemmen","",7,1860-06-12,1860-06-12
"Arnhem","KD17","","mr. W.baron van Lynden",940,1860-06-12,1860-06-12
"Arnhem","KD17","","jhr.mr. J.G.H.van Tets van Goudriaan",448,1860-06-12,1860-06-12
"Assen","KD5","Kiesgerechtigden","",2356,1860-06-12,1860-06-12
"Assen","KD5","Opkomst","",670,1860-06-12,1860-06-12
"Assen","KD5","AantalStembriefjes","",670,1860-06-12,1860-06-12
"Assen","KD5","AantalGeldigeStemmen","",657,1860-06-12,1860-06-12
"Assen","KD5","AantalBlancoStemmen","",5,1860-06-12,1860-06-12
"Assen","KD5","","mr. L.graaf van Heiden Reinestein",619,1860-06-12,1860-06-12
"Boxmeer","KD75","Kiesgerechtigden","",1103,1860-06-12,1860-06-12
"Boxmeer","KD75","Opkomst","",973,1860-06-12,1860-06-12
"Boxmeer","KD75","AantalStembriefjes","",973,1860-06-12,1860-06-12
"Boxmeer","KD75","AantalGeldigeStemmen","",963,1860-06-12,1860-06-12
"Boxmeer","KD75","AantalBlancoStemmen","",4,1860-06-12,1860-06-12
"Boxmeer","KD75","","H.C.F. Kerstens",632,1860-06-12,1860-06-12
"Boxmeer","KD75","","mr. J.H.L. Haffmans",329,1860-06-12,1860-06-12
"Breda","KD61","Kiesgerechtigden","",3639,1860-06-12,1860-06-12
"Breda","KD61","AantalStembriefjes","",1751,1860-06-12,1860-06-12
"Breda","KD61","Opkomst","",1748,1860-06-12,1860-06-12
"Breda","KD61","AantalGeldigeStemmen","",1736,1860-06-12,1860-06-12
"Breda","KD61","AantalBlancoStemmen","",13,1860-06-12,1860-06-12
"Breda","KD61","","C.W. Oomen",1014,1860-06-12,1860-06-12
"Breda","KD61","","N.R.H. Guljé",675,1860-06-12,1860-06-12
"Delft","KD45","Kiesgerechtigden","",2859,1860-06-12,1860-06-12
"Delft","KD45","AantalStembriefjes","",1420,1860-06-12,1860-06-12
"Delft","KD45","Opkomst","",1419,1860-06-12,1860-06-12
"Delft","KD45","AantalGeldigeStemmen","",1404,1860-06-12,1860-06-12
"Delft","KD45","AantalBlancoStemmen","",15,1860-06-12,1860-06-12
"Delft","KD45","","C. Hoekwater",662,1860-06-12,1860-06-12
"Delft","KD45","","jhr.mr. H.G.C.L. Janssens",606,1860-06-12,1860-06-12
"Delft","KD45","","mr. R.J.C. Metelerkamp",83,1860-06-12,1860-06-12
"Deventer","KD14","Kiesgerechtigden","",1405,1860-06-12,1860-06-12
"Deventer","KD14","Opkomst","",521,1860-06-12,1860-06-12
"Deventer","KD14","AantalStembriefjes","",521,1860-06-12,1860-06-12
"Deventer","KD14","AantalGeldigeStemmen","",477,1860-06-12,1860-06-12
"Deventer","KD14","AantalBlancoStemmen","",37,1860-06-12,1860-06-12
"Deventer","KD14","","mr. J.R. Thorbecke",403,1860-06-12,1860-06-12
"Deventer","KD14","","mr. H.van Loghem",56,1860-06-12,1860-06-12
"Dokkum","KD8","Kiesgerechtigden","",2451,1860-06-12,1860-06-12
"Dokkum","KD8","Opkomst","",662,1860-06-12,1860-06-12
"Dokkum","KD8","AantalStembriefjes","",662,1860-06-12,1860-06-12
"Dokkum","KD8","AantalGeldigeStemmen","",650,1860-06-12,1860-06-12
"Dokkum","KD8","AantalBlancoStemmen","",10,1860-06-12,1860-06-12
"Dokkum","KD8","","M. Kingma Hzn.",564,1860-06-12,1860-06-12
"Dordrecht","KD42","Kiesgerechtigden","",2037,1860-06-12,1860-06-12
"Dordrecht","KD42","Opkomst","",943,1860-06-12,1860-06-12
"Dordrecht","KD42","AantalStembriefjes","",943,1860-06-12,1860-06-12
"Dordrecht","KD42","AantalGeldigeStemmen","",931,1860-06-12,1860-06-12
"Dordrecht","KD42","AantalBlancoStemmen","",11,1860-06-12,1860-06-12
"Dordrecht","KD42","","mr. P. Blussé van Oud-Alblas",414,1860-06-12,1860-06-12
"Dordrecht","KD42","","mr. J.D.van der Poel",285,1860-06-12,1860-06-12
"Dordrecht","KD42","","jhr.mr. H.J.van der Heim",194,1860-06-12,1860-06-12
"Eindhoven","KD60","Kiesgerechtigden","",2121,1860-06-12,1860-06-12
"Eindhoven","KD60","AantalStembriefjes","",1083,1860-06-12,1860-06-12
"Eindhoven","KD60","Opkomst","",1082,1860-06-12,1860-06-12
"Eindhoven","KD60","AantalGeldigeStemmen","",1081,1860-06-12,1860-06-12
"Eindhoven","KD60","AantalBlancoStemmen","",2,1860-06-12,1860-06-12
"Eindhoven","KD60","","mr. J.B. Bots",999,1860-06-12,1860-06-12
"Eindhoven","KD60","","W.van Rekum",37,1860-06-12,1860-06-12
"Goes","KD53","Kiesgerechtigden","",1305,1860-06-12,1860-06-12
"Goes","KD53","Opkomst","",871,1860-06-12,1860-06-12
"Goes","KD53","AantalStembriefjes","",871,1860-06-12,1860-06-12
"Goes","KD53","AantalGeldigeStemmen","",845,1860-06-12,1860-06-12
"Goes","KD53","AantalBlancoStemmen","",8,1860-06-12,1860-06-12
"Goes","KD53","","B.P.G.van Diggelen",569,1860-06-12,1860-06-12
"Goes","KD53","","I.D. Fransen van de Putte",236,1860-06-12,1860-06-12
"Goes","KD53","","J.K.van Baalen",21,1860-06-12,1860-06-12
"Gorinchem","KD41","Kiesgerechtigden","",2868,1860-06-12,1860-06-12
"Gorinchem","KD41","AantalStembriefjes","",1609,1860-06-12,1860-06-12
"Gorinchem","KD41","Opkomst","",1608,1860-06-12,1860-06-12
"Gorinchem","KD41","AantalGeldigeStemmen","",1592,1860-06-12,1860-06-12
"Gorinchem","KD41","AantalBlancoStemmen","",10,1860-06-12,1860-06-12
"Gorinchem","KD41","","mr. A.J. Korteweg",641,1860-06-12,1860-06-12
"Gorinchem","KD41","","jhr.mr. P.J. Elout van Soeterwoude",581,1860-06-12,1860-06-12
"Gorinchem","KD41","","C. Schiffer",333,1860-06-12,1860-06-12
"Gouda","KD40","Kiesgerechtigden","",3102,1860-06-12,1860-06-12
"Gouda","KD40","AantalStembriefjes","",1241,1860-06-12,1860-06-12
"Gouda","KD40","Opkomst","",1240,1860-06-12,1860-06-12
"Gouda","KD40","AantalGeldigeStemmen","",1209,1860-06-12,1860-06-12
"Gouda","KD40","AantalBlancoStemmen","",31,1860-06-12,1860-06-12
"Gouda","KD40","","jhr.mr. W.M.de Brauw",915,1860-06-12,1860-06-12
"Gouda","KD40","","mr. A. Jongkindt Coninck",272,1860-06-12,1860-06-12
"Groningen","KD1","Kiesgerechtigden","",1521,1860-06-12,1860-06-12
"Groningen","KD1","Opkomst","",290,1860-06-12,1860-06-12
"Groningen","KD1","AantalStembriefjes","",290,1860-06-12,1860-06-12
"Groningen","KD1","AantalGeldigeStemmen","",272,1860-06-12,1860-06-12
"Groningen","KD1","AantalBlancoStemmen","",18,1860-06-12,1860-06-12
"Groningen","KD1","","mr. B. Wichers",253,1860-06-12,1860-06-12
"Hoorn","KD35","Kiesgerechtigden","",3786,1860-06-12,1860-06-12
"Hoorn","KD35","AantalStembriefjes","",1005,1860-06-12,1860-06-12
"Hoorn","KD35","Opkomst","",1004,1860-06-12,1860-06-12
"Hoorn","KD35","AantalGeldigeStemmen","",981,1860-06-12,1860-06-12
"Hoorn","KD35","AantalBlancoStemmen","",15,1860-06-12,1860-06-12
"Hoorn","KD35","","mr.dr. P.M. Tutein Nolthenius",641,1860-06-12,1860-06-12
"Hoorn","KD35","","mr. M.J.de Lange",288,1860-06-12,1860-06-12
"Leeuwarden","KD7","Kiesgerechtigden","",2946,1860-06-12,1860-06-12
"Leeuwarden","KD7","Opkomst","",1052,1860-06-12,1860-06-12
"Leeuwarden","KD7","AantalStembriefjes","",1052,1860-06-12,1860-06-12
"Leeuwarden","KD7","AantalGeldigeStemmen","",1039,1860-06-12,1860-06-12
"Leeuwarden","KD7","AantalBlancoStemmen","",12,1860-06-12,1860-06-12
"Leeuwarden","KD7","","mr. J. Dirks",520,1860-06-12,1860-06-12
"Leeuwarden","KD7","","J. Hessels Tacoma",500,1860-06-12,1860-06-12
"Leiden","KD38","Kiesgerechtigden","",2458,1860-06-12,1860-06-12
"Leiden","KD38","AantalStembriefjes","",653,1860-06-12,1860-06-12
"Leiden","KD38","Opkomst","",652,1860-06-12,1860-06-12
"Leiden","KD38","AantalGeldigeStemmen","",620,1860-06-12,1860-06-12
"Leiden","KD38","AantalBlancoStemmen","",7,1860-06-12,1860-06-12
"Leiden","KD38","","mr. R.J.graaf van Schimmelpenninck",433,1860-06-12,1860-06-12
"Leiden","KD38","","mr. N. Olivier",161,1860-06-12,1860-06-12
"Maastricht","KD64","Kiesgerechtigden","",2013,1860-06-12,1860-06-12
"Maastricht","KD64","Opkomst","",815,1860-06-12,1860-06-12
"Maastricht","KD64","AantalStembriefjes","",815,1860-06-12,1860-06-12
"Maastricht","KD64","AantalGeldigeStemmen","",786,1860-06-12,1860-06-12
"Maastricht","KD64","AantalBlancoStemmen","",20,1860-06-12,1860-06-12
"Maastricht","KD64","","mr. P.F.E.van Wintershoven",780,1860-06-12,1860-06-12
"Middelburg","KD51","Kiesgerechtigden","",2496,1860-06-12,1860-06-12
"Middelburg","KD51","Opkomst","",1084,1860-06-12,1860-06-12
"Middelburg","KD51","AantalStembriefjes","",1084,1860-06-12,1860-06-12
"Middelburg","KD51","AantalGeldigeStemmen","",1047,1860-06-12,1860-06-12
"Middelburg","KD51","AantalBlancoStemmen","",9,1860-06-12,1860-06-12
"Middelburg","KD51","","mr. D.van Eck",651,1860-06-12,1860-06-12
"Middelburg","KD51","","jhr.mr. J.G.H.van Tets van Goudriaan",325,1860-06-12,1860-06-12
"Nijmegen","KD23","Kiesgerechtigden","",2506,1860-06-12,1860-06-12
"Nijmegen","KD23","Opkomst","",1196,1860-06-12,1860-06-12
"Nijmegen","KD23","AantalStembriefjes","",1196,1860-06-12,1860-06-12
"Nijmegen","KD23","AantalGeldigeStemmen","",1154,1860-06-12,1860-06-12
"Nijmegen","KD23","AantalBlancoStemmen","",28,1860-06-12,1860-06-12
"Nijmegen","KD23","","jhr. G.E.G.C.K. Dommer van Poldersveldt",1072,1860-06-12,1860-06-12
"Nijmegen","KD23","","mr. C.G.van Sandick",54,1860-06-12,1860-06-12
"Roermond","KD65","Kiesgerechtigden","",1596,1860-06-12,1860-06-12
"Roermond","KD65","Opkomst","",1148,1860-06-12,1860-06-12
"Roermond","KD65","AantalStembriefjes","",1148,1860-06-12,1860-06-12
"Roermond","KD65","AantalGeldigeStemmen","",1122,1860-06-12,1860-06-12
"Roermond","KD65","AantalBlancoStemmen","",10,1860-06-12,1860-06-12
"Roermond","KD65","","mr. M.P.H. Strens",534,1860-06-12,1860-06-12
"Roermond","KD65","","mr. K.L.J. Cornelis",522,1860-06-12,1860-06-12
"Roermond","KD65","","mr. F.H.K.E.baron van Keverberg de Kessel",30,1860-06-12,1860-06-12
"Roermond","KD65","","mr. E.de Ras",23,1860-06-12,1860-06-12
"Rotterdam","KD73","Kiesgerechtigden","",2781,1860-06-12,1860-06-12
"Rotterdam","KD73","Opkomst","",1162,1860-06-12,1860-06-12
"Rotterdam","KD73","AantalStembriefjes","",1162,1860-06-12,1860-06-12
"Rotterdam","KD73","AantalGeldigeStemmen","",1159,1860-06-12,1860-06-12
"Rotterdam","KD73","AantalBlancoStemmen","",3,1860-06-12,1860-06-12
"Rotterdam","KD73","","mr. N. Olivier",528,1860-06-12,1860-06-12
"Rotterdam","KD73","","I.D. Fransen van de Putte",328,1860-06-12,1860-06-12
"Rotterdam","KD73","","mr. P. Mijer",268,1860-06-12,1860-06-12
"'s-Gravenhage","KD74","Kiesgerechtigden","",2041,1860-06-12,1860-06-12
"'s-Gravenhage","KD74","AantalStembriefjes","",989,1860-06-12,1860-06-12
"'s-Gravenhage","KD74","Opkomst","",988,1860-06-12,1860-06-12
"'s-Gravenhage","KD74","AantalGeldigeStemmen","",981,1860-06-12,1860-06-12
"'s-Gravenhage","KD74","AantalBlancoStemmen","",6,1860-06-12,1860-06-12
"'s-Gravenhage","KD74","","jhr.mr. W.T. Gevers Deynoot",588,1860-06-12,1860-06-12
"'s-Gravenhage","KD74","","dr. A. Vrolik",369,1860-06-12,1860-06-12
"'s-Hertogenbosch","KD55","Kiesgerechtigden","",2720,1860-06-12,1860-06-12
"'s-Hertogenbosch","KD55","AantalStembriefjes","",1010,1860-06-12,1860-06-12
"'s-Hertogenbosch","KD55","Opkomst","",1007,1860-06-12,1860-06-12
"'s-Hertogenbosch","KD55","AantalGeldigeStemmen","",994,1860-06-12,1860-06-12
"'s-Hertogenbosch","KD55","AantalBlancoStemmen","",16,1860-06-12,1860-06-12
"'s-Hertogenbosch","KD55","","dr. J.H.H.de Poorter",955,1860-06-12,1860-06-12
"Sneek","KD10","Kiesgerechtigden","",2759,1860-06-12,1860-06-12
"Sneek","KD10","Opkomst","",1076,1860-06-12,1860-06-12
"Sneek","KD10","AantalStembriefjes","",1076,1860-06-12,1860-06-12
"Sneek","KD10","AantalGeldigeStemmen","",850,1860-06-12,1860-06-12
"Sneek","KD10","AantalBlancoStemmen","",17,1860-06-12,1860-06-12
"Sneek","KD10","","mr. S. Wybenga",452,1860-06-12,1860-06-12
"Sneek","KD10","","L. Britzel",378,1860-06-12,1860-06-12
"Steenwijk","KD70","Kiesgerechtigden","",1365,1860-06-12,1860-06-12
"Steenwijk","KD70","Opkomst","",583,1860-06-12,1860-06-12
"Steenwijk","KD70","AantalStembriefjes","",583,1860-06-12,1860-06-12
"Steenwijk","KD70","AantalGeldigeStemmen","",565,1860-06-12,1860-06-12
"Steenwijk","KD70","AantalBlancoStemmen","",7,1860-06-12,1860-06-12
"Steenwijk","KD70","","jhr. C.M. Storm van 's Gravesande",318,1860-06-12,1860-06-12
"Steenwijk","KD70","","J. Zeehuizen",174,1860-06-12,1860-06-12
"Steenwijk","KD70","","mr. G. Groen van Prinsterer",44,1860-06-12,1860-06-12
"Steenwijk","KD70","","J.van Andel",17,1860-06-12,1860-06-12
"Tilburg","KD57","Kiesgerechtigden","",2949,1860-06-12,1860-06-12
"Tilburg","KD57","Opkomst","",1131,1860-06-12,1860-06-12
"Tilburg","KD57","AantalStembriefjes","",1131,1860-06-12,1860-06-12
"Tilburg","KD57","AantalGeldigeStemmen","",1123,1860-06-12,1860-06-12
"Tilburg","KD57","AantalBlancoStemmen","",3,1860-06-12,1860-06-12
"Tilburg","KD57","","mr. C.C.A. Beens",600,1860-06-12,1860-06-12
"Tilburg","KD57","","mr. E.J.H. Borret",487,1860-06-12,1860-06-12
"Utrecht","KD25","Kiesgerechtigden","",2755,1860-06-12,1860-06-12
"Utrecht","KD25","Opkomst","",761,1860-06-12,1860-06-12
"Utrecht","KD25","AantalStembriefjes","",761,1860-06-12,1860-06-12
"Utrecht","KD25","AantalGeldigeStemmen","",742,1860-06-12,1860-06-12
"Utrecht","KD25","AantalBlancoStemmen","",19,1860-06-12,1860-06-12
"Utrecht","KD25","","mr. E.du Marchie van Voorthuysen",704,1860-06-12,1860-06-12
"Zutphen","KD19","Kiesgerechtigden","",2577,1860-06-12,1860-06-12
"Zutphen","KD19","Opkomst","",1454,1860-06-12,1860-06-12
"Zutphen","KD19","AantalStembriefjes","",1454,1860-06-12,1860-06-12
"Zutphen","KD19","AantalGeldigeStemmen","",1418,1860-06-12,1860-06-12
"Zutphen","KD19","AantalBlancoStemmen","",19,1860-06-12,1860-06-12
"Zutphen","KD19","","mr. P.P.van Bosse",1035,1860-06-12,1860-06-12
"Zutphen","KD19","","mr. F.W.J.baron van Pallandt",184,1860-06-12,1860-06-12
"Zutphen","KD19","","mr. H.A. ridder van Rappard",137,1860-06-12,1860-06-12
"Zwolle","KD12","Kiesgerechtigden","",2973,1860-06-12,1860-06-12
"Zwolle","KD12","AantalStembriefjes","",1144,1860-06-12,1860-06-12
"Zwolle","KD12","Opkomst","",1140,1860-06-12,1860-06-12
"Zwolle","KD12","AantalGeldigeStemmen","",1132,1860-06-12,1860-06-12
"Zwolle","KD12","AantalBlancoStemmen","",5,1860-06-12,1860-06-12
"Zwolle","KD12","","mr. P. Mijer",508,1860-06-12,1860-06-12
"Zwolle","KD12","","T.J. Stieltjes",459,1860-06-12,1860-06-12
"Zwolle","KD12","","mr. S.J.van Roijen",121,1860-06-12,1860-06-12
"Tiel","KD71","Kiesgerechtigden","",1598,1860-06-12,1860-10-16
"Tiel","KD71","AantalStembriefjes","",948,1860-06-12,1860-10-16
"Tiel","KD71","Opkomst","",947,1860-06-12,1860-10-16
"Tiel","KD71","AantalGeldigeStemmen","",945,1860-06-12,1860-10-16
"Tiel","KD71","AantalBlancoStemmen","",3,1860-06-12,1860-10-16
"Tiel","KD71","","mr. W.F.C.van Lidt de Jeude",615,1860-06-12,1860-10-16
"Tiel","KD71","","J.C.F.van Hoytema",218,1860-06-12,1860-10-16
"Tiel","KD71","","mr. J.van Lennep",62,1860-06-12,1860-10-16
"Tiel","KD71","","mr. H. Dijckmeester",24,1860-06-12,1860-10-16
"Gouda","KD40","Kiesgerechtigden","",3289,1860-06-12,1861-06-18
"Gouda","KD40","Opkomst","",1073,1860-06-12,1861-06-18
"Gouda","KD40","AantalStembriefjes","",1071,1860-06-12,1861-06-18
"Gouda","KD40","AantalGeldigeStemmen","",1048,1860-06-12,1861-06-18
"Gouda","KD40","AantalBlancoStemmen","",20,1860-06-12,1861-06-18
"Gouda","KD40","","jhr.mr. W.M.de Brauw",954,1860-06-12,1861-06-18
"Roermond","KD65","Kiesgerechtigden","",1596,1860-06-12,1861-04-23
"Roermond","KD65","Opkomst","",1324,1860-06-12,1861-04-23
"Roermond","KD65","AantalStembriefjes","",1324,1860-06-12,1861-04-23
"Roermond","KD65","AantalGeldigeStemmen","",1311,1860-06-12,1861-04-23
"Roermond","KD65","AantalBlancoStemmen","",11,1860-06-12,1861-04-23
"Roermond","KD65","","mr. K.L.J. Cornelis",857,1860-06-12,1861-04-23
"Roermond","KD65","","mr. J.B.J. Hengst",454,1860-06-12,1861-04-23
"Zwolle","KD12","Kiesgerechtigden","",2973,1860-06-12,1861-04-23
"Zwolle","KD12","Opkomst","",1420,1860-06-12,1861-04-23
"Zwolle","KD12","AantalStembriefjes","",1420,1860-06-12,1861-04-23
"Zwolle","KD12","AantalGeldigeStemmen","",1411,1860-06-12,1861-04-23
"Zwolle","KD12","AantalBlancoStemmen","",6,1860-06-12,1861-04-23
"Zwolle","KD12","","mr. J.P.J.A.graaf van Zuylen van Nijevelt",710,1860-06-12,1861-04-23
"Zwolle","KD12","","mr. A.van Naamen van Eemnes",701,1860-06-12,1861-04-23
"Breda","KD61","Kiesgerechtigden","",3638,1860-06-12,1862-02-25
"Breda","KD61","Opkomst","",2065,1860-06-12,1862-02-25
"Breda","KD61","AantalStembriefjes","",2065,1860-06-12,1862-02-25
"Breda","KD61","AantalGeldigeStemmen","",2042,1860-06-12,1862-02-25
"Breda","KD61","AantalBlancoStemmen","",16,1860-06-12,1862-02-25
"Breda","KD61","","N.R.H. Guljé",638,1860-06-12,1862-02-25
"Breda","KD61","","mr. P.J.J. Hollingérus Pijpers",426,1860-06-12,1862-02-25
"Breda","KD61","","mr. D. Mulder",359,1860-06-12,1862-02-25
"Breda","KD61","","mr. J.H.van Mierlo",348,1860-06-12,1862-02-25
"Breda","KD61","","mr. P.J. Verduijn",227,1860-06-12,1862-02-25
"Deventer","KD14","Kiesgerechtigden","",1467,1860-06-12,1862-02-25
"Deventer","KD14","Opkomst","",577,1860-06-12,1862-02-25
"Deventer","KD14","AantalStembriefjes","",577,1860-06-12,1862-02-25
"Deventer","KD14","AantalGeldigeStemmen","",569,1860-06-12,1862-02-25
"Deventer","KD14","AantalBlancoStemmen","",6,1860-06-12,1862-02-25
"Deventer","KD14","","mr. G. Dumbar",537,1860-06-12,1862-02-25
"Rotterdam","KD73","Kiesgerechtigden","",3030,1860-06-12,1862-02-25
"Rotterdam","KD73","Opkomst","",1767,1860-06-12,1862-02-25
"Rotterdam","KD73","AantalStembriefjes","",1767,1860-06-12,1862-02-25
"Rotterdam","KD73","AantalGeldigeStemmen","",1742,1860-06-12,1862-02-25
"Rotterdam","KD73","AantalBlancoStemmen","",19,1860-06-12,1862-02-25
"Rotterdam","KD73","","F.W.C. Blom",1088,1860-06-12,1862-02-25
"Rotterdam","KD73","","mr. J.P.P.baron van Zuylen van Nijevelt",416,1860-06-12,1862-02-25
"Rotterdam","KD73","","mr. E.J.A.graaf van Bylandt",148,1860-06-12,1862-02-25
"Rotterdam","KD73","Kiesgerechtigden","",3030,1860-06-12,1862-02-25
"Rotterdam","KD73","Opkomst","",1769,1860-06-12,1862-02-25
"Rotterdam","KD73","AantalStembriefjes","",1769,1860-06-12,1862-02-25
"Rotterdam","KD73","AantalGeldigeStemmen","",1750,1860-06-12,1862-02-25
"Rotterdam","KD73","AantalBlancoStemmen","",18,1860-06-12,1862-02-25
"Rotterdam","KD73","","I.D. Fransen van de Putte",1115,1860-06-12,1862-02-25
"Rotterdam","KD73","","mr. G. Groen van Prinsterer",296,1860-06-12,1862-02-25
"Rotterdam","KD73","","mr. L.G. Greeve",233,1860-06-12,1862-02-25
"Rotterdam","KD73","","mr. J.P.P.baron van Zuylen van Nijevelt",42,1860-06-12,1862-02-25
"Alkmaar","KD34","Kiesgerechtigden","",2871,1860-06-12,1860-06-26
"Alkmaar","KD34","Opkomst","",1551,1860-06-12,1860-06-26
"Alkmaar","KD34","AantalStembriefjes","",1551,1860-06-12,1860-06-26
"Alkmaar","KD34","AantalGeldigeStemmen","",1545,1860-06-12,1860-06-26
"Alkmaar","KD34","AantalBlancoStemmen","",5,1860-06-12,1860-06-26
"Alkmaar","KD34","","jhr.mr. C.van Foreest",862,1860-06-12,1860-06-26
"Alkmaar","KD34","","mr. P. Blussé van Oud-Alblas",683,1860-06-12,1860-06-26
"Delft","KD45","Kiesgerechtigden","",2859,1860-06-12,1860-06-26
"Delft","KD45","AantalStembriefjes","",2224,1860-06-12,1860-06-26
"Delft","KD45","Opkomst","",2217,1860-06-12,1860-06-26
"Delft","KD45","AantalGeldigeStemmen","",2210,1860-06-12,1860-06-26
"Delft","KD45","AantalBlancoStemmen","",9,1860-06-12,1860-06-26
"Delft","KD45","","C. Hoekwater",1449,1860-06-12,1860-06-26
"Delft","KD45","","jhr.mr. H.G.C.L. Janssens",761,1860-06-12,1860-06-26
"Dordrecht","KD42","Kiesgerechtigden","",2037,1860-06-12,1860-06-26
"Dordrecht","KD42","Opkomst","",1261,1860-06-12,1860-06-26
"Dordrecht","KD42","AantalStembriefjes","",1261,1860-06-12,1860-06-26
"Dordrecht","KD42","AantalGeldigeStemmen","",1251,1860-06-12,1860-06-26
"Dordrecht","KD42","AantalBlancoStemmen","",9,1860-06-12,1860-06-26
"Dordrecht","KD42","","mr. P. Blussé van Oud-Alblas",699,1860-06-12,1860-06-26
"Dordrecht","KD42","","mr. J.D.van der Poel",552,1860-06-12,1860-06-26
"Gorinchem","KD41","Kiesgerechtigden","",2868,1860-06-12,1860-06-26
"Gorinchem","KD41","AantalStembriefjes","",1721,1860-06-12,1860-06-26
"Gorinchem","KD41","Opkomst","",1720,1860-06-12,1860-06-26
"Gorinchem","KD41","AantalGeldigeStemmen","",1690,1860-06-12,1860-06-26
"Gorinchem","KD41","AantalBlancoStemmen","",18,1860-06-12,1860-06-26
