"District","Date","Aanbevolen.door","Aantal.stemmen","Percentage","name"
"Appingedam",1869-06-08,"(AH)*",969,70.0651,"dr. R.  Westerhoff"
"Appingedam",1873-06-10,"(AH)*",939,76.2175,"dr. R.  Westerhoff"
"Sneek",1869-06-08,"AK",386,6.9015,"mr. J.B.  Oosting"
"Assen",1869-06-08,"(AH)*",637,79.2289,"mr. L.  Oldenhuis Gratama"
"Assen",1873-06-10,"(AH)*",775,77.8112,"mr. L.  Oldenhuis Gratama"
"Assen",1877-06-12,"(AH)*",638,77.8999,"mr. L.  Oldenhuis Gratama"
"Assen",1881-06-14,"(AH)*",806,63.8669,"mr. L.  Oldenhuis Gratama"
"Assen",1884-10-28,"(AH)*",1005,34.8112,"mr. L.  Oldenhuis Gratama"
"Steenwijk",1871-06-13,"(AH)*",523,78.1764,"jhr. C.M.  Storm van s Gravesande"
"Arnhem",1869-06-08,"(AH)*",1181,54.3989,"mr. W.H.  Dullert"
"Deventer",1873-06-10,"(AH)*",903,56.5789,"mr. W.H.  Dullert"
"Arnhem",1873-06-10,"(AH)*",1185,53.2824,"mr. W.H.  Dullert"
"Arnhem",1877-06-12,"(AH)*",1382,73.6674,"mr. W.H.  Dullert"
"Nijmegen",1871-06-13,"(DT)*",1206,71.0247,"jhr. J.A.C.A. van Nispen van Sevenaer"
"Den Bosch",1869-06-08,"AK/DT/DZH",1574,70.6463,"mr. F.J.E. van Zinnicq Bergman"
"Den Bosch",1873-06-10,"(DT)*",1474,84.6154,"mr. F.J.E. van Zinnicq Bergman"
"Den Bosch",1877-06-12,"(DT)*",1135,97.6764,"mr. F.J.E. van Zinnicq Bergman"
"Den Bosch",1869-06-08,"(AH)*",649,29.1293,"mr. P.F. van Cooth"
"Breda",1888-04-10,"Lib",596,21.728,"mr. P.F. van Cooth"
"Den Bosch",1879-06-10,"(DT)*",1344,92.562," P.G.J. van der Schrieck"
"Den Bosch",1883-06-12,"(DT)*",1132,91.1433," P.G.J. van der Schrieck"
"Den Bosch",1884-10-28,"(DT)*",1265,45.8666," P.G.J. van der Schrieck"
"Den Bosch",1886-06-15,"(DT)*",1420,43.0564," P.G.J. van der Schrieck"
"Den Bosch",1887-09-01,"(DT)*",1256,46.4497," P.G.J. van der Schrieck"
"Den Bosch",1888-03-06,"Ka",1485,66.4132," P.G.J. van der Schrieck"
"Den Bosch",1891-06-09,"Ka",837,89.3276," P.G.J. van der Schrieck"
"Den Bosch",1881-06-14,"(AH)*",98,6.9209," H.S.J.  Rose"
"Den Bosch",1884-10-28,"(AH)*",88,3.1907," H.S.J.  Rose"
"Amsterdam",1888-03-06,"Lib",5415,3.863,"mr. J.D.  Veegens"
"Tilburg",1888-03-06,"Lib",76,5.3786,"mr. J.D.  Veegens"
"Groningen",1888-03-06,"Lib",2372,23.5738,"mr. J.D.  Veegens"
"Amsterdam",1888-03-20,"Lib",728,12.6896,"mr. J.D.  Veegens"
"Groningen",1888-03-20,"Lib",3738,67.0133,"mr. J.D.  Veegens"
"Groningen",1891-06-09,"Lib",2387,30.9437,"mr. J.D.  Veegens"
"Groningen",1894-04-10,"Lib(VT)",2123,31.9392,"mr. J.D.  Veegens"
"Hoogezand",1897-06-15,"Lib",1705,47.2823,"mr. J.D.  Veegens"
"Hoogezand",1897-06-25,"Lib(CHK)",2800,64.2939,"mr. J.D.  Veegens"
"Hoogezand",1901-06-14,"Lib(VL)",1016,28.1909,"mr. J.D.  Veegens"
"Amsterdam VII",1909-06-11,"VD",221,5.8667,"mr. J.D.  Veegens"
"Groningen",1888-03-06,"AR(Ka)",1643,16.3288," A.  Brummelkamp jr."
"Groningen",1888-03-20,"AR(Ka)",1840,32.9867," A.  Brummelkamp jr."
"Wolvega",1891-06-09,"AR(Ka)",737,35.2463," A.  Brummelkamp jr."
"Veendam",1891-06-09,"AR",518,32.2741," A.  Brummelkamp jr."
"Groningen",1891-06-09,"AR(Ka)",1103,14.2987," A.  Brummelkamp jr."
"Winschoten",1891-06-09,"AR",292,13.0824," A.  Brummelkamp jr."
"Groningen",1891-06-23,"AR",1318,33.3924," A.  Brummelkamp jr."
"Wolvega",1891-06-23,"AR",919,43.5545," A.  Brummelkamp jr."
"Veendam",1891-06-23,"AR",607,31.2887," A.  Brummelkamp jr."
"Veendam",1891-07-09,"AR",317,17.2002," A.  Brummelkamp jr."
"Franeker",1894-04-10,"AR(VT)",806,37.4884," A.  Brummelkamp jr."
"Zwolle",1894-04-10,"AR(VT)",885,38.0482," A.  Brummelkamp jr."
"Groningen",1894-04-10,"AR(VT)",582,8.7558," A.  Brummelkamp jr."
"Rotterdam",1894-04-10,"AR(VT)",543,2.1834," A.  Brummelkamp jr."
"Utrecht",1894-04-10,"AR(VT)",1029,28.3706," A.  Brummelkamp jr."
"Utrecht",1894-05-15,"AR(VT)",556,22.2133," A.  Brummelkamp jr."
"Zwolle",1897-06-15,"AR",545,11.6007," A.  Brummelkamp jr."
"Loosduinen",1897-06-15,"AR",1603,27.0229," A.  Brummelkamp jr."
"Utrecht II",1897-06-15,"AR",396,11.5891," A.  Brummelkamp jr."
"Groningen",1897-06-15,"AR(Ka)",1005,23.2908," A.  Brummelkamp jr."
"Loosduinen",1897-06-25,"AR",3017,55.5822," A.  Brummelkamp jr."
"Loosduinen",1901-06-14,"AR",1817,33.8866," A.  Brummelkamp jr."
"Loosduinen",1901-06-27,"AR(VA)",2642,51.4709," A.  Brummelkamp jr."
"Amsterdam",1888-03-06,"Rad",488,0.3481," J.A.  Nieuwenhuis"
"Dokkum",1888-03-06,"Rad",64,2.2695," J.A.  Nieuwenhuis"
"Groningen",1888-03-06,"Rad",935,9.2924," J.A.  Nieuwenhuis"
"Groningen",1891-06-09,"Rad",904,11.719,"dr. A.L.  Poelman"
"Amsterdam",1891-06-09,"AKS",504,0.4226," F. van der Goes"
"Groningen",1891-06-09,"V",92,1.1926," F. van der Goes"
"Amsterdam III",1897-06-15,"SDAP",270,9.6636," F. van der Goes"
"Rotterdam V",1897-06-15,"SDAP",61,2.2993," F. van der Goes"
"Groningen",1897-06-15,"SDAP",215,4.9826," F. van der Goes"
"Zutphen",1905-06-16,"SDAP",623,8.3289," F. van der Goes"
"Rotterdam III",1905-06-16,"SDAP",204,5.2987," F. van der Goes"
"Deventer",1905-06-16,"SDAP",222,3.4606," F. van der Goes"
"Leiden",1905-06-16,"SDAP",194,3.6187," F. van der Goes"
"Amersfoort",1905-06-16,"SDAP",330,3.8751," F. van der Goes"
"Groningen",1894-04-10,"AR(VT)",508,7.6425," J.  Haspers"
"Appingedam",1888-03-06,"Prot",137,4.4208," A.M.  Prins"
"Groningen",1888-03-06,"Prot",103,1.0237," A.M.  Prins"
"Zuidhorn",1888-03-06,"Rad",341,12.2004,"dr. J.H.  Smit"
"Zuidhorn",1888-03-06,"Lib",129,4.6154," E.  Warmolts"
"Zuidhorn",1891-06-09,"Lib",1265,55.8499," G.  Zijlma"
"Zuidhorn",1894-04-10,"Lib(VT)",1015,96.9436," G.  Zijlma"
"Zuidhorn",1897-06-15,"Lib",1373,30.0372," G.  Zijlma"
"Zuidhorn",1897-06-25,"Lib(CHK)",3022,56.6342," G.  Zijlma"
"Zuidhorn",1901-06-14,"Lib(VL)",1880,39.4958," G.  Zijlma"
"Zuidhorn",1901-06-27,"Lib(VL/VD/SDAP)",2811,53.9125," G.  Zijlma"
"Zuidhorn",1905-06-16,"Lib",2726,38.6831," G.  Zijlma"
"Zuidhorn",1905-06-28,"Lib(VL)",3950,54.3105," G.  Zijlma"
"Meppel",1888-03-06,"AR",873,40.0275," M.  Noordtzij"
"Amsterdam",1891-06-09,"AR(Ka)",2240,1.8782," M.  Noordtzij"
"Zuidhorn",1891-06-09,"AR",882,38.9404," M.  Noordtzij"
"Kampen",1891-06-09,"AR",1475,62.4471," M.  Noordtzij"
"Kampen",1905-06-16,"AR(Ka)",2358,39.1825," M.  Noordtzij"
"Kampen",1905-06-28,"AR(Ka/CHP/FCH)",3127,49.3451," M.  Noordtzij"
"Winschoten",1888-03-06,"AR",512,20.3417," P.  Dijkhuis"
"Winschoten",1897-07-27,"AR",436,11.2516," P.  Dijkhuis"
"Winschoten",1891-06-09,"Rad",725,32.4821," B.L.  Tijdens"
"Winschoten",1894-04-10,"Lib(VT)",995,89.6396," B.L.  Tijdens"
"Winschoten",1897-06-15,"Rad",1032,24.1065," B.L.  Tijdens"
"Winschoten",1897-07-27,"Rad",1208,31.1742," B.L.  Tijdens"
"Winschoten",1897-08-03,"Rad",2233,50.7269," B.L.  Tijdens"
"Winschoten",1901-06-14,"Lib",335,8.6273," B.L.  Tijdens"
"Amsterdam",1888-03-06,"Soc",547,0.3902," W.P.G.  Helsdingen"
"Hoorn",1888-03-06,"Soc",110,3.5245," W.P.G.  Helsdingen"
"Assen",1891-06-09,"V",77,6.7544," W.P.G.  Helsdingen"
"Hoorn",1891-06-09,"V",245,11.6334," W.P.G.  Helsdingen"
"Veendam",1891-06-09,"V",240,14.9533," W.P.G.  Helsdingen"
"Breda",1891-06-09,"V",37,2.3183," W.P.G.  Helsdingen"
"Veendam",1897-06-15,"SDAP",465,10.3911," W.P.G.  Helsdingen"
"Amsterdam II",1897-06-15,"SDAP",86,5.8543," W.P.G.  Helsdingen"
"Almelo",1897-06-15,"SDAP",435,6.5999," W.P.G.  Helsdingen"
"Zuidhorn",1897-06-15,"SDAP",208,4.5504," W.P.G.  Helsdingen"
"Rotterdam IV",1897-06-15,"SDAP",98,3.0406," W.P.G.  Helsdingen"
"Schiedam",1901-06-14,"SDAP",518,11.6877," W.P.G.  Helsdingen"
"Lochem",1901-06-14,"SDAP",792,13.2663," W.P.G.  Helsdingen"
"Rotterdam IV",1901-06-14,"SDAP",210,6.654," W.P.G.  Helsdingen"
"Doetinchem",1901-06-14,"SDAP",312,4.0227," W.P.G.  Helsdingen"
"Groningen",1901-06-14,"SDAP",704,13.5802," W.P.G.  Helsdingen"
"Rotterdam III",1901-06-14,"SDAP",166,6.5124," W.P.G.  Helsdingen"
"Lochem",1901-08-13,"SDAP",1650,46.5707," W.P.G.  Helsdingen"
"Lochem",1901-08-20,"SDAP",2518,50.2294," W.P.G.  Helsdingen"
"Lochem",1905-06-16,"SDAP",2198,27.0856," W.P.G.  Helsdingen"
"Arnhem",1905-06-16,"SDAP",612,10.217," W.P.G.  Helsdingen"
"Zutphen",1905-08-01,"SDAP",925,13.613," W.P.G.  Helsdingen"
"Arnhem",1905-09-07,"SDAP",960,19.1349," W.P.G.  Helsdingen"
"Amsterdam",1891-06-09,"Am",2267,1.9008,"mr. M.W.F.  Treub"
"Schoterland",1891-06-09,"Lib",607,27.1224,"mr. M.W.F.  Treub"
"Schoterland",1891-06-23,"Lib",1114,54.7959,"mr. M.W.F.  Treub"
"Hoorn",1891-09-10,"Rad",860,35.0591,"mr. M.W.F.  Treub"
"Hoorn",1891-09-24,"Rad(Ka)",1516,45.5666,"mr. M.W.F.  Treub"
"Amsterdam",1894-04-10,"Rad(VT)
               Rad(VT)",4139,5.0466,"mr. M.W.F.  Treub"
"Alkmaar",1894-04-10,"Rad(VT)
               Rad(VT)",1205,38.4493,"mr. M.W.F.  Treub"
"Assen",1894-04-10,"Rad(VT)",486,35.2429,"mr. M.W.F.  Treub"
"Utrecht II",1905-06-16,"VD",507,9.67,"mr. M.W.F.  Treub"
"Assen",1905-06-16,"VD",2869,68.2445,"mr. M.W.F.  Treub"
"Leiden",1905-06-16,"VD",151,2.8166,"mr. M.W.F.  Treub"
"Leeuwarden",1905-06-16,"VD",343,5.4618,"mr. M.W.F.  Treub"
"Assen",1909-06-11,"VD",1892,43.1865,"mr. M.W.F.  Treub"
"Assen",1909-06-23,"VD(Lib/SDAP/Ka)",3343,69.4145,"mr. M.W.F.  Treub"
"Veendam",1894-04-10,"Lib(VT)",876,93.4899,"mr. E.A.  Smidt"
"Veendam",1897-06-15,"Lib",2325,51.9553,"mr. E.A.  Smidt"
"Amsterdam III",1901-06-14,"VD",482,11.3599,"mr. E.A.  Smidt"
"Utrecht II",1901-06-14,"VD",151,4.3081,"mr. E.A.  Smidt"
"Utrecht I",1901-06-14,"VD",672,13.4588,"mr. E.A.  Smidt"
"Veendam",1901-07-30,"VD",1357,33.3579,"mr. E.A.  Smidt"
"Veendam",1901-08-07,"VD(AR)",2687,53.9667,"mr. E.A.  Smidt"
"Veendam",1905-06-16,"VD",2340,38.43,"mr. E.A.  Smidt"
"Veendam",1905-06-28,"VD(VL/Lib)",4220,66.1028,"mr. E.A.  Smidt"
"Veendam",1909-06-11,"VD",2037,32.9452,"mr. E.A.  Smidt"
"Veendam",1909-06-23,"VD(VL/Lib/SDAP)",3826,63.2606,"mr. E.A.  Smidt"
"Franeker",1891-06-09,"AR",1011,32.878," P. van Vliet"
"Leeuwarden",1891-06-09,"AR",455,18.5639," P. van Vliet"
"Franeker",1891-06-23,"AR",1527,45.9525," P. van Vliet"
"Schoterland",1891-07-09,"AR",771,43.1208," P. van Vliet"
"Schoterland",1891-07-21,"AR",1062,48.9852," P. van Vliet"
"Hoorn",1891-09-10,"AR",91,3.7097," P. van Vliet"
"Dokkum",1894-04-10,"AR(VT)",1008,41.6185," P. van Vliet"
"Dokkum",1894-04-24,"AR(VT)",1157,46.5406," P. van Vliet"
"Weststellingwerf",1897-06-15,"AR(Ka)",948,31.0718," P. van Vliet"
"Assen",1897-06-15,"AR",581,15.2373," P. van Vliet"
"Rheden",1897-06-15,"AR",1152,23.3482," P. van Vliet"
"Almelo",1897-06-15,"AR",1295,19.648," P. van Vliet"
"Weststellingwerf",1897-06-25,"AR(Ka)",1404,39.2398," P. van Vliet"
"Enschede",1897-08-17,"AR",256,3.2262," P. van Vliet"
"Assen",1901-06-14,"AR(Ka/VA)",481,24.6793," P. van Vliet"
"Doetinchem",1901-06-14,"AR(Ka)",4354,56.1372," P. van Vliet"
"Doetinchem",1905-06-16,"AR(Ka/CHP)",5858,56.7196," P. van Vliet"
"Doetinchem",1909-06-11,"AR(Ka/CHU)",6181,61.1254," P. van Vliet"
"Doetinchem",1913-06-17,"AR(Ka/CHU)",6078,50.6078," P. van Vliet"
"Doetinchem",1917-06-15,"AR",NA,NA," P. van Vliet"
"Assen",1894-04-10,"Lib(VT)",711,51.5591,"mr. J.J.  Willinge"
"Assen",1897-06-15,"Lib",2200,57.6974,"mr. J.J.  Willinge"
"Assen",1901-06-14,"Lib(VL)",1468,75.3207,"mr. J.J.  Willinge"
"Assen",1894-04-10,"Lib(TT)",159,11.5301," J.  Doornbos"
"Emmen",1888-03-06,"AR",502,35.9857,"jhr.mr. H.M.J. van Asch van Wijck"
"Utrecht",1891-06-09,"AR(Ka)",1574,44.1639,"jhr.mr. H.M.J. van Asch van Wijck"
"Wijk bij Duurstede",1897-06-15,"AR(Ka)",3517,59.1391,"jhr.mr. H.M.J. van Asch van Wijck"
"Wijk bij Duurstede",1901-06-14,"AR(Ka)",3091,69.0881,"jhr.mr. H.M.J. van Asch van Wijck"
"Emmen",1891-09-10,"Lib",599,58.439,"dr. P.H.  Roessingh"
"Emmen",1894-04-10,"Lib(VT)",492,97.0414,"dr. P.H.  Roessingh"
"Emmen",1897-06-15,"Lib",2769,79.341,"dr. P.H.  Roessingh"
"Emmen",1901-06-14,"Lib(VL)",1854,82.8048,"dr. P.H.  Roessingh"
"Emmen",1905-06-16,"Lib",4140,67.7245,"dr. P.H.  Roessingh"
"Emmen",1909-06-11,"Lib(VL)",4116,63.3426,"dr. P.H.  Roessingh"
"Emmen",1891-09-10,"AR",177,17.2683," J.P.  Havelaar"
"Emmen",1891-09-10,"Lib",107,10.439," W.  Tijmes"
"Leeuwarden",1888-03-06,"AR(Ka)",702,27.6269," W.C. van Munster"
"Leeuwarden",1897-06-15,"AR",580,14.6835," W.C. van Munster"
"Leeuwarden",1897-07-27,"AR(Ka)",856,23.3306," W.C. van Munster"
"Leeuwarden",1891-06-09,"V",620,25.2958," D. de Clercq"
"Den Helder",1891-06-09,"V",62,4.3754," D. de Clercq"
"Amsterdam",1888-03-06,"Rad",2476,1.7664," C.V.  Gerritsen"
"Alkmaar",1891-06-09,"V",453,13.304," C.V.  Gerritsen"
"Amsterdam",1891-06-09,"Am(AKS)",2416,2.0258," C.V.  Gerritsen"
"Leeuwarden",1894-04-10,"Rad(VT)",1136,66.9811," C.V.  Gerritsen"
"Wijk bij Duurstede",1897-06-15,"Rad",145,2.4382," C.V.  Gerritsen"
"Leeuwarden",1897-06-15,"Rad",1213,30.7089," C.V.  Gerritsen"
"Amsterdam III",1897-06-15,"Rad",626,22.4052," C.V.  Gerritsen"
"Leeuwarden",1897-06-25,"Rad(Lib)",1803,49.0612," C.V.  Gerritsen"
"Winschoten",1897-07-27,"Rad",1050,27.0968," C.V.  Gerritsen"
"Amsterdam VI",1897-08-17,"Rad",679,28.7225," C.V.  Gerritsen"
"Schoterland",1905-06-16,"VD",1330,27.9588," C.V.  Gerritsen"
"Den Helder",1905-06-16,"VD",3111,51.0335," C.V.  Gerritsen"
"Wolvega",1891-06-09,"V",535,25.5858," G.L. van der Zwaag"
"Wolvega",1894-04-10,"Rad(VT)",206,21.7759," G.L. van der Zwaag"
"Schoterland",1894-04-10,"Rad(VT)",76,8.1458," G.L. van der Zwaag"
"Weststellingwerf",1897-06-15,"SDAP",694,22.7466," G.L. van der Zwaag"
"Schoterland",1897-06-15,"SDAP",1344,39.1494," G.L. van der Zwaag"
"Schoterland",1897-06-25,"SDAP",1941,54.0367," G.L. van der Zwaag"
"Weststellingwerf",1901-06-14,"SDAP",1222,37.3016," G.L. van der Zwaag"
"Schoterland",1901-06-14,"SDAP",1704,46.6849," G.L. van der Zwaag"
"Schoterland",1901-06-27,"SDAP(VD)",2168,59.9392," G.L. van der Zwaag"
"Weststellingwerf",1901-06-27,"SDAP(VD)",1984,56.2199," G.L. van der Zwaag"
"Schoterland",1905-06-16,"SDAP",2085,43.8301," G.L. van der Zwaag"
"Schoterland",1905-06-28,"SDAP(Lib/VD)",3172,63.8872," G.L. van der Zwaag"
"Bergum",1888-03-06,"Rad",95,3.4811," O.  Stellingwerf"
"Harlingen",1891-06-09,"V",204,7.0662," O.  Stellingwerf"
"Harlingen",1894-04-10,"Lib(VT)",925,37.3888," A.  Bouman"
"Harlingen",1894-04-24,"Lib(VT)",1335,54.0049," A.  Bouman"
"Harlingen",1897-06-15,"Lib",1019,23.4847," A.  Bouman"
"Harlingen",1897-06-25,"Lib(CHK)",2472,52.3396," A.  Bouman"
"Harlingen",1901-06-14,"Lib(VL)",2332,43.9337," A.  Bouman"
"Franeker",1888-03-06,"AR(Ka)",1342,43.4304," L.W. de Vries"
"Schoterland",1888-03-06,"AR(Ka)",587,24.1068," L.W. de Vries"
"Franeker",1888-03-20,"AR(Ka)",1511,44.3238," L.W. de Vries"
"Bergum",1891-06-09,"AR",1294,49.1082," L.W. de Vries"
"Bergum",1891-06-23,"AR",1363,47.3593," L.W. de Vries"
"Tietjerksteradeel",1897-06-15,"CHK(VA)",392,9.2235," L.W. de Vries"
"Franeker",1897-06-15,"VA",532,14.4526," L.W. de Vries"
"Sneek",1891-06-09,"Lib",892,32.6023," H.  Pyttersen"
"Schoterland",1894-04-10,"Lib(VT)",834,89.3891," H.  Pyttersen"
"Schoterland",1897-06-15,"Lib",994,28.9543," H.  Pyttersen"
"Schoterland",1897-06-25,"Lib",1651,45.9633," H.  Pyttersen"
"Leeuwarden",1897-07-27,"Lib",1399,38.1303," H.  Pyttersen"
"Leeuwarden",1897-08-03,"Lib(CHK)",1941,53.7822," H.  Pyttersen"
"Leeuwarden",1901-06-14,"Lib(VL)",1439,30.4679," H.  Pyttersen"
"Leeuwarden",1901-06-27,"Lib(VL/Ka/VA)",2148,47.5326," H.  Pyttersen"
"Amsterdam",1891-06-09,"AKS",578,0.4846," A.H.  Gerhard"
"Zwolle",1891-06-09,"AKS",116,4.2274," A.H.  Gerhard"
"Arnhem",1891-06-09,"AKS",170,8.2484," A.H.  Gerhard"
"Sneek",1891-06-09,"V",192,7.0175," A.H.  Gerhard"
"Haarlem",1891-06-09,"AKS",80,4.0942," A.H.  Gerhard"
"Enschede",1891-06-09,"Soc",54,2.5," A.H.  Gerhard"
"Enkhuizen",1901-06-14,"SDAP",244,3.322," A.H.  Gerhard"
"Amsterdam IX",1901-06-14,"SDAP",877,19.5019," A.H.  Gerhard"
"Amsterdam V",1905-06-16,"SDAP",1476,18.5334," A.H.  Gerhard"
"Den Haag II",1905-06-16,"SDAP",537,7.1457," A.H.  Gerhard"
"Den Helder",1905-06-16,"SDAP",218,3.5761," A.H.  Gerhard"
"Nijmegen",1905-06-16,"SDAP",763,20.5994," A.H.  Gerhard"
"Amsterdam VI",1909-06-11,"SDAP",402,9.4677," A.H.  Gerhard"
"Alkmaar",1913-06-17,"SDAP",1603,14.9408," A.H.  Gerhard"
"Amsterdam V",1913-06-17,"SDAP",3995,31.2207," A.H.  Gerhard"
"Deventer",1913-06-17,"SDAP",935,13.8642," A.H.  Gerhard"
"Amsterdam I",1913-06-17,"SDAP",768,19.7024," A.H.  Gerhard"
"Amsterdam V",1913-06-25,"SDAP",4753,44.9882," A.H.  Gerhard"
"Amsterdam II",1913-07-22,"SDAP",1532,45.9784," A.H.  Gerhard"
"Amsterdam II",1913-07-29,"SDAP",1675,60.9756," A.H.  Gerhard"
"Amsterdam II",1917-06-15,"SDAP",885,49.0576," A.H.  Gerhard"
"Amsterdam II",1917-06-22,"SDAP",1292,58.9954," A.H.  Gerhard"
"Sneek",1894-04-10,"AR(VT)",1008,42.3352," H.  Pollema"
"Sneek",1894-04-24,"AR(VT)",1165,48.9496," H.  Pollema"
"Dokkum",1897-06-15,"AR",1969,48.6533," H.  Pollema"
"Dokkum",1897-06-25,"AR(Ka)",2304,48.7929," H.  Pollema"
"Gorinchem",1909-06-11,"AR(Ka/CHU)",3806,52.087," H.  Pollema"
"Haarlem",1891-06-09,"Lib",620,31.7298,"mr. J.A. van Gilse"
"Rotterdam",1894-04-10,"Lib(VT)",902,3.627,"mr. J.A. van Gilse"
"Alkmaar",1894-04-10,"Lib(VT)",483,15.4116,"mr. J.A. van Gilse"
"Brielle",1894-04-10,"Lib(VT)",165,7.3925,"mr. J.A. van Gilse"
"Sneek",1894-05-11,"Lib(VT)",857,35.0655,"mr. J.A. van Gilse"
"Sneek",1894-05-25,"Lib(VT)",1147,47.26,"mr. J.A. van Gilse"
"Sneek",1897-06-15,"Lib",1423,31.4962,"mr. J.A. van Gilse"
"Sneek",1897-06-25,"Lib(CHK)",2452,50.0102,"mr. J.A. van Gilse"
"Amsterdam IX",1901-06-14,"VD",799,17.7674,"mr. J.A. van Gilse"
"Zwolle",1905-06-16,"VD",2394,39.1624,"mr. J.A. van Gilse"
"Schoterland",1891-06-09,"Lib",294,13.1367," J.C. van den Berg"
"Dokkum",1891-06-09,"V",143,5.3259," J.  Stoffel"
"Deventer",1894-04-10,"Rad(VT)",751,34.7043," J.  Stoffel"
"Deventer",1897-06-15,"Rad",1643,27.6553," J.  Stoffel"
"Deventer",1897-06-25,"Rad",3248,59.0116," J.  Stoffel"
"Deventer",1917-06-15,"AG",1525,32.8239," J.  Stoffel"
"Dokkum",1894-04-10,"Lib(VT)",1027,42.403,"mr. E.  Schaafsma"
"Dokkum",1894-04-24,"Lib(VT)",1329,53.4594,"mr. E.  Schaafsma"
"Dokkum",1897-06-15,"Lib",1650,40.7709,"mr. E.  Schaafsma"
"Dokkum",1897-06-25,"Lib(CHK)",2418,51.2071,"mr. E.  Schaafsma"
"Dokkum",1901-06-14,"Lib(VL)",1420,28.9029,"mr. E.  Schaafsma"
"Dokkum",1905-06-16,"Lib",2362,36.2994,"mr. E.  Schaafsma"
"Bergum",1888-03-06,"AR(Ka)",1374,50.3481," O.T.  Bosgra"
"Amsterdam",1888-03-06,"Soc",277,0.1976," J.A.  Fortuyn"
"Bergum",1891-06-09,"Soc",129,4.8956," J.A.  Fortuyn"
"Amsterdam",1891-06-09,"AKS",436,0.3656," J.A.  Fortuyn"
"Amsterdam VII",1897-06-15,"SDAP",168,6.9652," J.A.  Fortuyn"
"Amsterdam IX",1897-06-15,"SDAP",251,7.4151," J.A.  Fortuyn"
"Amsterdam VI",1905-06-16,"SDAP",181,4.1221," J.A.  Fortuyn"
"Wolvega",1891-06-09,"Lib",804,38.4505," W.M.  Houwing"
"Wolvega",1891-06-23,"Lib",1191,56.4455," W.M.  Houwing"
"Wolvega",1894-04-10,"Lib(VT)",694,73.3615," W.M.  Houwing"
"Weststellingwerf",1897-06-15,"Lib",1409,46.1816," W.M.  Houwing"
"Weststellingwerf",1897-06-25,"Lib(CHK)",2174,60.7602," W.M.  Houwing"
"Steenwijk",1894-04-10,"AR(VT)",630,28.7147," A.  Wiersinga"
"Meppel",1897-06-15,"AR",1207,28.541," A.  Wiersinga"
"Winschoten",1897-06-15,"AR",618,14.4359," A.  Wiersinga"
"Hoogezand",1897-06-15,"AR",1380,38.2696," A.  Wiersinga"
"Hoogezand",1897-06-25,"AR",1594,36.6016," A.  Wiersinga"
"Meppel",1891-06-09,"AR",811,40.2681," B.  Berends"
"Meppel",1909-06-11,"CHU(Ka/AR)",2323,40.1973," B.  Berends"
"Ommen",1913-06-17,"CHU",60,0.6613," B.  Berends"
"Kampen",1888-03-06,"Lib",938,40.6412,"mr. T.  Ruijs"
"Kampen",1891-06-09,"Lib",876,37.0872,"mr. T.  Ruijs"
"Ommen",1891-06-09,"Lib",845,41.2195,"jhr. E. van Weede van Dijkveld"
"Ommen",1891-06-23,"Lib",976,45.7143,"jhr. E. van Weede van Dijkveld"
"Ommen",1888-03-06,"Lib",844,42.4975,"jhr. G.J. van der Wijck"
"Ommen",1888-04-04,"Lib",833,39.7234,"jhr. G.J. van der Wijck"
"Deventer",1891-06-09,"Ka",380,20.5073,"mr. J.H.A.M.  Essink"
"Ommen",1891-06-09,"Ka",436,21.2683,"mr. J.H.A.M.  Essink"
"Enschede",1891-06-09,"Ka",853,39.4907,"mr. J.H.A.M.  Essink"
"Enschede",1891-06-23,"Ka(AR)",1078,48.6462,"mr. J.H.A.M.  Essink"
"Almelo",1888-03-06,"Lib",453,24.7001," W.J.  Geertsema"
"Enschede",1888-03-06,"Lib",939,50.2408," W.J.  Geertsema"
"Enschede",1891-06-09,"Lib",965,44.6759," W.J.  Geertsema"
"Enschede",1891-06-23,"Lib",1138,51.3538," W.J.  Geertsema"
"Amsterdam VI",1897-08-17,"Lib",774,32.7411," W.J.  Geertsema"
"Amsterdam VI",1897-08-24,"Lib",1225,48.0392," W.J.  Geertsema"
"Almelo",1891-06-09,"Lib",827,42.2586," W.H.  Dikkers"
"Enschede",1891-06-09,"Lib",117,5.4167,"mr. A.D. van Assendelft de Coningh"
"Katwijk",1894-05-11,"Lib(VT)",251,7.4085,"mr. A.D. van Assendelft de Coningh"
"Ridderkerk",1897-06-15,"Lib + protectionist",199,5.3653,"mr. A.D. van Assendelft de Coningh"
"Brielle",1897-06-15,"Lib + protectionist",342,8.0188,"mr. A.D. van Assendelft de Coningh"
"Enschede",1894-04-10,"Lib(VT)
               Lib(VT)",722,37.3127,"mr. R.E.  Hattink"
"Deventer",1891-06-09,"AR",141,7.6093,"mr. F.G. van Marle"
"Lochem",1888-03-06,"Lib",1394,48.7754,"jhr.mr. J.G.  ridder van Rappard"
"Elst",1888-03-06,"Lib",708,25.0177,"jhr.mr. J.G.  ridder van Rappard"
"Wijk bij Duurstede",1901-06-14,"Lib(VL)",1015,22.6866,"jhr.mr. J.G.  ridder van Rappard"
"Rheden",1891-06-09,"AR",175,10.5613,"jhr. C.M.  Brantsen"
"Lochem",1891-06-09,"AR(Ka)",1491,45.4296,"jhr. C.M.  Brantsen"
