,Naam_x,District,Verkiezingdatum,Sterfdatum,Vermogen,Naam_y,matched b1-nummer,nw0,Vermogen_deflated,nw0_deflated
0,mr. J. van Riemsdijk,Almelo,02/01/1849,01/11/1879,29618.27,D. Donker Curtius,00332,,21894.176077170687,
1,D. Mulder Dzn.,Winschoten,12/03/1878,17/09/1889,1018.44,J.W.J. van Vos van Steenwijk,01479,225561.23,966.1552594431141,232494.57405540845
2,D. Mulder Dzn.,Winschoten,10/06/1879,17/09/1889,1018.44,J.W.J. van Vos van Steenwijk,01479,225561.23,966.1552594431141,232494.57405540845
3,mr. S.J. baron van Pallandt,Almelo,08/06/1875,20/08/1890,1076713.3,J.R. Corver Hooft,00273,715203.6,1021995.0830920425,678486.4299444731
4,mr. S.J. baron van Pallandt,Almelo,22/06/1875,20/08/1890,1076713.3,J.R. Corver Hooft,00273,715203.6,1021995.0830920425,678486.4299444731
5,H.P. Gelderman,Almelo,10/06/1879,09/03/1888,747677.45,J.R. Corver Hooft,00273,715203.6,697634.1485100461,678486.4299444731
6,J.E. Stork,Almelo,28/10/1884,18/01/1893,833477.66,J.R. Corver Hooft,00273,715203.6,841715.5201529033,678486.4299444731
7,J.E. Stork,Almelo,28/10/1884,18/01/1893,833477.66,A. van Laer,00998,129308.0,841715.5201529033,122938.1478070287
8,J.E. Stork,Almelo,11/11/1884,18/01/1893,833477.66,J.R. Corver Hooft,00273,715203.6,841715.5201529033,678486.4299444731
9,J.E. Stork,Almelo,11/11/1884,18/01/1893,833477.66,A.H.M. van Berckel,00089,41260.15,841715.5201529033,35834.440285119344
10,mr. B.A. Reigers,Zutphen,30/10/1866,25/03/1895,23690.56,H.A. van Rappard,01083,0.0,24735.815517946594,0.0
11,mr. B.A. Reigers,Zutphen,30/10/1866,25/03/1895,23690.56,J. Dam,00285,,24735.815517946594,
12,jhr.mr. H.B. van Tets,Zutphen,05/12/1882,20/03/1884,191080.8,W.G. van Brantsen van de Zijp,00198,724361.0,163195.6679947811,719637.987362833
13,jhr.mr. H.B. van Tets,Zutphen,12/06/1883,20/03/1884,191080.8,W.G. van Brantsen van de Zijp,00198,724361.0,163195.6679947811,719637.987362833
14,K.W. van Gorkom,Zutphen,28/10/1884,10/03/1910,44525.24,W.G. van Brantsen van de Zijp,00198,724361.0,40994.56265982399,719637.987362833
15,K.W. van Gorkom,Zutphen,28/10/1884,10/03/1910,44525.24,S.M.S. de Ranitz,01081,155957.88,40994.56265982399,144479.38010034637
16,P.C.G. Guyot,Arnhem,24/09/1850,17/02/1861,,W. van Lynden,00855,,,
17,P.C.G. Guyot,Arnhem,24/09/1850,17/02/1861,,Æ. van Mackay,00861,,,
18,P.C.G. Guyot,Arnhem,08/10/1850,17/02/1861,,W. van Lynden,00855,,,
19,P.C.G. Guyot,Arnhem,08/10/1850,17/02/1861,,Æ. van Mackay,00861,,,
20,jhr.mr. H.G.C.L. Janssens,Alkmaar,25/10/1870,20/06/1897,1320432.3,C. van Foreest,00416,,1361019.999569533,
21,W. Bos,Alkmaar,28/10/1884,15/03/1893,24601.03,W. van der Kaay,00666,6642.13,24844.179702125643,4222.443110295422
22,W. Bos,Alkmaar,28/10/1884,15/03/1893,24601.03,J.L. de Bruyn Kops,00232,27232.45,24844.179702125643,25890.95000500757
23,jhr. M. Salvador,Haarlem,10/06/1862,30/10/1884,66519.1,F.A. van Hall,00138,256112.74,56811.72027179939,243496.3489140897
24,J.P. de Bordes,Amsterdam,13/06/1871,05/01/1899,152328.28,C. Fock,00409,-4863.65,151335.06198931485,-4477.981582591198
25,J.P. de Bordes,Amsterdam,13/06/1871,05/01/1899,152328.28,G.C.J. van Reenen,01092,587570.13,151335.06198931485,593377.5088815925
26,J.P. de Bordes,Amsterdam,13/06/1871,05/01/1899,152328.28,E.H. s' Jacob,00631,665450.23,151335.06198931485,593310.2608317393
27,J.P. de Bordes,Amsterdam,27/06/1871,05/01/1899,152328.28,E.H. s' Jacob,00631,665450.23,151335.06198931485,593310.2608317393
28,mr. H.A. Neeb,Leiden,22/06/1869,12/11/1896,423225.03,P.H. van Taets van Amerongen,01337,,453455.3890693696,
29,mr. H.A. Neeb,Leiden,01/04/1873,12/11/1896,423225.03,J.L.C. van den Berch van Heemstede,00088,2145671.5,453455.3890693696,1586105.792970587
30,mr. H.A. Neeb,Leiden,12/06/1877,12/11/1896,423225.03,J.L.C. van den Berch van Heemstede,00088,2145671.5,453455.3890693696,1586105.792970587
31,mr. J.B.L. Wentholt,Gouda,14/06/1864,16/06/1902,92380.13,W.M. de Brauw,00201,,83671.02195167232,
32,mr. J.B.L. Wentholt,Gouda,13/06/1871,16/06/1902,92380.13,M.A.F.H. Hoffman,00589,,83671.02195167232,
33,mr. J.T. Buys,Gouda,10/06/1873,14/05/1895,30261.24,W.M. de Brauw,00201,,31596.401688449165,
34,dr. T.C.L. Wijnmalen,Gouda,12/06/1877,14/01/1891,2029.28,M. Bichon van Ysselmonde,04398,,1924.4700589987733,
35,mr. A.A. van Bergen Ijzendoorn,Gouda,14/06/1881,17/01/1895,218015.78,M. Bichon van Ysselmonde,04398,,227634.89398651745,
36,J. van der Breggen,Gouda,28/10/1884,05/03/1894,147877.78,K.A. Godin de Beaufort,00465,,152658.80406126185,
37,J. van der Breggen,Gouda,28/10/1884,05/03/1894,147877.78,U.H. Huber,00612,192459.58,152658.80406126185,130414.62979673278
38,jhr.mr. H.G.C.L. Janssens,Delft,12/06/1860,20/06/1897,1320432.3,C. Hoekwater,00586,2077.0,1361019.999569533,1455.4417445130725
39,C.J. Vaillant,Delft,10/06/1873,27/03/1914,218359.52,J.L. Nierstrasz,00968,10900.76,189645.2431735542,7503.614210870044
40,C.J. Vaillant,Delft,24/06/1873,27/03/1914,218359.52,J.L. Nierstrasz,00968,10900.76,189645.2431735542,7503.614210870044
41,C.J. Vaillant,Delft,08/06/1875,27/03/1914,218359.52,F. de Casembroot,00255,1493.75,189645.2431735542,1559.6560161487414
42,C.J. Vaillant,Delft,22/06/1875,27/03/1914,218359.52,F. de Casembroot,00255,1493.75,189645.2431735542,1559.6560161487414
43,mr. A.M. Maas Geesteranus,Delft,15/06/1886,27/05/1899,106079.28,J.C. Fabius,00396,,105387.61689281784,
