,Regio,Type,sub_election,RegioCode,RegioUitslag,Kandidaat,AantalStemmen,main_election,Electoraat,Geldig,no_of_candidates,number,voteshare,politician,seats,minvswinner,maxvswinner,margin,overleden,plaats,archiefnummer,found,opmerking,bron,,
728,Almelo,tussentijds,1891-07-23,KD15,,W.H. Dikkers,942,1891-06-09,2360,2175,2,2,0.433103448275862,0,1,0.564597701149425,0.564597701149425,0.131494252873563,,,,,,,,
809,Amersfoort,algemeen,1891-06-09,KD26,,W.H.J. Rooijaards,709,1891-06-09,3059,2152,3,2,0.329460966542751,0,NA,0.41868029739777,0.41868029739777,0.089219330855019,,,,,,,,
927,Amersfoort,periodiek,1862-06-10,KD26,,H. Verloren van Themaat,527,1862-06-10,2801,1264,4,2,0.416930379746835,0,NA,0.473101265822785,0.473101265822785,0.05617088607595,1966,"Stellenbosch, Zuid-Afrika",,,,,,
1090,Amsterdam I,algemeen,14/06/1901,KD28,,J.F.M. Sterck,959,14/06/1901,4771,2752,5,2,0.348473837209302,0,NA,0.458575581395349,0.458575581395349,0.110101744186047,28 augustus 1941,,,,"Johannes Franciscus Maria Sterck,historicus",http://resources.huygens.knaw.nl/bwn1880-2000/lemmata/bwn1/sterck,,
1108,Amsterdam I,algemeen,11/06/1909,KD28,,J.N. Hendrix,1400,11/06/1909,5180,3576,3,2,0.391498881431767,0,1,0.520693512304251,0.520693512304251,0.129194630872484,12 juli 1931,Aerdenhout (gem. Bloemendaal),,,eerste kamerlid,https://www.parlement.com/id/vg09ll1m4izv/j_n_hendrix,,
1152,Amsterdam II,algemeen,1897-06-15,KD29,,F.G. Mellink Pzn.,400,1897-06-15,2250,1469,6,2,0.272294077603812,0,NA,0.281824370319946,0.281824370319946,0.009530292716134,2 juli 1905,Amsterdam,,ja,"Franciscus Gerardus Mellink, hoofdonderwijzer",https://nha.courant.nu/issue/HD/1906-11-20/edition/0/page/2?query=Rijder%20Eig&sort=relevance,https://www.genealogieonline.nl/stamboom-reijkers/I548.php,
1153,Amsterdam II,algemeen,1897-06-15,KD29,,G.A. Aalderink,213,1897-06-15,2250,1469,6,3,0.14499659632403,0,NA,0.281824370319946,0.281824370319946,0.136827773995916,,,,,,,,
1181,Amsterdam II,algemeen,11/06/1909,KD29,,J. Oudegeest,926,11/06/1909,4404,2968,3,2,0.311994609164421,0,NA,0.41644204851752,0.41644204851752,0.104447439353099,10 oktober 1950,Oegstgeest,,,"Later verkozen, politicus",https://nl.wikipedia.org/wiki/Jan_Oudegeest,,
1198,Amsterdam II,algemeen,15/06/1917,KD29,,Z. Kamerling,639,15/06/1917,5731,1804,3,2,0.354212860310421,0,NA,0.490576496674058,0.490576496674058,0.136363636363637,1932,,,,,,,
1206,Amsterdam II,herstemming,1897-06-25,KD29,,F.G. Mellink Pzn.,765,1897-06-15,2250,1619,2,2,0.472513897467573,0,1,0.527486102532427,0.527486102532427,0.054972205064854,,,,,,http://resources.huygens.knaw.nl/repertoriumkleinepolitiekepartijen/PersoonDetail?Id=234,,
1227,Amsterdam II,herstemming,23/06/1909,KD29,,J. Oudegeest,1554,11/06/1909,4404,3309,2,2,0.469628286491387,0,1,0.530371713508613,0.530371713508613,0.060743427017226,,,,,,,,
1264,Amsterdam III,algemeen,1897-06-15,KD30,,W. Hovy,679,1897-06-15,4566,2794,5,2,0.24302075876879,0,NA,0.363278453829635,0.363278453829635,0.120257695060845,,,,,,,,
1361,Amsterdam III,herstemming,11/11/1913,KD30,,J. Oudegeest,6082,17/06/1913,16516,12797,2,2,0.475267640853325,0,1,0.524732359146675,0.524732359146675,0.04946471829335,,,,,,,,
1513,Amsterdam IX,algemeen,16/06/1905,KD115,,J.G. van Kuykhof,2318,16/06/1905,12748,9559,4,3,0.242493984726436,0,NA,0.384768281200962,0.384768281200962,0.142274296474526,25 juni 1921,Amsterdam,,nog niet,"Johannes Gerardus van Kuykhof, secretaris-penningmeester van SDAP",https://socialhistory.org/bwsa/biografie/kuijkhof,,
1576,Amsterdam IX,herstemming,23/06/1909,KD115,,T. de Vries,6250,11/06/1909,18434,13792,2,2,0.453161252900232,0,1,0.546838747099768,0.546838747099768,0.093677494199536,,,,,,,,
1646,Amsterdam V,algemeen,11/06/1909,KD32,,J.G. van Kuykhof,2145,11/06/1909,12892,9091,4,3,0.235947640523595,0,NA,0.362336376636234,0.362336376636234,0.126388736112639,,,,,,,,
1655,Amsterdam V,algemeen,17/06/1913,KD32,,J. ter Haar jr.,3469,17/06/1913,16136,12796,4,3,0.271100343857455,0,NA,0.414504532666458,0.414504532666458,0.143404188809003,12 oktober 1941,Amsterdam,,,"Later verkozen, lid Eerste Kamer",https://www.parlement.com/id/vg09ll1bfly2/j_jan_ter_haar,,
1678,Amsterdam V,herstemming,27/06/1901,KD32,,J. Deen,2806,14/06/1901,7840,5745,2,2,0.488424717145344,0,1,0.511575282854656,0.511575282854656,0.023150565709312,,,,,,,,
1708,Amsterdam VI,algemeen,14/06/1901,KD112,,H.W. van Marle,1362,14/06/1901,5148,3326,4,2,0.409500901984366,0,NA,0.446782922429345,0.446782922429345,0.037282020444979,14 december 1927,Zeist,,,Militair,http://forum.stelling-amsterdam.nl/viewtopic.php?t=2552,,
