Indexnummer,Re,Dugobo,Fogobo,Duprbo,Foprbo,Dush,Fosh,Cash,Misc,Debt,TA11,TL11,NW11,TA0,TL0,NW0,W_DEFLATED,W_DEFLATED2
00522,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Err:520,Err:520
00525,100000,17640,36024,65228,63335,187158,186743,375,15108,-352668,665024.14,-355737.92,266032.21,654917.69,-355438.115,299479.575,302883.816759485,269056.249147411
00528,49900,551,12312,18752,0,0,6258,2665,9292,-2026.52,107233.74,-2026.52,52254.6,53616.87,-1362.26,52254.61,64259.8808952449,64259.8685977881
00530,15550,93,190,54138,5935,20276,315,9232,767,-2617.74,106722.38,-2617.74,104104.53,106712.38,-2617.74,104194.63,65959.9978455874,65902.9603974397
00534,2073718.92,19885,19696,56113,191375,678232.5,150134,11826,96397,-57858.57,3292399.1,-57858.57,3234549.52,3292399.1,-57858.57,3234540.52,3103734.6421522,3103743.27818926
00536,4062231.40666667,0,26618,89147.5,486469,2578352.5,600940,300,62191.8,-1403.56,1892073.72,-1403.56,1890559.45,8876194.82,-30468.27,8845726.55,7303523.58874181,1560950.98135198
00537,25250,149411,304902,188002.5,103859,52648,45055,3978,12110,-262181.85,884255,-262182,537428.25,551843.87,-13962.8,537881.07,623456.005372273,622931.143345891
00538,0,0,0,2072,0,3425,0,2593,788,-6724,8877,-6929,1948,8877,-6929,1948,1755.66116871106,1755.66116871106
00539,15000,1002,92,613,0,8363,0,821,4110,-3310.62,30005.79,-3310.62,26361.19,30005.79,-3644.3,26361.19,15862.4709340992,15862.4709340992
00544,747814.15,223123,585.75,151278,4100,86911,0,1710,52719,-67731.19,1266749,-67731.19,598411.95,635990.82,-34616.09,601374.73,475357.833782252,473015.898525389
00545,371751.35,25300,112196,447562,25573,72382,0,8971.78,20374,-7263.93,1017322.49,-7262.93,1010058.55,1015274.94,-7263.93,1007984,1026990.45305738,1029104.12058027
00551,95937,7139,17763,18730,0,0,0,0,0,-3033.2,321327.17,-3033.2,318293.96,321316.34,-3033.2,318283.13,286856.946610275,286866.707293261
00553,0,0,0,117,0,0,0,125,1000,-300,1242,-300,942,1242,-300,942,903.905211522092,903.905211522092
00556,244965.9325,321,57743.1,3484.46,0,1587.75,0,475.06,7628.83,-11028.055,256456.945,-13093.08,243363.86,256456.945,-13093.08,243614.76,208292.416047038,208077.894697075
00559,148000,15423,59034,39826,62272,76218,70075,690,10783,-8470.18,477958.16,-8470.18,469487.88,477958.16,-8470.18,469487.98,352332.294823279,352332.219777205
00561,269976,18686,8517,101782,0,4811,0,6463,7236,-2013.04,417237.87,-2251.41,411218.465,415670.375,-2251.41,413418.965,474267.811698702,471743.4322967
00565,5000,0,0,4698,0,0,0,1265,1460,-1223.41,12425,-1223.41,5286.74,6241.26,-926.02,5315.24,3248.49140803472,3231.07319077096
00567,0,0,0,876.35,0,0,0,545,10371.1,-11873,2090,-2249,-159,2090,-2249,-159,-172.976181585583,-172.976181585583
00569,23000,103.12,51782.275,45942.02,75773.74,273761.595,26425.835,2529.035,7550,-1721.76,506867.65,-2736.82,504130.835,506867.65,-2736.82,504430.335,454624.615749185,454354.687350813
00573,5000,8708,23390,11780,0,0,0,494,3318,-1772,52691,-531.2,52159.8,26345.5,-1550.6,24784.9,27851.8835151297,58614.2640790345
00574,63000,11056,199,1285,0,73208,0,649,23123,-56369,80765.465,44345.995,47515.67,80761.565,-44345.995,36415.57,20881.821203269,27246.9640127432
00579,0,0,0,0,0,0,0,0,0,-423,1847,-423,1451,1874,-423,1451,1003.66171159186,1003.66171159186
00583,591692.97,174452,87702,237965.5,8312,31598,0,5150,29457,-10548,1166335.96,-10548,1155787.6,1166355.96,-11017.21,1155338.75,1178598.66815085,1179056.55464708
00584,37500,434376,99063.15,3915530,92387.62,385048.55,19858,1500,101805,-105289.7,5071863.53,-89439.7,4981823.83,5071854.68,-89439.7,4982414.98,3938359.68447999,3937892.40880408
00586,2353,0,0,0,0,0,0,0,0,-276,2353,-276,2077,2353,-276,2077,1686.35207460295,1686.35207460295
00587,11512.98,1131.91,11755.62,1476.66,23171.825,15485.71,5472,465,4852.125,-4392.03,74790.24,-4624.25,70166.59,38233.86,-2575.45,35658.425,30488.2162956059,59992.9518099887
00592,8000,0,0,0,0,0,0,41,448,-407,1822.435,-407,1415.435,1822.43,-107,1415.43,1521.98349839239,1521.98887479214
00593,106373,0,110,23,0,53177.5,0,1065,3000,-80068.7,162382.05,-80068.7,82313.38,162382.05,-80068.67,82313.38,58512.2849665888,58512.2849665888
00597,2778828.74,172611,108062,517945,800,26755,0,106,10014,-19788.94,3615121.74,-19788.94,3595332.79,3615121.74,-19788.94,3595332.79,3091811.02083184,3091811.02083184
00601,8100,21909,667,44693,1160,35833,0,2272,13318,-56164.05,119287.15,-56164.05,63125.1,120087.44,-56164.05,71924.79,60367.2179332418,52981.5473741068
00605,477318,27034,7870.16,87063,9357,148658,0,459,27783.95,-8867.26,785552.5,-8867.26,387845.42,392776.25,-4930.83,387845.42,314868.145395372,314868.145395372
00607,44734,5858,3600,120977.5,40603,235994,16692,426,12745,-7381.44,481444.36,-7381.44,451163.26,462162.19,-11412,450750.19,325285.530771876,325583.624255088
00609,23373.25,4575,16933.25,43022,0,500,0,1500,3000,-500,92856.92,-500,45950.43,46453.46,-500,45953.46,44275.4158932894,44272.496537268
00610,27205,14850,81413,355437,230094,482081,416801,374,14350,-856884.31,1622835.97,-856884.31,765951.65,1622861.01,-856884.31,765976.7,632432.945474287,632412.262801715
00611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00612,84120,11426,12824,37913,13808,27227,0,450.5,9065.5,-4379.17,195668.32,-3208.67,192459.58,197230.09,-4770.51,192459.58,140125.672432796,140125.672432796
00613,122940,760281,12697,685081,248077,947083.7,581711,26577,26387.11,-208563.59,3419924.09,-208563.59,3211360.5,3419924.09,-208563.59,3211360.5,2221309.14953033,2221309.14953033
00618,689282.25,41682,19926,143624.85,0,44605.9,0,8319,614.3,-63375.17,726795.92,-1828.68,724667.24,734627.17,-9956.43,724670.74,698208.544018183,698205.171824759
00622,444962,47080.67,58686.5,62095,39250,75216.5,13138,0,35425,-8510.34,778454.84,-8510.34,778374.5,778459.84,-8530.94,769928.9,825378.472552659,834432.316911262
00623,17100,14351,21086,30789.5,4157,79723,10290,911,7790,-5697.71,187403.21,-5697.71,89511,93701.6,-4194.97,89506.63,72831.5280779285,72835.0839461106
00624,0,6605,1478,5361.25,24293,27352,1355,7783,8453,-2854.46,73479.8,-2854.46,70625.37,73479.83,-2854.46,70625,43601.0346270115,43601.263050131
00631,56000,35311,349266,109899.5,124047,264174,114965,7825,6000,-882,616474,-757.34,616474,668207.57,-757.34,665450.23,670332.523331172,620996.963195971
00634,0,10965,1108,32184,3692,52366,19656,19,7711,-3242.25,128607.1,-3242.25,125364.85,128607.1,-3242.25,125364.85,77871.0979413953,77871.0979413953
00635,19000,58014,970,81431.1,3366,31126,0,3377,5732,-1354.23,202992.86,-1354.23,201638.63,202992.86,-1354.23,201638.63,136719.685925962,136719.685925962
00636,0,1000,0,6000,0,1130,0,100,3104,-400,11416.84,-399.65,11017.19,11416.84,-399.65,11017.19,11142.4245114694,11142.4245114694
00645,14000,0,1203.26,2990,2181.6,2317.69,3502.8,1224.52,4711.09,-2480.75,32110.67,-3865.96,28244.71,32110.67,-3865.96,28244.71,23803.100141036,23803.100141036
00650,61500,0,0,59611.43,0,0,0,13662.79,4000,-64051.52,138948.86,-64051.52,74897.04,138952.23,-63997.71,74954.5,80597.0709468165,80535.2853609397
00651,224286,15237,0,353415,11463,382724.65,0,8498.24,25164.3,-45094.86,1026264.93,-45094.86,981170.06,1026264.93,-45094.87,981170.06,941491.221468624,941491.221468624
00655,14500,0,0,104,0,4750,0,548,5509,-15906.88,25411,-15416.88,4507.45,12705.89,-8198.44,4507,2853.13849946069,2853.42337017841
00658,366692.307692308,5889.20512820513,1126.05128205128,12984.6666666667,2371.74358974359,6359.64102564103,0,13100.8461538462,54745,-437.01,496535.01,-437.01,496098,496535.01,-437.01,496098,532013.685792279,532013.685792279
00662,42000,561.75,4900,33832.25,3057,38513.1,0,1018,11500,-28918.3,100404,-3918.3,92978.5,116553.93,-19686.3,96867.65,70527.2483356492,67695.6420371111
00665,25640,5032,0,32931,0,10447,0,240,3150,-6413.69,77671.59,-6413.69,71257.9,72471.58,-6415.69,66057.9,45692.4775866052,49289.3355468241
00666,0,0,0,3627.15,0,118.9,0,666,4045.09,-1815.66,8457.79,-1815.66,6642.13,8457.79,-1815.66,6642.13,4204.77408951029,4204.77408951029
00668,0,403,9395,3586,11649,645,0,183,1400,-322,26533.13,-466.32,26066.81,26532.46,-466.32,26066.14,26141.9770650645,26142.6490143686
00671,18500,111,0,6739,90,8935,322,330,3610,-19559,38636,-21205,17431,38635,-20205,18430,18801.0429443487,17781.930524305
00673,360215,147019,71940,129748,19325,507639.5,8650,35,16285,-184410,1346568,-187690,1158977,346668,-187690,158978,91162.9330875035,664593.482752051
00674,18010,0,179186,0,170878,10775,7000,3100,9428,-3434.25,398382.82,-3434.25,394948.57,398382.82,-3434.25,394948.57,485686.297686411,485686.297686411
00676,86000,165228,1742,39296,67612,312097,88077,310,5233,-14505.21,781625.61,-14505.11,767120.4,680372.91,-8078.76,672194.15,455776.619139245,520140.709919516
00678,40252,0,0,21233,0,104991.71,0,0,82,-46076.27,166565.01,-46076.27,120407.74,166565.21,-46076.27,120488.94,131079.979650908,130991.642129243
00680,162968,2235,19161,180855.5,8531,458414,894,8100,8035,-32327.08,819066.39,-32327.08,786739.31,819606.39,-32327.08,787279.31,808851.189142015,808296.392849786
00683,166568.58,2523.75,66222.68,3098,0,40,0,3249.42,0,-5506.82,242274.43,-6029.36,236245.07,242274.43,-6029.36,236245.07,212919.042966338,212919.042966338
00684,25524,148610,0,31025,0,99332,2000,2258,11869,-1524,320618.47,-2159.96,318458.51,306895.97,-2159.96,319236.01,322864.826944773,322078.488953173
00686,80236,0,0,3232,0,316,0,1236,5745,-106128,100815.75,-106128.57,-5312.82000000001,100815.75,-106128.57,-5312.82,-5598.75678332717,-5598.75678332718
00689,0,0,0,0,0,0,0,0,4134.68,-4743.08,4134.68,-4743.08,-608.38,4134.7,-4743.08,-608.38,-510.619607596013,-510.619607596013
00690,31617,42910,12672,3380,5723,124478,9962,368,20803,-35825,257411,-36453,220959,259241,-36452,222789,151060.548803368,149819.729892604
00691,0,0,0,0,0,0,0,0,5456.82,-13507,5456.82,-13507,-8049.8,5456.82,-13506.58,-8049.76,-9470.80493806256,-9470.85199936594
00696,32500,44258,6973,303106,22036.62,358827,2238.2,1835,12487,-10053.14,784267.95,-10053,769814.81,784267.95,-10053,786814.81,451184.100166606,441435.77107398
00701,19000,0,6970,4294,4909,3956,7825,701,2983,-1671.63,50576.98,-1671.63,48605.34,50276.98,-1671.63,48605.34,48961.9489793692,48961.9489793692
00708,6900,0,0,614,0,3683,0,0,700.88,-3370.34,12001.38,-3370.34,4363.52,6000.69,-1738.47,4262.22,2777.72115579245,2843.73913540912
00711,0,3650,3744,747,0,0,0,980,918,-759.95,10104.65,-759.95,9344.7,10104.65,-759.95,9344.7,11142.3756561755,11142.3756561755
00727,0,3369,157,8068,78377,35969,0,725,7406,-170467.27,135575.17,-170467.27,-34892.1,135575.17,-170467.27,-34892.1,-23658.3483695424,-23658.3483695424
00730,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Err:520,Err:520
00731,14214,2100,0,9496,0,1209,0,815,2201,-10201.33,10081.48,-391.41,9690.07,10081.48,-391.41,9690.07,9298.20039598076,9298.20039598076
00732,0,0,7774,20428,2951,9507,0,867,5277,-867.54,68786.96,-867.54,67919.42,68786.96,-867.54,67919.42,65172.7364135433,65172.7364135433
00750,0,35872,30,44540,66,18160,0,1178,3402.84,-11528.67,103278.45,-11528.67,91749.7,103278.42,-11528.67,91749.76,72523.7775848039,72523.7301576863
00763,96631,3139,57577,82136,109166,528498,89568,64980,28476,-29022.75,168391.26,-8412.3,159979.01,189001.57,-29022.55,159979.01,153509.406447075,153509.406447075
00765,0,21484,34113.775,3000,420,785,308.25,140,7916.72,-4927.995,68167.745,-4307.995,31309.875,34083.873,-2773.998,31309.875,32294.084233988,32294.084233988
00766,0,59124,12954,63495,25620,17815,0,272,45185,-29872.81,225543,-29872.81,195770.4,225893,-29873,196020,112403.968749213,112260.840340889
00768,1010003,756859,258862,1872573,111537,562942,27000,69786,75204,-88205,4772284.84,-88271.4,4684013.44,4771980.84,-88271.4,4683713.44,4749483.97106642,4749788.18378344
00769,214855,144897,11400,1851687.8,300,1149868.5,28100,730,121603.43,-504917.54,3531841.73,305120.22,3226721.5,3532241.73,-305120.22,3227121.51,2042916.49048563,2042663.26573942
00775,7476,2268.5,0,30426.84,0,1111,830,3843,29,-2975.4,45985.79,-2975.4,43010.39,45985.79,-1612.08,44373.1,42860.6481451695,41544.3859540243
00776,51162,3748,2427,53229,23300,5466,173299,815,6636,-156592.15,319781.89,-156592.15,163189.44,319781,-156592.15,163189.74,163664.5257155,163664.224842678
00778,22830,0,9095.15,13742,2354,4784,1393,1000,470,-1730,50714.27,-1730,48962.47,50692.47,-1780,48962.47,57423.6631871797,57423.6631871797
00780,61921,7350,54,169600,671,0,175,2759,8024.16,-21446.8,250555.83,-21446.8,113001.14,125282.64,-12276.77,113005.87,68216.0785573034,68213.2232892401
00781,0,0,0,659,0,0,0,213,1078,-16857,1951.65,-16857,-14905.35,1951.65,-16857,-14905.35,-17772.7491505106,-17772.7491505106
00782,29364,500293,0,239735.9,70,7136255,0,6200,147735,-95026.22,7548063.26,-95026.22,3723347.63,3774032,-50684,3723348,2275581.90921261,2275581.68308137
00784,17140,18524,36105,117458,7827,8827,4279,1278,10202,-3829,225221.125,-4324.875,220896.25,225221.125,-1840.575,223380.55,256258.695400083,253408.74504862
00787,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Err:520,Err:520
