"","District","Aanbevolen.door","Aantal.stemmen","Percentage","V5"
"1","Zuidhorn(24/03/1869)",NA,"115","21.7391%","'jhr. E. de Wendt Alberda van Ekenstein'"
"2","Zuidhorn(07/04/1869)",NA,"196","31.0618%","'jhr. E. de Wendt Alberda van Ekenstein'"
"3","Zuidhorn(08/12/1869)",NA,"31","5.5755%","'jhr. E. de Wendt Alberda van Ekenstein'"
"4","Zuidhorn(24/03/1869)",NA,"115","21.7391%","' H.W.  Wierda'"
"5","Zuidhorn(07/04/1869)",NA,"180","28.5261%","' H.W.  Wierda'"
"6","Zuidhorn(08/06/1869)",NA,"206","28.4138%","' H.W.  Wierda'"
"7","Zuidhorn(22/06/1869)",NA,"304","45.5772%","' H.W.  Wierda'"
"8","Zuidhorn(08/12/1869)",NA,"66","11.8705%","' H.W.  Wierda'"
"9","Leiden(10/06/1856)","","233","20.2609%","'mr. B.J.  Gratama'"
"10","Appingedam(12/06/1866)","","168","15.9091%","'mr. B.J.  Gratama'"
"11","Winschoten(30/10/1866)","","108","19.0813%","'mr. B.J.  Gratama'"
"12","Appingedam(30/10/1866)","","481","13.4208%","'mr. B.J.  Gratama'"
"13","Winschoten(22/01/1868)","","72","15.859%","'mr. B.J.  Gratama'"
"14","Appingedam(22/01/1868)","","418","14.0788%","'mr. B.J.  Gratama'"
"15","Sneek(22/01/1868)","","658","14.8031%","'mr. B.J.  Gratama'"
"16","Assen(22/01/1868)","","114","3.8988%","'mr. B.J.  Gratama'"
"17","Appingedam(31/03/1868)","","406","25.7614%","'mr. B.J.  Gratama'"
"18","Appingedam(14/04/1868)","","660","38.3275%","'mr. B.J.  Gratama'"
"19","Zuidhorn(24/03/1869)","","65","12.2873%","'mr. B.J.  Gratama'"
"20","Appingedam(08/06/1869)","","402","29.0672%","'mr. B.J.  Gratama'"
"21","Assen(08/06/1869)","","69","8.5821%","'mr. B.J.  Gratama'"
"22","Winschoten(08/06/1869)","","96","20.7343%","'mr. B.J.  Gratama'"
"23","Zuidhorn(08/06/1869)","","170","23.4483%","'mr. B.J.  Gratama'"
"24","Sneek(08/06/1869)","","875","15.6446%","'mr. B.J.  Gratama'"
"25","Zuidhorn(08/12/1869)","","121","21.7626%","'mr. B.J.  Gratama'"
"26","Assen(31/01/1871)","","113","10.9815%","'mr. B.J.  Gratama'"
"27","Assen(13/06/1871)","","229","24.2842%","'mr. B.J.  Gratama'"
"28","Dokkum(08/06/1875)","AR(DT/DZH)","891","40.4632%","'mr. B.J.  Gratama'"
"29","Almelo(08/06/1875)","AR","206","10.2692%","'mr. B.J.  Gratama'"
"30","Winschoten(26/02/1878)","","67","5.0376%","'mr. B.J.  Gratama'"
"31","Zuidhorn(14/06/1881)","AR(DT)","272","41.6539%","'mr. B.J.  Gratama'"
"32","Dokkum(14/06/1881)","AR(DT)","924","47.482%","'mr. B.J.  Gratama'"
"33","Appingedam(14/06/1881)","AR(DT)","477","37.1495%","'mr. B.J.  Gratama'"
"34","Winschoten(12/06/1883)","AR(DT)","326","30.9592%","'mr. B.J.  Gratama'"
"35","Zuidhorn(08/12/1869)","","310","55.7554%","'mr. E.J.J.B.  Cremers'"
"36","Zuidhorn(10/06/1873)","(AH)*","317","74.9409%","'mr. E.J.J.B.  Cremers'"
"37","Zuidhorn(12/06/1877)","(AH)*","423","66.1972%","'mr. E.J.J.B.  Cremers'"
"38","Zuidhorn(14/06/1881)","(AH)*","368","56.3553%","'mr. E.J.J.B.  Cremers'"
"39","Zuidhorn(28/10/1884)","(AH)*","452","59.085%","'mr. E.J.J.B.  Cremers'"
"40","Zuidhorn(15/06/1886)","(AH)*","497","48.9173%","'mr. E.J.J.B.  Cremers'"
"41","Zuidhorn(29/06/1886)","(AH)*","675","62.7907%","'mr. E.J.J.B.  Cremers'"
"42","Zuidhorn(01/09/1887)","","488","61.6941%","'mr. E.J.J.B.  Cremers'"
"43","Zuidhorn(06/03/1888)","Lib","1146","41.0018%","'mr. E.J.J.B.  Cremers'"
"44","Zuidhorn(20/03/1888)","Lib","1662","56.1107%","'mr. E.J.J.B.  Cremers'"
"45","Zuidhorn(10/06/1873)","","85","20.0946%","' S. van Velzen jr.'"
"46","Delft(28/10/1884)","AR","627","13.7289%","' S. van Velzen jr.'"
"47","Dordrecht(15/06/1886)","AR(DT)","923","21.2771%","' S. van Velzen jr.'"
"48","Dordrecht(01/09/1887)","AR","647","18.4436%","' S. van Velzen jr.'"
"49","Assen(01/09/1887)","AR","261","12.2881%","' S. van Velzen jr.'"
"50","Zuidhorn(01/09/1887)","AR","276","34.8925%","' S. van Velzen jr.'"
