"","District","Aanbevolen.door","Aantal.stemmen","Percentage","V5"
"1","Tiel(16/10/1860)",NA,"615","65.0794%","'mr. W.F.C. van Lidt de Jeude'"
"2","Tiel(10/06/1862)",NA,"539","77.8902%","'mr. W.F.C. van Lidt de Jeude'"
"3","Tiel(12/06/1866)",NA,"736","82.9763%","'mr. W.F.C. van Lidt de Jeude'"
"4","Tiel(30/10/1866)",NA,"857","72.8122%","'mr. W.F.C. van Lidt de Jeude'"
"5","Tiel(22/01/1868)",NA,"691","68.0788%","'mr. W.F.C. van Lidt de Jeude'"
"6","Tiel(16/10/1860)",NA,"218","23.0688%","' J.C.F. van Hoytema'"
"7","Tiel(10/06/1862)",NA,"130","18.7861%","' J.C.F. van Hoytema'"
"8","Tiel(16/10/1860)",NA,"24","2.5397%","'mr. H.  Dijckmeester'"
"9","Amsterdam(14/06/1864)","","663","12.6527%","' J.J.  Hasselman'"
"10","Tiel(12/06/1866)","","133","14.9944%","' J.J.  Hasselman'"
"11","Tiel(30/10/1866)","","86","7.3067%","' J.J.  Hasselman'"
"12","Tiel(08/06/1869)","","80","3.8778%","' J.J.  Hasselman'"
"13","Tiel(08/06/1869)","AK/DT/DZH","1055","51.0649%","' J.J.  Hasselman'"
"14","Tiel(22/01/1868)",NA,"176","17.3399%","' A.A.  Bleijenberg'"
"15","Tiel(13/06/1871)","(AH)*","1121","50.2691%","'mr. D.J. baron van Mackay'"
"16","Tiel(08/06/1875)","","1350","59.761%","'mr. D.J. baron van Mackay'"
"17","Amersfoort(10/06/1873)","(AH)*","190","8.7558%","' L.  Mulder'"
"18","Tiel(10/06/1873)","(AH)*","625","30.5176%","' L.  Mulder'"
"19","Den Haag(12/06/1877)","(AH)*","551","41.7741%","' L.  Mulder'"
"20","Amersfoort(04/04/1876)","","613","33.9989%","'mr. W.H. de Beaufort'"
"21","Tiel(17/04/1877)","","759","51.6327%","'mr. W.H. de Beaufort'"
"22","Tiel(10/06/1879)","(AH)*","983","50.2556%","'mr. W.H. de Beaufort'"
"23","Tiel(12/06/1883)","(AH)*","1223","45.6684%","'mr. W.H. de Beaufort'"
"24","Alkmaar(28/10/1884)","","410","7.7126%","'mr. W.H. de Beaufort'"
"25","Amersfoort(28/10/1884)","(AH)*","794","16.9586%","'mr. W.H. de Beaufort'"
