"District","Dag","Maand","Jaar","Type","Electoraat","Opkomst","Stembriefjes","Geldig","Blanco"
"Amsterdam","10","6","1862","periodiek","4570","1420","1420","4222","35"
"Leiden","10","6","1862","periodiek","2604","1136","1136","1123","6"
"Gouda","10","6","1862","periodiek","3289","1847","1847","1843","3"
"Delft","10","6","1862","periodiek","2944","1045","1046","1028","14"
"Rotterdam","10","6","1862","periodiek","3030","1112","1112","2175","43"
"Den Haag","10","6","1862","periodiek","2094","644","644","629","15"
"Dordrecht","10","6","1862","periodiek","2063","670","671","656","6"
"Gorinchem","10","6","1862","periodiek","2969","1557","1557","1536","11"
"Middelburg","10","6","1862","periodiek","2556","1074","1074","1036","16"
"Zierikzee","10","6","1862","periodiek","1393","900","901","852","10"
"Breda","10","6","1862","periodiek","3638","1486","1486","1399","25"
"Tilburg","10","6","1862","periodiek","3036","950","950","944","4"
"Eindhoven","10","6","1862","periodiek","2146","944","945","935","6"
"Maastricht","10","6","1862","periodiek","2077","960","960","917","38"
"Roermond","10","6","1862","periodiek","1707","1385","1385","1360","11"
"Den Bosch","10","6","1862","periodiek","2753","1093","1093","1055","38"
"Sneek","24","6","1862","herstemming","2859","1917","1920","1905","9"
"Zwolle","24","6","1862","herstemming","3085","1767","1768","1758","6"
"Amersfoort","24","6","1862","herstemming","2801","1685","1687","1671","13"
"Haarlem","24","6","1862","herstemming","1262","855","856","850","3"
"Leiden","24","6","1862","herstemming","2604","1314","1314","1305","8"
"Middelburg","24","6","1862","herstemming","2556","1206","1206","1182","11"
"Roermond","24","6","1862","herstemming","1707","1452","1453","1441","9"
"Almelo","22","7","1862","tussentijds","1938","1091","1092","1083","3"
"Arnhem","22","7","1862","tussentijds","2853","1592","1591","1579","12"
"Almelo","5","8","1862","herstemming","1938","1205","1206","1193","3"
"Gorinchem","16","9","1862","tussentijds","2969","1862","1863","1852","8"
"Gorinchem","30","9","1862","herstemming","2969","2154","2154","2132","14"
"Gorinchem","10","11","1862","tussentijds","2969","1630","1632","1622","8"
"Gorinchem","24","11","1862","herstemming","2969","1882","1882","1867","11"
"Zierikzee","12","2","1863","tussentijds","1393","1148","1149","1124","11"
"Zierikzee","26","2","1863","herstemming","1393","1141","1142","1127","12"
"Rotterdam","3","3","1863","tussentijds","3030","1670","1670","1649","7"
"Groningen","15","9","1863","tussentijds","1564","528","528","524","3"
"Dokkum","15","9","1863","tussentijds","2551","1390","1390","1388","1"
"Dokkum","29","9","1863","herstemming","2551","1388","1388","1366","12"
"Dokkum","15","10","1863","tussentijds","2551","1479","1481","1471","8"
"Assen","22","10","1863","tussentijds","2475","544","544","534","9"
"Eindhoven","5","1","1864","tussentijds","2207","1425","1428","1421","5"
"Tilburg","19","1","1864","tussentijds","3081","1504","1505","1490","5"
"Eindhoven","19","1","1864","herstemming","2207","1745","1747","1738","9"
"Almelo","26","1","1864","tussentijds","1953","1468","1468","1449","12"
"Almelo","26","1","1864","tussentijds","1953","1471","1471","1461","6"
"Tilburg","3","2","1864","herstemming","3081","1958","1960","1946","6"
"Roermond","1","3","1864","tussentijds","1781","1193","1193","1169","19"
"Zwolle","22","3","1864","tussentijds","3159","1467","1467","1445","12"
"Zwolle","5","4","1864","herstemming","3159","1709","1709","1689","16"
"Groningen","14","6","1864","periodiek","1493","706","706","704","1"
"Appingedam","14","6","1864","periodiek","3014","1132","1132","1122","3"
"Winschoten","14","6","1864","tussentijds","1175","534","535","529","1"
"Assen","14","6","1864","periodiek","2283","932","932","921","3"
"Leeuwarden","14","6","1864","periodiek","3020","1389","1389","1378","4"
"Sneek","14","6","1864","periodiek","2919","1617","1617","1607","3"
"Dokkum","14","6","1864","periodiek","2434","1554","1554","1543","8"
"Steenwijk","14","6","1864","periodiek","1419","536","536","530","4"
"Zwolle","14","6","1864","periodiek","2667","1385","1386","1371","14"
"Almelo","14","6","1864","periodiek","1771","1242","1243","1234","5"
"Deventer","14","6","1864","periodiek","2598","1630","1630","1603","17"
"Deventer","14","6","1864","tussentijds","2598","1632","1632","1595","9"
"Zutphen","14","6","1864","periodiek","2747","1519","1519","1498","17"
"Arnhem","14","6","1864","periodiek","2794","1805","1805","1781","19"
"Nijmegen","14","6","1864","periodiek","2472","1101","1101","1027","63"
"Amersfoort","14","6","1864","periodiek","2838","1185","1185","1122","14"
"Utrecht","14","6","1864","periodiek","2939","1447","1447","1431","10"
"Hoorn","14","6","1864","periodiek","3368","1188","1188","1175","7"
"Alkmaar","14","6","1864","periodiek","2969","1260","1261","1223","7"
"Haarlem","14","6","1864","tussentijds","2395","1252","1252","1241","10"
