"District","Dag","Maand","Jaar","Type","Electoraat","Opkomst","Stembriefjes","Geldig","Blanco"
"Middelburg","11","10","1870","tussentijds","2810","1314","1314","1286","16"
"Alkmaar","25","10","1870","tussentijds","3154","2020","2020","2011","7"
"Assen","31","1","1871","tussentijds","2213","1039","1040","1029","6"
"Dordrecht","31","1","1871","tussentijds","2067","1394","1394","1378","13"
"Roermond","11","4","1871","tussentijds","1890","1614","1614","1582","29"
"Groningen","13","6","1871","periodiek","1529","759","759","756","3"
"Appingedam","13","6","1871","periodiek","2939","981","981","966","14"
"Assen","13","6","1871","periodiek","2204","950","951","943","4"
"Leeuwarden","13","6","1871","periodiek","2985","1542","1542","1536","6"
"Sneek","13","6","1871","periodiek","4111","2630","2630","2618","9"
"Dokkum","13","6","1871","periodiek","2520","1375","1375","1364","6"
"Steenwijk","13","6","1871","periodiek","1416","675","675","669","4"
"Zwolle","13","6","1871","periodiek","2607","1702","1703","1692","8"
"Almelo","13","6","1871","periodiek","2151","1842","1841","1830","5"
"Deventer","13","6","1871","periodiek","2771","1224","1224","1209","11"
"Zutphen","13","6","1871","periodiek","3015","2214","2214","2202","9"
"Arnhem","13","6","1871","periodiek","2863","1987","1987","1977","8"
"Nijmegen","13","6","1871","periodiek","2474","1711","1712","1698","11"
"Tiel","13","6","1871","periodiek","2910","2244","2244","2230","12"
"Amersfoort","13","6","1871","periodiek","2862","1702","1702","1690","8"
"Utrecht","13","6","1871","periodiek","2818","1270","1269","1254","9"
"Hoorn","13","6","1871","periodiek","3593","2463","2463","2446","9"
"Alkmaar","13","6","1871","periodiek","3215","2256","2256","2247","6"
"Haarlem","13","6","1871","periodiek","2438","1619","1619","1612","5"
"Amsterdam","13","6","1871","periodiek","3959","2424","2424","7223","43"
"Haarlemmermeer","13","6","1871","periodiek","1354","896","896","889","1"
"Leiden","13","6","1871","periodiek","2779","1918","1918","1903","4"
"Gouda","13","6","1871","periodiek","3363","1707","1707","1687","15"
"Delft","13","6","1871","periodiek","2746","1810","1810","1786","23"
"Rotterdam","13","6","1871","periodiek","2538","1738","1738","1727","8"
"Brielle","13","6","1871","periodiek","1182","639","641","626","14"
"Den Haag","13","6","1871","periodiek","2154","1125","1125","1118","5"
"Dordrecht","13","6","1871","periodiek","2109","1235","1235","1218","17"
"Gorinchem","13","6","1871","periodiek","3169","1346","1347","1275","63"
"Middelburg","13","6","1871","periodiek","2812","1742","1744","1725","11"
"Goes","13","6","1871","periodiek","1489","1153","1153","1123","7"
"Breda","13","6","1871","periodiek","4003","3195","3199","3160","16"
"Tilburg","13","6","1871","periodiek","3376","1617","1616","1609","5"
"Eindhoven","13","6","1871","periodiek","2259","1231","1235","1199","32"
"Maastricht","13","6","1871","periodiek","2465","1123","1124","1070","48"
"Roermond","13","6","1871","periodiek","1967","1287","1287","1220","67"
"Boxmeer","13","6","1871","periodiek","2431","1647","1653","1618","25"
"Den Bosch","13","6","1871","periodiek","2760","1464","1435","1346","86"
"Amersfoort","27","6","1871","herstemming","2862","2126","2130","2119","5"
"Utrecht","27","6","1871","herstemming","2818","1410","1411","1389","17"
"Amsterdam","27","6","1871","herstemming","3959","2018","2018","2011","5"
"Haarlem","6","7","1871","tussentijds","2438","1446","1446","1435","9"
"Tiel","10","10","1871","tussentijds","2910","2139","2139","2116","20"
"Amsterdam","5","12","1871","tussentijds","3959","1799","1800","1798","2"
"Deventer","1","8","1872","tussentijds","2814","1032","1033","1011","14"
"Rotterdam","1","8","1872","tussentijds","2586","1243","1243","1229","13"
"Amsterdam","22","10","1872","tussentijds","4022","1968","1961","1953","5"
"Amsterdam","5","11","1872","herstemming","4022","1748","1745","1738","6"
"Sneek","25","2","1873","tussentijds","4127","2278","2278","2253","25"
"Leiden","18","3","1873","tussentijds","2792","1755","1755","1745","9"
"Leiden","1","4","1873","herstemming","2792","1707","1708","1687","13"
"Zuidhorn","10","6","1873","periodiek","1506","429","429","423","4"
"Appingedam","10","6","1873","periodiek","2968","1245","1245","1232","3"
"Winschoten","10","6","1873","periodiek","1303","486","486","482","4"
"Assen","10","6","1873","periodiek","2287","1015","1015","996","12"
"Leeuwarden","10","6","1873","periodiek","2950","1490","1492","1485","7"
"Sneek","10","6","1873","periodiek","4153","2556","2556","5024","76"
"Dokkum","10","6","1873","periodiek","2542","1784","1784","1783","0"
"Zwolle","10","6","1873","periodiek","2680","1814","1819","1800","12"
"Almelo","10","6","1873","periodiek","2201","1882","1882","1869","9"
"Deventer","10","6","1873","periodiek","2937","1611","1611","1596","5"
"Zutphen","10","6","1873","periodiek","3074","2377","2378","2345","20"
"Arnhem","10","6","1873","periodiek","2980","2250","2250","2224","9"
"Nijmegen","10","6","1873","periodiek","2527","1396","1396","1349","42"
"Tiel","10","6","1873","periodiek","2896","2073","2073","2048","23"
"Amersfoort","10","6","1873","periodiek","2974","2177","2177","2170","5"
"Utrecht","10","6","1873","periodiek","2960","1607","1607","1588","18"
"Hoorn","10","6","1873","periodiek","3725","1664","1664","1647","6"
"Alkmaar","10","6","1873","periodiek","3330","2472","2472","2463","3"
"Haarlem","10","6","1873","periodiek","2538","1334","1334","1319","13"
"Amsterdam","10","6","1873","periodiek","4019","1691","1691","4635","435"
"Leiden","10","6","1873","periodiek","2832","1656","1657","1641","15"
"Gouda","10","6","1873","periodiek","3448","1910","1911","1903","8"
"Delft","10","6","1873","periodiek","2874","1958","1959","1942","12"
"Rotterdam","10","6","1873","periodiek","2666","1325","1325","2528","42"
"Den Haag","10","6","1873","periodiek","2194","1398","1398","1388","8"
"Dordrecht","10","6","1873","periodiek","2137","1413","1415","1395","12"
"Gorinchem","10","6","1873","periodiek","3230","2217","2217","2206","9"
"Middelburg","10","6","1873","periodiek","2815","1780","1780","1763","13"
"Zierikzee","10","6","1873","periodiek","1422","1009","1009","1000","9"
"Breda","10","6","1873","periodiek","4036","2806","2806","2793","7"
"Tilburg","10","6","1873","periodiek","3474","1424","1425","1403","20"
"Eindhoven","10","6","1873","periodiek","2319","1556","1557","1545","7"
"Maastricht","10","6","1873","periodiek","2448","1819","1819","1793","12"
"Roermond","10","6","1873","periodiek","1978","1742","1744","1715","28"
"Boxmeer","10","6","1873","periodiek","2493","1761","1761","1676","77"
"Den Bosch","10","6","1873","periodiek","2800","1757","1757","1742","12"
"Dokkum","24","6","1873","herstemming","2542","1762","1762","1748","13"
"Almelo","24","6","1873","herstemming","2201","1973","1973","1962","10"
"Utrecht","24","6","1873","herstemming","2960","1772","1771","1762","6"
"Amsterdam","24","6","1873","herstemming","4019","1320","1319","1317","1"
"Leiden","24","6","1873","herstemming","2832","1461","1463","1450","10"
"Gouda","24","6","1873","herstemming","3448","1983","1984","1953","31"
"Delft","24","6","1873","herstemming","2874","2199","2201","2173","21"
"Gorinchem","24","6","1873","herstemming","3230","2400","2400","2374","25"
"Deventer","15","7","1873","tussentijds","2937","2132","2134","2101","15"
"Rotterdam","30","9","1873","tussentijds","2666","1028","1028","1011","15"
"Gouda","6","1","1874","tussentijds","3448","2324","2323","2317","5"
"Breda","6","1","1874","tussentijds","4036","2511","2511","2479","24"
"Gouda","20","1","1874","herstemming","3448","2768","2770","2756","14"
"Gouda","13","2","1874","tussentijds","3448","2598","2596","2586","5"
"Gouda","27","2","1874","herstemming","3448","2666","2666","2658","4"
"Appingedam","21","4","1874","tussentijds","2968","1994","1995","1981","7"
"Amersfoort","23","6","1874","tussentijds","3027","1918","1918","1906","5"
"Amersfoort","7","7","1874","herstemming","3027","2467","2468","2458","4"
"Tiel","15","9","1874","tussentijds","2934","1791","1791","1773","18"
"Amersfoort","17","9","1874","tussentijds","3027","1862","1862","1814","41"
"Leeuwarden","29","9","1874","tussentijds","3088","1609","1609","1594","11"
"Tiel","29","9","1874","herstemming","2934","2275","2275","2260","12"
"Hoorn","13","10","1874","tussentijds","3802","2233","2234","2224","2"
"Hoorn","27","10","1874","herstemming","3802","3071","3072","3055","5"
"Dokkum","3","11","1874","tussentijds","2589","1551","1552","1544","4"
"Nijmegen","1","6","1875","tussentijds","2574","1315","1315","1227","86"
"Groningen","8","6","1875","periodiek","1632","868","868","865","2"
"Appingedam","8","6","1875","periodiek","3064","1690","1690","1671","11"
"Assen","8","6","1875","periodiek","2499","1123","1123","1117","3"
"Leeuwarden","8","6","1875","periodiek","3135","2078","2078","2058","14"
"Sneek","8","6","1875","periodiek","4309","3781","3785","3769","8"
"Dokkum","8","6","1875","periodiek","2608","2215","2215","2202","9"
"Steenwijk","8","6","1875","periodiek","1511","1132","1132","1122","5"
"Zwolle","8","6","1875","periodiek","2767","1983","1984","1974","7"
"Almelo","8","6","1875","periodiek","2281","2019","2019","2006","6"
"Deventer","8","6","1875","periodiek","2923","2214","2215","2201","11"
"Zutphen","8","6","1875","periodiek","3112","2632","2632","2621","6"
"Arnhem","8","6","1875","periodiek","3094","2326","2326","2317","2"
"Nijmegen","8","6","1875","periodiek","2574","1998","1990","1978","11"
"Tiel","8","6","1875","periodiek","2988","2275","2275","2259","15"
"Amersfoort","8","6","1875","periodiek","3059","2001","2002","1981","15"
"Utrecht","8","6","1875","periodiek","3110","1699","1703","1687","14"
"Hoorn","8","6","1875","periodiek","3802","1961","1961","1925","10"
"Alkmaar","8","6","1875","periodiek","3514","2795","2795","2791","3"
"Alkmaar","8","6","1875","tussentijds","3514","2794","2794","2779","4"
"Haarlem","8","6","1875","periodiek","2579","1380","1382","1358","15"
"Amsterdam","8","6","1875","periodiek","4178","2432","2432","7261","29"
"Haarlemmermeer","8","6","1875","periodiek","1412","1101","1102","1091","2"
"Leiden","8","6","1875","periodiek","2919","1883","1883","1867","15"
"Gouda","8","6","1875","periodiek","3615","2759","2759","2750","7"
"Delft","8","6","1875","periodiek","2995","2551","2550","2541","7"
"Rotterdam","8","6","1875","periodiek","2819","1534","1533","1526","6"
"Brielle","8","6","1875","periodiek","1277","847","849","842","4"
"Den Haag","8","6","1875","periodiek","2367","837","837","763","71"
"Dordrecht","8","6","1875","periodiek","2208","1417","1417","1410","7"
"Gorinchem","8","6","1875","periodiek","3340","2225","2225","2211","11"
"Middelburg","8","6","1875","periodiek","2903","2193","2193","2176","13"
"Goes","8","6","1875","periodiek","1601","1280","1280","1264","14"
"Breda","8","6","1875","periodiek","4197","2905","2905","2891","9"
"Tilburg","8","6","1875","periodiek","3529","1577","1578","1556","8"
"Eindhoven","8","6","1875","periodiek","2392","1310","1310","1302","8"
"Maastricht","8","6","1875","periodiek","2405","1108","1101","1060","39"
"Roermond","8","6","1875","periodiek","2036","1675","1675","1645","27"
"Boxmeer","8","6","1875","periodiek","2534","1186","1186","1128","53"
"Den Bosch","8","6","1875","periodiek","2833","1398","1399","1367","31"
"Almelo","22","6","1875","herstemming","2281","2110","2110","2098","11"
"Arnhem","22","6","1875","herstemming","3094","2739","2739","2728","11"
"Utrecht","22","6","1875","herstemming","3110","2247","2248","2237","8"
"Delft","22","6","1875","herstemming","2995","2532","2532","2498","27"
"Breda","29","6","1875","tussentijds","4197","3409","3410","3389","14"
"Zutphen","20","7","1875","tussentijds","3112","2846","2845","2823","19"
"Middelburg","3","8","1875","tussentijds","2903","1572","1573","1496","73"
"Haarlemmermeer","3","11","1875","tussentijds","1412","1083","1084","1067","1"
"Nijmegen","11","1","1876","tussentijds","2574","1121","1124","1094","29"
"Tiel","11","1","1876","tussentijds","2988","1216","1216","1097","115"
"Den Bosch","11","1","1876","tussentijds","2833","1330","1330","1317","9"
"Rotterdam","7","3","1876","tussentijds","2819","778","778","759","18"
"Eindhoven","23","3","1876","tussentijds","2392","917","918","904","9"
"Amersfoort","4","4","1876","tussentijds","3059","1816","1817","1803","9"
"Tiel","17","4","1877","tussentijds","3108","1493","1494","1470","21"
"Amsterdam","17","4","1877","tussentijds","4141","678","678","670","8"
"Zuidhorn","12","6","1877","periodiek","1586","646","646","639","3"
"Appingedam","12","6","1877","periodiek","3178","1274","1274","1264","6"
"Appingedam","12","6","1877","tussentijds","3178","1274","1274","1257","12"
"Winschoten","12","6","1877","periodiek","1390","726","726","719","4"
"Assen","12","6","1877","periodiek","2675","830","830","819","10"
"Leeuwarden","12","6","1877","periodiek","3184","1275","1275","1264","10"
"Sneek","12","6","1877","periodiek","4421","2971","2968","5825","105"
"Dokkum","12","6","1877","periodiek","2764","1794","1794","1786","7"
"Zwolle","12","6","1877","periodiek","2808","1960","1958","1935","2"
"Almelo","12","6","1877","periodiek","2466","2166","2167","2149","13"
"Deventer","12","6","1877","periodiek","3064","2356","2356","2348","4"
"Zutphen","12","6","1877","periodiek","3308","2543","2544","2513","22"
"Arnhem","12","6","1877","periodiek","3338","1893","1893","1876","13"
"Nijmegen","12","6","1877","periodiek","2804","1660","1660","1644","15"
"Tiel","12","6","1877","periodiek","3164","1999","2000","1976","23"
"Amersfoort","12","6","1877","periodiek","3259","1959","1959","1943","11"
"Utrecht","12","6","1877","periodiek","3246","1731","1731","1719","10"
"Hoorn","12","6","1877","periodiek","3963","1415","1415","1392","21"
"Alkmaar","12","6","1877","periodiek","3734","2124","2124","2112","9"
"Alkmaar","12","6","1877","tussentijds","3734","2087","2087","1722","48"
"Haarlem","12","6","1877","periodiek","2739","1248","1248","1234","11"
"Amsterdam","12","6","1877","periodiek","4195","1543","1543","4564","65"
"Leiden","12","6","1877","periodiek","2969","2079","2079","2057","9"
"Gouda","12","6","1877","periodiek","3717","2258","2259","2253","2"
"Gouda","12","6","1877","tussentijds","3717","2261","2263","2238","12"
"Delft","12","6","1877","periodiek","3175","2333","2333","2311","21"
"Rotterdam","12","6","1877","periodiek","2924","1454","1454","1441","11"
"Den Haag","12","6","1877","periodiek","2439","1326","1327","1319","6"
"Dordrecht","12","6","1877","periodiek","2331","1333","1333","1318","7"
"Gorinchem","12","6","1877","periodiek","3496","2120","2120","2106","12"
"Middelburg","12","6","1877","periodiek","2920","2094","2096","2076","15"
"Zierikzee","12","6","1877","periodiek","1427","926","926","919","5"
"Breda","12","6","1877","periodiek","4478","2494","2494","2466","19"
"Tilburg","12","6","1877","periodiek","3771","1109","1109","1084","23"
"Eindhoven","12","6","1877","periodiek","2624","1205","1206","1194","12"
"Eindhoven","12","6","1877","tussentijds","2624","1204","1204","1193","11"
"Maastricht","12","6","1877","periodiek","2537","1817","1817","1791","23"
"Roermond","12","6","1877","periodiek","2126","1665","1665","1616","28"
"Boxmeer","12","6","1877","periodiek","2710","1510","1510","1455","47"
"Den Bosch","12","6","1877","periodiek","2980","1188","1190","1162","26"
"Almelo","26","6","1877","herstemming","2466","2188","2188","2159","21"
"Delft","26","6","1877","herstemming","3175","2503","2504","2476","26"
"Eindhoven","25","9","1877","tussentijds","2624","1224","1225","1223","2"
"Winschoten","16","10","1877","tussentijds","1390","339","339","337","1"
"Boxmeer","23","10","1877","tussentijds","2710","1324","1326","1294","29"
"Assen","27","11","1877","tussentijds","2675","1102","1102","1090","8"
"Leeuwarden","27","11","1877","tussentijds","3184","1639","1639","1625","9"
"Zutphen","27","11","1877","tussentijds","3308","2692","2692","2669","16"
"Haarlem","27","11","1877","tussentijds","2739","1178","1178","1137","36"
"Assen","12","12","1877","herstemming","2675","1535","1536","1524","6"
"Winschoten","26","2","1878","tussentijds","2558","1341","1341","1330","3"
"Hilversum","26","2","1878","tussentijds","1827","1302","1303","1297","2"
"Amsterdam","26","2","1878","tussentijds","4602","1974","1974","1965","9"
"Rotterdam","26","2","1878","tussentijds","3360","1903","1903","1888","12"
"Goes","26","2","1878","tussentijds","2623","1953","1953","1926","22"
"Zevenbergen","26","2","1878","tussentijds","2044","1520","1521","1508","3"
"Winschoten","12","3","1878","herstemming","2558","1609","1609","1594","8"
"Hilversum","12","3","1878","herstemming","1827","1350","1351","1336","10"
"Amsterdam","12","3","1878","herstemming","4602","1725","1725","1704","17"
"Rotterdam","12","3","1878","herstemming","3360","2446","2446","2419","22"
"Goes","12","3","1878","herstemming","2623","1934","1934","1871","53"
"Zevenbergen","12","3","1878","herstemming","2044","1528","1528","1499","24"
"Haarlemmermeer","19","3","1878","tussentijds","1465","1003","1003","997","4"
"Zevenbergen","23","4","1878","tussentijds","2044","1689","1689","1684","4"
"Zevenbergen","7","5","1878","herstemming","2044","1732","1733","1715","16"
"Arnhem","28","5","1878","tussentijds","3152","2050","2051","2040","8"
"Arnhem","11","6","1878","herstemming","3152","1868","1868","1835","31"
"Amsterdam","23","7","1878","tussentijds","4602","1030","1031","1012","19"
"Dokkum","17","9","1878","tussentijds","2784","1898","1899","1886","12"
"Rotterdam","8","10","1878","tussentijds","3360","1220","1220","1202","17"
"Dordrecht","8","10","1878","tussentijds","2236","1078","1078","1064","13"
"Leeuwarden","28","1","1879","tussentijds","2956","1436","1436","1420","15"
"Amersfoort","28","1","1879","tussentijds","3041","1730","1730","1707","13"
"Den Bosch","25","3","1879","tussentijds","3163","1625","1626","1588","35"
"Arnhem","8","4","1879","tussentijds","3152","1482","1482","1444","37"
"Dordrecht","22","4","1879","tussentijds","2236","1063","1063","1051","9"
"Dordrecht","6","5","1879","herstemming","2236","1230","1230","1204","21"
"Groningen","10","6","1879","periodiek","1486","610","610","600","8"
"Appingedam","10","6","1879","periodiek","3376","965","965","952","8"
"Winschoten","10","6","1879","periodiek","2628","1229","1229","1219","5"
"Assen","10","6","1879","periodiek","2528","792","792","778","9"
"Leeuwarden","10","6","1879","periodiek","3018","1762","1762","1719","40"
"Sneek","10","6","1879","periodiek","4532","3505","3505","3494","11"
"Dokkum","10","6","1879","periodiek","2781","1937","1937","1919","12"
"Steenwijk","10","6","1879","periodiek","1539","1185","1185","1177","3"
"Zwolle","10","6","1879","periodiek","2828","1835","1835","1824","8"
"Almelo","10","6","1879","periodiek","2285","1786","1786","1773","11"
"Deventer","10","6","1879","periodiek","3090","1961","1962","1949","12"
"Zutphen","10","6","1879","periodiek","3136","2582","2582","2553","24"
"Arnhem","10","6","1879","periodiek","3230","1808","1808","1794","12"
"Nijmegen","10","6","1879","periodiek","2856","1480","1480","1434","37"
"Tiel","10","6","1879","periodiek","3104","1990","1990","1956","28"
"Amersfoort","10","6","1879","periodiek","3116","1828","1828","1816","3"
"Utrecht","10","6","1879","periodiek","2751","1619","1619","1611","6"
"Hilversum","10","6","1879","periodiek","1894","1119","1119","1111","3"
"Hoorn","10","6","1879","periodiek","4084","1571","1571","1537","32"
"Alkmaar","10","6","1879","periodiek","3940","2013","2013","2004","7"
"Haarlem","10","6","1879","periodiek","2784","1262","1263","1225","34"
"Amsterdam","10","6","1879","periodiek","4760","1768","1768","5243","55"
"Haarlemmermeer","10","6","1879","periodiek","1493","1232","1232","1222","6"
"Leiden","10","6","1879","periodiek","2794","2150","2152","2138","9"
"Gouda","10","6","1879","periodiek","3649","2303","2303","2295","6"
"Delft","10","6","1879","periodiek","3174","2327","2327","2309","15"
"Rotterdam","10","6","1879","periodiek","3462","1947","1947","3596","296"
"Brielle","10","6","1879","periodiek","1245","540","540","526","14"
"Den Haag","10","6","1879","periodiek","2285","1191","1191","1179","11"
"Dordrecht","10","6","1879","periodiek","2268","1556","1556","1547","7"
"Gorinchem","10","6","1879","periodiek","3594","1972","1971","1956","13"
"Middelburg","10","6","1879","periodiek","2679","2005","2005","1987","10"
"Goes","10","6","1879","periodiek","2656","1784","1784","1732","22"
"Breda","10","6","1879","periodiek","3893","2609","2610","2591","10"
"Tilburg","10","6","1879","periodiek","3236","1276","1276","1258","17"
"Eindhoven","10","6","1879","periodiek","2424","1632","1633","1624","5"
"Maastricht","10","6","1879","periodiek","2560","1177","1177","1129","43"
"Roermond","10","6","1879","periodiek","2202","1338","1338","1277","57"
"Boxmeer","10","6","1879","periodiek","2527","1097","1099","958","112"
"Den Bosch","10","6","1879","periodiek","3233","1470","1470","1452","15"
"Steenwijk","24","6","1879","herstemming","1539","1366","1367","1356","10"
"Zwolle","24","6","1879","herstemming","2828","2431","2431","2420","7"
"Utrecht","24","6","1879","herstemming","2751","1955","1955","1945","9"
"Haarlemmermeer","24","6","1879","herstemming","1493","1308","1308","1295","9"
"Leiden","24","6","1879","herstemming","2794","2220","2220","2189","26"
"Gouda","24","6","1879","herstemming","3649","2535","2535","2485","42"
"Delft","24","6","1879","herstemming","3174","2178","2178","2117","43"
"Rotterdam","24","6","1879","herstemming","3462","2143","2143","4174","100"
"Dordrecht","24","6","1879","herstemming","2268","1692","1692","1683","7"
"Goes","24","6","1879","herstemming","2656","1833","1834","1771","52"
"Leiden","29","7","1879","tussentijds","2794","1880","1880","1869","5"
"Dokkum","26","8","1879","tussentijds","2781","2243","2245","2228","15"
"Utrecht","4","11","1879","tussentijds","2751","2310","2310","2298","8"
"Amsterdam","13","1","1880","tussentijds","4760","1532","1530","1518","12"
"Leiden","13","1","1880","tussentijds","2794","1681","1682","1666","14"
"Maastricht","3","2","1880","tussentijds","2560","2017","2018","1975","38"
"Eindhoven","8","6","1880","tussentijds","2463","1539","1539","1532","6"
"Breda","6","7","1880","tussentijds","3930","2018","2018","1886","115"
"Amsterdam","3","8","1880","tussentijds","4888","1716","1716","1708","5"
"Amsterdam","17","8","1880","herstemming","4888","1778","1777","1678","85"
"Gorinchem","17","8","1880","tussentijds","3654","1688","1688","1601","81"
"Rotterdam","24","8","1880","tussentijds","3551","1907","1907","1891","13"
"Hoorn","31","8","1880","tussentijds","4136","1262","1262","1239","15"
"Rotterdam","7","9","1880","herstemming","3551","2103","2103","2083","20"
"Gorinchem","23","9","1880","tussentijds","3654","2206","2206","2181","23"
"Sneek","23","11","1880","tussentijds","4609","3614","3615","3595","17"
"Tilburg","23","11","1880","tussentijds","3299","2086","2087","2067","13"
"Maastricht","23","11","1880","tussentijds","2583","1668","1669","1625","29"
"Tilburg","7","12","1880","herstemming","3299","2532","2532","2525","5"
"Amsterdam","15","2","1881","tussentijds","4888","1028","1029","1022","6"
"Arnhem","22","3","1881","tussentijds","3288","1607","1607","1594","11"
"Zuidhorn","14","6","1881","periodiek","1483","659","659","653","4"
"Appingedam","14","6","1881","periodiek","3379","1301","1301","1284","13"
"Winschoten","14","6","1881","periodiek","2749","723","723","709","12"
"Assen","14","6","1881","periodiek","2671","1269","1269","1262","5"
"Leeuwarden","14","6","1881","periodiek","3092","1930","1930","1924","3"
"Sneek","14","6","1881","periodiek","4673","3761","3761","7468","50"
"Dokkum","14","6","1881","periodiek","2774","1963","1964","1946","13"
"Zwolle","14","6","1881","periodiek","2981","2564","2565","2555","9"
"Almelo","14","6","1881","periodiek","2408","2086","2087","2074","8"
"Deventer","14","6","1881","periodiek","3173","2111","2111","2101","6"
"Zutphen","14","6","1881","periodiek","3293","2875","2875","2849","14"
"Arnhem","14","6","1881","periodiek","3389","2181","2181","2159","18"
"Nijmegen","14","6","1881","periodiek","2871","1371","1371","1330","37"
"Tiel","14","6","1881","periodiek","3192","2667","2667","2642","22"
"Amersfoort","14","6","1881","periodiek","3239","1466","1467","1401","62"
"Utrecht","14","6","1881","periodiek","2843","1487","1487","1408","79"
"Hoorn","14","6","1881","periodiek","4134","1407","1407","1386","16"
"Alkmaar","14","6","1881","periodiek","4080","2147","2148","2139","7"
"Haarlem","14","6","1881","periodiek","2925","989","989","954","29"
"Amsterdam","14","6","1881","periodiek","4993","2261","2261","8633","403"
"Leiden","14","6","1881","periodiek","3019","1475","1474","1432","40"
"Gouda","14","6","1881","periodiek","3806","2904","2904","2895","7"
"Delft","14","6","1881","periodiek","3263","2575","2576","2558","12"
"Rotterdam","14","6","1881","periodiek","3642","1961","1960","1938","22"
"Den Haag","14","6","1881","periodiek","2463","1287","1287","1271","13"
"Dordrecht","14","6","1881","periodiek","2411","1324","1324","1315","8"
"Gorinchem","14","6","1881","periodiek","3761","2505","2506","2490","14"
"Middelburg","14","6","1881","periodiek","2697","1981","1981","1964","12"
"Goes","14","6","1881","periodiek","2717","2003","2003","1967","33"
"Zierikzee","14","6","1881","periodiek","1468","1040","1040","1032","6"
"Breda","14","6","1881","periodiek","3955","1760","1761","1713","38"
"Zevenbergen","14","6","1881","periodiek","2134","1656","1658","1641","15"
"Tilburg","14","6","1881","periodiek","3361","1478","1478","1454","21"
"Eindhoven","14","6","1881","periodiek","2558","1141","1141","1128","12"
"Maastricht","14","6","1881","periodiek","2657","1295","1298","1246","50"
"Roermond","14","6","1881","periodiek","2124","1290","1290","1227","57"
"Boxmeer","14","6","1881","periodiek","2575","1295","1295","1199","83"
"Den Bosch","14","6","1881","periodiek","3324","1435","1436","1416","17"
"Almelo","28","6","1881","herstemming","2408","2149","2150","2135","11"
"Zevenbergen","28","6","1881","herstemming","2134","1767","1767","1732","31"
"Den Bosch","27","9","1881","tussentijds","3324","1072","1073","1053","18"
"Amsterdam","18","10","1881","tussentijds","4993","1641","1641","1589","34"
"Middelburg","29","11","1881","tussentijds","2697","1993","1977","1962","12"
"Zutphen","13","12","1881","tussentijds","3293","2837","2838","2808","17"
"Sneek","3","1","1882","tussentijds","4673","3895","3894","3875","12"
"Middelburg","3","1","1882","tussentijds","2697","2358","2358","2338","13"
"Roermond","17","1","1882","tussentijds","2124","1315","1316","1228","82"
"Boxmeer","7","2","1882","tussentijds","2575","1068","1068","1021","42"
"Gorinchem","14","2","1882","tussentijds","3761","1451","1452","1365","71"
"Steenwijk","11","4","1882","tussentijds","1591","1348","1348","1343","4"
"Tilburg","2","5","1882","tussentijds","3459","1762","1763","1747","13"
"Hilversum","9","5","1882","tussentijds","2109","1337","1337","1312","20"
"Maastricht","18","7","1882","tussentijds","2717","2074","2075","2022","47"
"Amersfoort","17","10","1882","tussentijds","3290","1878","1879","1859","11"
"Gouda","7","11","1882","tussentijds","3839","2614","2615","2595","17"
"Zutphen","5","12","1882","tussentijds","3369","2813","2813","2783","23"
"Amsterdam","27","3","1883","tussentijds","5192","1955","1954","1927","27"
"Amsterdam","27","3","1883","tussentijds","5192","1957","1957","1936","21"
"Amsterdam","10","4","1883","herstemming","5192","1652","1651","1639","7"
"Amsterdam","10","4","1883","herstemming","5192","1652","1652","1639","8"
"Groningen","12","6","1883","periodiek","1601","1159","1159","1156","2"
"Appingedam","12","6","1883","periodiek","3346","1582","1582","1566","11"
"Winschoten","12","6","1883","periodiek","2801","1060","1060","1053","6"
"Assen","12","6","1883","periodiek","2706","1492","1492","1482","3"
"Leeuwarden","12","6","1883","periodiek","3059","1863","1863","1850","8"
"Sneek","12","6","1883","periodiek","4704","4080","4080","4053","25"
"Dokkum","12","6","1883","periodiek","2712","2207","2207","2196","9"
"Steenwijk","12","6","1883","periodiek","1646","1434","1434","1433","1"
"Zwolle","12","6","1883","periodiek","3016","2589","2589","2555","13"
"Almelo","12","6","1883","periodiek","2470","2135","2136","2118","10"
"Deventer","12","6","1883","periodiek","3243","2585","2586","2573","7"
"Zutphen","12","6","1883","periodiek","3387","3146","3146","3128","13"
"Arnhem","12","6","1883","periodiek","3501","2808","2808","2791","11"
"Nijmegen","12","6","1883","tussentijds","2964","1926","1926","1884","20"
"Nijmegen","12","6","1883","periodiek","2964","1923","1923","1901","21"
"Tiel","12","6","1883","periodiek","3230","2696","2699","2678","12"
"Amersfoort","12","6","1883","periodiek","3358","2039","2041","2026","10"
"Utrecht","12","6","1883","periodiek","2953","2201","2201","2190","9"
"Hilversum","12","6","1883","periodiek","2183","973","974","943","29"
"Hoorn","12","6","1883","periodiek","4332","2258","2260","2221","36"
"Alkmaar","12","6","1883","periodiek","4021","2350","2349","2332","14"
"Haarlem","12","6","1883","periodiek","3091","1362","1361","1349","10"
"Amsterdam","12","6","1883","periodiek","5299","1818","1818","5378","64"
"Haarlemmermeer","12","6","1883","periodiek","1615","1194","1194","1182","8"
"Leiden","12","6","1883","periodiek","3120","2105","2105","2074","20"
"Gouda","12","6","1883","periodiek","3874","2658","2658","2650","7"
"Delft","12","6","1883","periodiek","3386","2694","2694","2684","9"
