"","District","Aanbevolen.door","Aantal.stemmen","Percentage","V5"
"1","Almelo(14/06/1881)","AR","173","8.3414%","' J. van Alphen'"
"2","Almelo(12/06/1883)","AR","169","7.9792%","' J. van Alphen'"
"3","Almelo(06/05/1884)","","170","8.313%","' J. van Alphen'"
"4","Almelo(28/10/1884)","AR","200","4.5746%","' J. van Alphen'"
"5","Almelo(28/11/1884)","","1202","52.6731%","' J. van Alphen'"
"6","Almelo(15/06/1886)","AR(DT)","1411","26.5775%","' J. van Alphen'"
"7","Almelo(01/09/1887)","AR(DT)","1302","47.553%","' J. van Alphen'"
"8","Enschede(06/03/1888)","AR(Ka)","919","49.1707%","' J. van Alphen'"
"9","Ommen(04/04/1888)","AR","1264","60.2766%","' J. van Alphen'"
"10","Almelo(09/06/1891)","","27","1.3797%","' J. van Alphen'"
"11","Ommen(09/06/1891)","AR","765","37.3171%","' J. van Alphen'"
"12","Enschede(09/06/1891)","AR","168","7.7778%","' J. van Alphen'"
"13","Emmen(09/06/1891)","AR","385","28.7313%","' J. van Alphen'"
"14","Ommen(23/06/1891)","AR","1159","54.2857%","' J. van Alphen'"
"15","Lochem(10/04/1894)","AR(VT)
               AR(VT)","830","30.4364%","' J. van Alphen'"
"16","Rotterdam(10/04/1894)","AR(VT)","619","2.489%","' J. van Alphen'"
"17","Ommen(10/04/1894)","AR(VT)","604","51.3605%","' J. van Alphen'"
"18","Lochem(24/04/1894)","","1278","46.8991%","' J. van Alphen'"
"19","Ommen(15/06/1897)","AR(Ka)","2977","56.511%","' J. van Alphen'"
"20","Enschede(15/06/1897)","AR","414","5.0779%","' J. van Alphen'"
"21","Ommen(14/06/1901)","AR(Ka/VA)","2672","65.2503%","' J. van Alphen'"
"22","Ommen(16/06/1905)","AR(Ka/CHP)","4114","57.2263%","' J. van Alphen'"
"23","Almelo(06/05/1884)",NA,"913","44.6455%","'mr. E.J.I. van Sonsbeeck'"
"24","Almelo(20/05/1884)",NA,"1135","49.0917%","'mr. E.J.I. van Sonsbeeck'"
"25","Amsterdam(10/06/1879)","(DT)*","460","8.7736%","'mr. A.H.M. van Berckel'"
"26","Amsterdam(03/08/1880)","","392","22.9508%","'mr. A.H.M. van Berckel'"
"27","Amsterdam(14/06/1881)","(DT)*","362","4.1932%","'mr. A.H.M. van Berckel'"
"28","Haarlem(12/06/1883)","(DT)*","412","30.5411%","'mr. A.H.M. van Berckel'"
"29","Delft(12/06/1883)","(DT)*","1031","38.4128%","'mr. A.H.M. van Berckel'"
"30","Delft(26/06/1883)","DT(AR)","1468","51.4546%","'mr. A.H.M. van Berckel'"
"31","Almelo(28/10/1884)","(DT)*","964","22.0494%","'mr. A.H.M. van Berckel'"
"32","Hoorn(28/10/1884)","(DT)*","861","14.776%","'mr. A.H.M. van Berckel'"
"33","Delft(28/10/1884)","(DT)*","1172","25.6624%","'mr. A.H.M. van Berckel'"
"34","Delft(11/11/1884)","DT(AR)","1854","31.1859%","'mr. A.H.M. van Berckel'"
"35","Almelo(11/11/1884)","DT(AR)","1204","25.6716%","'mr. A.H.M. van Berckel'"
"36","Delft(15/06/1886)","DT(AR)","1822","28.4776%","'mr. A.H.M. van Berckel'"
"37","Amsterdam(15/06/1886)","(DT)*","628","2.7223%","'mr. A.H.M. van Berckel'"
"38","Delft(01/09/1887)","DT(AR)","1509","33.2086%","'mr. A.H.M. van Berckel'"
"39","Loosduinen(06/03/1888)","Ka","1319","38.5447%","'mr. A.H.M. van Berckel'"
"40","Loosduinen(20/03/1888)","Ka(AR)","2001","59.5713%","'mr. A.H.M. van Berckel'"
"41","Loosduinen(09/06/1891)","Ka","1226","38.505%","'mr. A.H.M. van Berckel'"
"42","Amsterdam(09/06/1891)","Ka(AR)","2271","1.9042%","'mr. A.H.M. van Berckel'"
"43","Loosduinen(23/06/1891)","Ka","1355","50.0739%","'mr. A.H.M. van Berckel'"
"44","Loosduinen(10/04/1894)","Ka(TT)","1298","46.5567%","'mr. A.H.M. van Berckel'"
"45","Loosduinen(24/04/1894)","Ka(TT)","1755","54.3344%","'mr. A.H.M. van Berckel'"
"46","Loosduinen(15/06/1897)","Ka","2260","38.0984%","'mr. A.H.M. van Berckel'"
"47","Amsterdam IV(15/06/1897)","Ka","213","10.7848%","'mr. A.H.M. van Berckel'"
"48","Loosduinen(25/06/1897)","Ka","2411","44.4178%","'mr. A.H.M. van Berckel'"
"49","Almelo(28/10/1884)","(AH)*","1018","23.2845%","' J.E.  Stork'"
"50","Almelo(11/11/1884)","","1082","23.0704%","' J.E.  Stork'"
"51","Almelo(15/06/1886)","(AH)*","1224","23.0552%","' A.H.  Jannink'"
"52","Arnhem(28/05/1878)","","456","22.3529%","'mr. W.C.J.J.  Cremers'"
