"","District","Aanbevolen.door","Aantal.stemmen","Percentage","V5"
"1","Breda(12/06/1883)","(AH)*","367","18.5166%","' R.J.A.  Kallenberg van den Bosch'"
"2","Breda(28/10/1884)","(AH)*","392","8.3139%","' R.J.A.  Kallenberg van den Bosch'"
"3","Breda(28/10/1884)","(AH)*","390","8.2715%","' J.C.C. den Beer Poortugael'"
"4","Breda(14/07/1885)","","221","10.919%","'mr. W.M.H.  Boers'"
"5","Delft(18/05/1894)","Lib(VT)","657","33.2322%","'mr. W.M.H.  Boers'"
"6","Tilburg(10/06/1862)",NA,"99","10.4873%","' J.H.A.  Diepen'"
"7","Eindhoven(25/09/1877)",NA,"86","7.0319%","' J.H.A.  Diepen'"
"8","Zevenbergen(26/02/1878)",NA,"703","46.618%","' J.H.A.  Diepen'"
"9","Zevenbergen(12/03/1878)",NA,"754","50.3002%","' J.H.A.  Diepen'"
"10","Zevenbergen(23/04/1878)",NA,"650","38.5986%","' J.H.A.  Diepen'"
"11","Zevenbergen(07/05/1878)",NA,"814","47.4636%","' J.H.A.  Diepen'"
"12","Eindhoven(10/06/1879)",NA,"605","37.2537%","' J.H.A.  Diepen'"
"13","Tilburg(23/11/1880)",NA,"935","45.2346%","' J.H.A.  Diepen'"
"14","Tilburg(07/12/1880)",NA,"1039","41.1485%","' J.H.A.  Diepen'"
"15","Tilburg(14/06/1881)",NA,"54","3.7139%","' J.H.A.  Diepen'"
"16","Zevenbergen(26/02/1878)","","361","23.939%","'mr. R. van der Werk'"
"17","Zevenbergen(12/03/1878)","","745","49.6998%","'mr. R. van der Werk'"
"18","Zevenbergen(23/04/1878)","","549","32.601%","'mr. R. van der Werk'"
"19","Zevenbergen(07/05/1878)","","901","52.5364%","'mr. R. van der Werk'"
"20","Zevenbergen(14/06/1881)","(AH)*","627","38.2084%","'mr. R. van der Werk'"
"21","Zevenbergen(28/06/1881)","(AH)*","893","51.5589%","'mr. R. van der Werk'"
"22","Zevenbergen(24/06/1884)","","519","47.7461%","'mr. R. van der Werk'"
"23","Zevenbergen(08/07/1884)","","629","40.8707%","'mr. R. van der Werk'"
"24","Zevenbergen(28/10/1884)","(AH)*","460","29.0404%","'mr. R. van der Werk'"
"25","Zevenbergen(26/02/1878)",NA,"102","6.7639%","' A.  Sassen'"
"26","Zevenbergen(14/06/1881)","(DT)*","612","37.2943%","'mr. L. van Rijckevorsel'"
"27","Zevenbergen(28/06/1881)","(DT)*","838","48.3834%","'mr. L. van Rijckevorsel'"
"28","Boxmeer(07/02/1882)","","35","3.428%","'mr. L. van Rijckevorsel'"
"29","Zevenbergen(14/06/1881)","AR","376","22.9129%","' C.N.  Tieleman'"
"30","Zevenbergen(24/06/1884)",NA,"29","2.6679%","' H.M.  Smits'"
"31",NA,NA,NA,NA,NA
"32","Tilburg(27/08/1850)",NA,"168","4.6358%","'mr. C.D.  Beels'"
"33","Tilburg(27/08/1850)",NA,"56","1.5453%","'mr. A. van Baar'"
"34","Tilburg(19/12/1850)",NA,"60","4.882%","'mr. A. van Baar'"
"35","Tilburg(27/08/1850)",NA,"30","0.8278%","' A.A.A.  Barning'"
"36","Tilburg(19/12/1850)",NA,"77","6.2653%","' A.A.A.  Barning'"
"37","Tilburg(20/01/1852)",NA,"67","7.6223%","' A.A.A.  Barning'"
