"","District","Aanbevolen.door","Aantal.stemmen","Percentage","V5"
"1","Amsterdam I(30/11/1848)",NA,"6","1.7045%","'mr. S.  Vissering'"
"2","Leeuwarden(29/09/1874)",NA,"112","7.0263%","'mr. S.  Vissering'"
"3","Leeuwarden(12/06/1877)","","144","11.3924%","' F.  Lieftinck'"
"4","Leeuwarden(28/01/1879)","","736","51.831%","' F.  Lieftinck'"
"5","Leeuwarden(10/06/1879)","(AH)*","1240","72.135%","' F.  Lieftinck'"
"6","Leeuwarden(12/06/1883)","(AH)*","1258","68.0%","' F.  Lieftinck'"
"7","Leeuwarden(28/10/1884)","(AH)*","1432","33.7736%","' F.  Lieftinck'"
"8","Leeuwarden(15/06/1886)","(AH)*","1502","31.8896%","' F.  Lieftinck'"
"9","Leeuwarden(01/09/1887)","","1009","37.5093%","' F.  Lieftinck'"
"10","Franeker(06/03/1888)","Lib","1351","43.7217%","' F.  Lieftinck'"
"11","Franeker(20/03/1888)","Lib","1896","55.6175%","' F.  Lieftinck'"
"12","Franeker(09/06/1891)","Lib","1284","41.7561%","' F.  Lieftinck'"
"13","Franeker(23/06/1891)","Lib","1796","54.0475%","' F.  Lieftinck'"
"14","Franeker(10/04/1894)","Lib(VT)","1315","61.1628%","' F.  Lieftinck'"
"15","Franeker(15/06/1897)","Lib","1273","34.583%","' F.  Lieftinck'"
"16","Franeker(25/06/1897)","Lib(CHK)","2476","55.8035%","' F.  Lieftinck'"
"17","Franeker(14/06/1901)","Lib(VL)","1668","31.1892%","' F.  Lieftinck'"
"18","Franeker(27/06/1901)","Lib(VL/VD/SDAP)","3007","56.3214%","' F.  Lieftinck'"
"19","Franeker(16/06/1905)","Lib","1830","26.5988%","' F.  Lieftinck'"
"20","Zutphen(01/08/1905)","Lib","3035","44.6652%","' F.  Lieftinck'"
"21","Zutphen(08/08/1905)","Lib(SDAP)","3838","56.4329%","' F.  Lieftinck'"
