"","District","Aanbevolen.door","Aantal.stemmen","Percentage","V5"
"1","Den Haag(01/09/1887)","(DT)*","757","19.5304%","' J.  Canter Visscher'"
"2","Gorinchem(27/08/1850)",NA,"135","13.8037%","'mr. J.D. van der Poel'"
"3","Dordrecht(08/06/1852)",NA,"213","20.7805%","'mr. J.D. van der Poel'"
"4","Dordrecht(08/06/1852)",NA,"147","13.1016%","'mr. J.D. van der Poel'"
"5","Dordrecht(17/05/1853)",NA,"744","25.332%","'mr. J.D. van der Poel'"
"6","Gorinchem(17/05/1853)",NA,"64","5.5459%","'mr. J.D. van der Poel'"
"7","Dordrecht(02/07/1853)",NA,"814","57.5265%","'mr. J.D. van der Poel'"
"8","Dordrecht(10/06/1856)",NA,"375","34.7544%","'mr. J.D. van der Poel'"
"9","Dordrecht(24/06/1856)",NA,"653","53.0032%","'mr. J.D. van der Poel'"
"10","Dordrecht(12/06/1860)",NA,"285","30.6122%","'mr. J.D. van der Poel'"
"11","Dordrecht(26/06/1860)",NA,"552","44.1247%","'mr. J.D. van der Poel'"
"12","Gorinchem(16/09/1862)",NA,"431","23.2721%","'mr. J.D. van der Poel'"
"13","Gorinchem(10/11/1862)",NA,"639","39.3958%","'mr. J.D. van der Poel'"
"14","Gorinchem(24/11/1862)",NA,"970","51.955%","'mr. J.D. van der Poel'"
"15","Dordrecht(08/06/1852)",NA,"429","41.8537%","'mr. G.A. de Raadt'"
"16","Dordrecht(08/06/1852)",NA,"67","5.9715%","'mr. G.A. de Raadt'"
"17","Dordrecht(22/06/1852)",NA,"596","56.0677%","'mr. G.A. de Raadt'"
"18","Dordrecht(17/05/1853)",NA,"417","14.1982%","'mr. G.A. de Raadt'"
"19","Dordrecht(02/07/1853)",NA,"195","13.7809%","'mr. G.A. de Raadt'"
"20","Dordrecht(10/06/1856)",NA,"105","9.7312%","'mr. G.A. de Raadt'"
"21","Dordrecht(27/12/1859)",NA,"273","28.5565%","'mr. G.A. de Raadt'"
"22","Dordrecht(10/01/1860)",NA,"540","49.4053%","'mr. G.A. de Raadt'"
"23","Dordrecht(13/02/1860)",NA,"378","34.1155%","'mr. G.A. de Raadt'"
"24","Dordrecht(28/02/1860)",NA,"669","58.0225%","'mr. G.A. de Raadt'"
"25","Dordrecht(10/06/1862)",NA,"471","71.7988%","'mr. G.A. de Raadt'"
"26","Dordrecht(12/06/1866)",NA,"744","52.3207%","'mr. G.A. de Raadt'"
"27","Dordrecht(30/10/1866)",NA,"861","24.5509%","'mr. G.A. de Raadt'"
"28","Dordrecht(13/11/1866)",NA,"995","26.4909%","'mr. G.A. de Raadt'"
"29","Dordrecht(31/01/1871)",NA,"204","14.8041%","'mr. G.A. de Raadt'"
"30","Dordrecht(17/05/1853)",NA,"779","26.5237%","'mr. P.A.  Sander'"
"31","Dordrecht(13/06/1854)",NA,"558","48.4375%","'mr. P.A.  Sander'"
"32","Dordrecht(27/06/1854)",NA,"948","62.7399%","'mr. P.A.  Sander'"
"33","Dordrecht(08/06/1858)",NA,"635","68.5745%","'mr. P.A.  Sander'"
"34","Dordrecht(27/12/1859)",NA,"297","31.0669%","'mr. P.A.  Sander'"
"35","Dordrecht(10/01/1860)",NA,"553","50.5947%","'mr. P.A.  Sander'"
"36","Dordrecht(27/12/1859)",NA,"67","7.0084%","'mr. J.G.  Kist'"
"37","Dordrecht(30/10/1866)",NA,"33","0.941%","'mr. J.G.  Kist'"
"38","Dordrecht(22/01/1868)",NA,"238","7.0186%","'mr. J.G.  Kist'"
"39","Dordrecht(13/02/1860)","","183","16.5162%","' J.P.  Bredius'"
"40","Gorinchem(08/06/1869)","(AH)*","262","14.8106%","' J.P.  Bredius'"
"41","Dordrecht(31/01/1871)","","767","55.6604%","' J.P.  Bredius'"
"42","Dordrecht(10/06/1873)","(AH)*","887","63.5842%","' J.P.  Bredius'"
"43","Dordrecht(12/06/1877)","(AH)*","909","68.9681%","' J.P.  Bredius'"
