"","District","Aanbevolen.door","Aantal.stemmen","Percentage","V5"
"1","Den Helder(17/06/1913)","AR(Ka/CHU)","1161","15.839%","' C.J. van der Hegge Spies'"
"2","Hilversum(17/06/1913)","SDP","108","0.8403%","' G.A.  Vader'"
"3","Hilversum(15/06/1917)","SDP","804","10.8079%","' G.A.  Vader'"
"4","Goes(17/06/1913)","SDAP","324","4.3478%","' G.  Middelburg'"
"5","Goes(17/06/1913)","Lib","3206","43.022%","' J.G.  Moojen'"
"6","Hontenisse(17/06/1913)","SDAP","82","1.1101%","' J.  Ossewaarde'"
"7","Oostburg(17/06/1913)","SDAP","227","2.6845%","' G.F.  Lindeijer'"
"8","Middelburg(17/06/1913)","SDAP","1198","11.7983%","' G.F.  Lindeijer'"
"9","Breukelen(17/06/1913)","Lib","1847","26.8186%","'mr. J.A. van Hamel'"
"10","Amsterdam IV(03/04/1917)","","1343","57.3686%","'mr. J.A. van Hamel'"
"11","Amsterdam IV(15/06/1917)","Lib","1102","75.1193%","'mr. J.A. van Hamel'"
"12","Utrecht I(17/06/1913)","CHU(Ka/AR)","3688","41.8853%","' W.C. baron van Roëll'"
"13","Utrecht I(25/06/1913)","CHU(Ka/AR)","3745","42.1592%","' W.C. baron van Roëll'"
"14","Utrecht II(17/06/1913)","SDP","16","0.2073%","' J. van den Berg'"
"15","Dokkum(17/06/1913)","Lib","2937","38.5231%","' J.  Sibinga Mulder'"
"16","Emmen(28/02/1917)","","3213","62.7172%","' J.  Sibinga Mulder'"
"17","Emmen(15/06/1917)","Lib","None","None%","' J.  Sibinga Mulder'"
"18","Harlingen(17/06/1913)","SDAP","1730","24.2943%","' J.H.  Anema'"
"19","Harlingen(17/06/1913)","VL","1694","23.7888%","'mr.dr. A.D.H.  Fockema Andreae'"
"20","Leeuwarden(17/06/1913)","Ka(AR/CHU)","1685","20.9447%","' W.  Fransen Jzn.'"
"21","Tietjerksteradeel(17/06/1913)","Lib","2238","28.0627%","' J.H.  Faber'"
"22","Weststellingwerf(17/06/1913)","AR(Ka/CHU)","1671","26.1707%","' J. de Bruijn'"
"23","Weststellingwerf(17/06/1913)","VD","2076","32.5137%","'dr. P.  Kohnstamm'"
"24","Weststellingwerf(25/06/1913)","VD(VL/Lib)","2497","45.5408%","'dr. P.  Kohnstamm'"
"25","Deventer(17/06/1913)","AR(Ka/CHU)","2236","33.1554%","' J.C. baron van Haersolte'"
"26","Kampen(17/06/1913)","AR(Ka/CHU)","3430","48.7078%","'dr. E.J.  Beumer'"
"27","Kampen(25/06/1913)","AR(Ka/CHU)","3877","51.0064%","'dr. E.J.  Beumer'"
"28","Kampen(15/06/1917)","AR","None","None%","'dr. E.J.  Beumer'"
"29","Kampen(17/06/1913)","Lib","2430","34.5072%","' J.C. de Gast'"
"30","Kampen(25/06/1913)","Lib(VL/VD/SDAP)","3724","48.9936%","' J.C. de Gast'"
"31","Ommen(17/06/1913)","SDAP","207","2.2815%","' G.  Schotveld'"
"32","Steenwijk(17/06/1913)","SDAP","351","4.8294%","' B.  Boers'"
"33","Steenwijk(17/06/1913)","Lib","3196","43.9736%","'mr.dr. E. van Ketwich Verschuur'"
"34","Appingedam(17/06/1913)","CHU","691","8.6962%","'mr. E.J.  Thomassen à Thuessink van der Hoop van Slochteren'"
"35","Groningen(17/06/1913)","SDP","124","1.4186%","' G.  Sterringa'"
"36","Groningen(13/08/1913)","SDP","81","1.4136%","' G.  Sterringa'"
"37","Groningen(15/06/1917)","SDP","495","9.4737%","' G.  Sterringa'"
"38","Zuidhorn(15/06/1917)","SDP","452","11.719%","' G.  Sterringa'"
"39","Hoogezand(17/06/1913)","AR(Ka/CHU)","1645","25.93%","' R.  Koppe'"
