"","District","Aanbevolen.door","Aantal.stemmen","Percentage","V5"
"1","Sittard(15/06/1897)","Ka","2240","88.3629%","'mr. C.C.M.H. baron van Bieberstein Rogalla Zawadsky'"
"2","Sittard(14/06/1901)","Ka","1962","48.8789%","'mr. C.C.M.H. baron van Bieberstein Rogalla Zawadsky'"
"3","Sittard(15/06/1897)","Ka","292","11.5187%","' A.  Kamps'"
"4","Sittard(30/07/1903)","","39","0.8231%","' A.  Kamps'"
"5","Sliedrecht(15/06/1897)","Lib","1005","23.0293%","' C.B.  Wisboom'"
"6","Sneek(15/06/1897)","CHK","1205","26.6711%","' W.  Kroese'"
"7","Steenwijk(09/06/1891)","Lib","1003","41.0897%","' J.  Meesters 2'"
"8","Steenwijk(10/04/1894)","Lib(VT)","727","33.1358%","' J.  Meesters 2'"
"9","Steenwijk(24/04/1894)","Lib(VT)","1323","57.3224%","' J.  Meesters 2'"
"10","Steenwijk(15/06/1897)","Lib","1575","38.7168%","' J.  Meesters 2'"
"11","Steenwijk(25/06/1897)","Lib(CHK)","2389","52.9829%","' J.  Meesters 2'"
"12","Steenwijk(14/06/1901)","","1544","35.421%","' J.  Meesters 2'"
"13","Steenwijk(15/06/1897)","CHK(VA)","741","18.2153%","'mr. J.G. van der Hoop'"
"14",NA,NA,NA,NA,NA
"15","Tietjerksteradeel(15/06/1897)","AR","1867","43.9294%","' J.D. de Vries'"
"16","Tietjerksteradeel(25/06/1897)","AR(Ka)","2432","47.6489%","' J.D. de Vries'"
"17","Tilburg(15/06/1897)","Ka","1684","39.3642%","' A.H.A.  Arts'"
"18","Tilburg(07/06/1898)","","1569","35.4897%","' A.H.A.  Arts'"
"19","Tilburg(03/12/1901)","","1865","42.6969%","' A.H.A.  Arts'"
"20","Tilburg(12/12/1901)","","2476","50.7897%","' A.H.A.  Arts'"
"21","Tilburg(16/06/1905)","Ka(AR)","3202","70.4821%","' A.H.A.  Arts'"
"22","Tilburg(11/06/1909)","Ka","4475","90.331%","' A.H.A.  Arts'"
"23","Tilburg(17/06/1913)","Ka(AR/CHU)","4290","76.8404%","' A.H.A.  Arts'"
"24","Tilburg(15/06/1917)","Ka","None","None%","' A.H.A.  Arts'"
"25","Tilburg(07/06/1898)","","206","4.6596%","' F.P.J.M. van Dooren'"
"26","Tilburg(16/06/1905)","Ka","779","17.1473%","' F.P.J.M. van Dooren'"
"27","Utrecht I(15/06/1897)","AR(Ka)","1784","38.6733%","'mr. N. de Ridder'"
"28","Utrecht I(25/06/1897)","AR(Ka)","2020","41.3511%","'mr. N. de Ridder'"
"29","Groningen(14/06/1901)","AR","571","11.0147%","'mr. N. de Ridder'"
"30","Wijk bij Duurstede(03/10/1901)","","2414","71.6959%","'mr. N. de Ridder'"
"31","Wijk bij Duurstede(16/06/1905)","AR(Ka/CHP)","4233","65.8628%","'mr. N. de Ridder'"
"32","Utrecht II(16/06/1905)","AR(Ka/CHP)","2422","46.1949%","'mr. N. de Ridder'"
"33","Utrecht II(28/06/1905)","AR(Ka/CHP)","2544","45.8378%","'mr. N. de Ridder'"
"34","Wijk bij Duurstede(11/06/1909)","AR(Ka/CHU)","4409","72.8279%","'mr. N. de Ridder'"
"35","Veendam(15/06/1897)","AR(Ka)","1467","32.7821%","' M.H.A. van der Valk'"
"36","Emmen(15/06/1897)","","721","20.659%","' M.H.A. van der Valk'"
"37","Veendam(17/03/1899)","","1590","52.7188%","' J.H.A.  Schaper'"
"38","Appingedam(14/06/1901)","SDAP","1859","34.865%","' J.H.A.  Schaper'"
"39","Veendam(14/06/1901)","SDAP","1927","48.9708%","' J.H.A.  Schaper'"
"40","Appingedam(27/06/1901)","SDAP(VD)","3108","57.4067%","' J.H.A.  Schaper'"
"41","Veendam(27/06/1901)","SDAP","2110","53.2559%","' J.H.A.  Schaper'"
"42","Appingedam(16/06/1905)","SDAP","2838","39.5761%","' J.H.A.  Schaper'"
"43","Appingedam(28/06/1905)","SDAP(Lib/VD)","4087","59.189%","' J.H.A.  Schaper'"
"44","Appingedam(11/06/1909)","SDAP","2705","38.2928%","' J.H.A.  Schaper'"
"45","Loosduinen(11/06/1909)","SDAP","320","4.1564%","' J.H.A.  Schaper'"
"46","Appingedam(23/06/1909)","SDAP(Lib/VD)","3782","55.2278%","' J.H.A.  Schaper'"
"47","Kampen(17/06/1913)","SDAP","371","5.2684%","' J.H.A.  Schaper'"
"48","Loosduinen(17/06/1913)","SDAP","434","4.7998%","' J.H.A.  Schaper'"
"49","Appingedam(17/06/1913)","SDAP","2747","34.5709%","' J.H.A.  Schaper'"
"50","Appingedam(25/06/1913)","SDAP(VL/Lib/VD)","4495","58.9972%","' J.H.A.  Schaper'"
"51","Appingedam(15/06/1917)","SDAP","None","None%","' J.H.A.  Schaper'"
"52","Winschoten(15/06/1897)","Lib","1415","33.053%","'dr. D.  Bos'"
"53","Winschoten(25/06/1897)","Lib","1606","41.3704%","'dr. D.  Bos'"
"54","Veendam(14/06/1901)","VD(Lib)","1250","31.7662%","'dr. D.  Bos'"
"55","Winschoten(14/06/1901)","VD(Lib)","1314","33.8398%","'dr. D.  Bos'"
"56","Winschoten(27/06/1901)","VD(VL/Lib/Ka/VA)","2495","54.2509%","'dr. D.  Bos'"
"57","Veendam(27/06/1901)","VD(VL/Lib/Ka/VA)","1852","46.7441%","'dr. D.  Bos'"
"58","Winschoten(16/06/1905)","VD","2396","55.3093%","'dr. D.  Bos'"
"59","Winschoten(11/06/1909)","VD","2032","48.0947%","'dr. D.  Bos'"
"60","Winschoten(23/06/1909)","VD(VL/Lib/SDAP)","3309","72.5817%","'dr. D.  Bos'"
"61","Winschoten(17/06/1913)","VD","2396","41.9762%","'dr. D.  Bos'"
"62","Groningen(17/06/1913)","VD","3760","43.0157%","'dr. D.  Bos'"
"63","Groningen(25/06/1913)","VD(VL/Lib)","4171","55.6207%","'dr. D.  Bos'"
"64","Winschoten(25/06/1913)","VD(VL/Lib)","3172","55.5614%","'dr. D.  Bos'"
"65","Zaandam(15/06/1897)","AR","1045","18.298%","' J.  Windhouwer'"
"66","Zaandam(16/06/1905)","AR(Ka/CHP)","1901","27.5427%","' J.  Windhouwer'"
"67","Zaandam(15/06/1897)","Ka","657","11.5041%","' G.C.  Kamphuis'"
"68","Zuidhorn(15/06/1897)","Lib","971","21.2426%","' R.  Boonstra'"
"69","Zutphen(15/06/1897)","AR(Ka/VA)","2293","38.0328%","' H.W.C. de Jonge'"
"70","Zwolle(15/06/1897)","Rad","1044","22.2222%","' J.  Hoven'"
"71","Zwolle(25/06/1897)","Rad(Lib)","2175","46.022%","' J.  Hoven'"
"72","Zwolle(14/06/1901)","VD","1206","28.2833%","' J.  Hoven'"
"73","Zwolle(15/06/1897)","VL","814","17.3265%","'mr. C. baron van Vos van Steenwijk'"
"74","Tilburg(14/06/1901)","KD","590","15.8944%","' J.  Brinkhuis'"
"75","Breda(14/06/1901)","KD","529","25.0949%","' J.  Brinkhuis'"
"76","Bergen op Zoom(16/06/1905)","Ka","440","10.9753%","' J.  Brinkhuis'"
"77","Eindhoven(14/06/1901)","Ka","1208","33.5929%","' A.F.C.M.  Raupp'"
"78","Helmond(14/06/1901)","Ka","None","None%","' K.  Raymakers'"
"79","Arnhem(14/06/1901)","AR(Ka)","1585","38.3128%","' J.S.F. van Hoogstraten'"
"80","Arnhem(27/06/1901)","AR(Ka/VA)","1825","42.2356%","' J.S.F. van Hoogstraten'"
"81","Utrecht II(11/06/1909)","AR(Ka/CHU)","2644","49.5409%","' J.S.F. van Hoogstraten'"
"82","Utrecht II(23/06/1909)","AR(Ka/CHU)","2992","55.9148%","' J.S.F. van Hoogstraten'"
"83","Utrecht II(17/06/1913)","AR(Ka/CHU)","3522","45.6336%","' J.S.F. van Hoogstraten'"
"84","Utrecht II(25/06/1913)","AR(Ka/CHU)","3765","47.616%","' J.S.F. van Hoogstraten'"
"85","Elst(14/06/1901)","SDAP","124","2.2912%","' B.  Reyndorp'"
"86","Arnhem(14/06/1901)","SDAP","505","12.2069%","' B.  Reyndorp'"
"87","Elst(14/06/1901)","Ka","353","6.5225%","'mr. W. baron van Voorst tot Voorst'"
"88","Elst(20/08/1901)","Ka","1167","26.5047%","'mr. W. baron van Voorst tot Voorst'"
"89","Lochem(14/06/1901)","AR(Ka)","2242","37.5544%","'jhr.mr. H.W. van Asch van Wijck'"
"90","Lochem(27/06/1901)","AR(Ka/VA)","2416","39.3037%","'jhr.mr. H.W. van Asch van Wijck'"
"91","Amersfoort(20/08/1901)","AR","2410","53.5675%","'jhr.mr. H.W. van Asch van Wijck'"
"92","Amersfoort(16/06/1905)","AR(Ka/CHP)","4485","52.6656%","'jhr.mr. H.W. van Asch van Wijck'"
"93","Amersfoort(11/06/1909)","AR(Ka/CHU)","4725","60.3988%","'jhr.mr. H.W. van Asch van Wijck'"
"94","Amersfoort(17/06/1913)","AR(Ka/CHU)","5118","46.9541%","'jhr.mr. H.W. van Asch van Wijck'"
"95","Amersfoort(25/06/1913)","AR(Ka/CHU)","5636","48.6449%","'jhr.mr. H.W. van Asch van Wijck'"
"96","Nijmegen(14/06/1901)",NA,"2547","68.0288%","'jhr.mr. O. van Nispen tot Sevenaer'"
"97","Nijmegen(14/06/1901)","VD(Lib)","1197","31.9712%","'mr. H.P. de Wilde'"
"98","Tiel(16/06/1905)","VD","276","6.2799%","'mr. H.P. de Wilde'"
"99","Amsterdam V(14/06/1901)","SDAP","282","5.228%","' P.L.  Tak'"
"100","Amsterdam I(14/06/1901)","SDAP","251","9.1206%","' P.L.  Tak'"
"101","Zutphen(14/06/1901)","SDAP","389","7.9339%","' P.L.  Tak'"
"102","Franeker(16/06/1905)","SDAP","2170","31.5407%","' P.L.  Tak'"
"103","Amsterdam VIII(16/06/1905)","SDAP","214","7.1476%","' P.L.  Tak'"
"104","Franeker(28/06/1905)","SDAP(Lib/VD)","3943","55.3637%","' P.L.  Tak'"
"105","Zutphen(14/06/1901)","VL(Ka)","1758","35.8556%","' R.P.J.  Tutein Nolthenius'"
"106","Zutphen(27/06/1901)","VL(Ka/AR)","2481","46.3305%","' R.P.J.  Tutein Nolthenius'"
"107","Zutphen(01/08/1905)","NH(Ka/AR/CHP)","2835","41.7219%","' R.P.J.  Tutein Nolthenius'"
"108","Zutphen(08/08/1905)","NH(Ka/AR)","2963","43.5671%","' R.P.J.  Tutein Nolthenius'"
"109","Bodegraven(14/06/1901)","VA(Ka)","2034","33.7425%","'mr. J.W.H.M. van Idsinga'"
"110","Bodegraven(27/06/1901)","VA(Ka/AR)","3675","58.3426%","'mr. J.W.H.M. van Idsinga'"
"111","Bodegraven(16/06/1905)","CHP(Ka/AR)","4838","61.0319%","'mr. J.W.H.M. van Idsinga'"
"112","Bodegraven(11/06/1909)","CHU(Ka/AR)","4772","69.9604%","'mr. J.W.H.M. van Idsinga'"
"113","Bodegraven(17/06/1913)","CHU(Ka/AR)","5043","63.3225%","'mr. J.W.H.M. van Idsinga'"
"114","Bodegraven(15/06/1917)","CHU","None","None%","'mr. J.W.H.M. van Idsinga'"
"115","Rotterdam I(14/06/1901)","SDAP","248","8.8825%","' L.M.  Hermans'"
"116","Brielle(14/06/1901)","SDAP","595","13.1929%","' L.M.  Hermans'"
"117","Brielle(26/01/1905)","","288","5.6906%","' L.M.  Hermans'"
"118","Sliedrecht(16/06/1905)","SDAP","255","4.3382%","' L.M.  Hermans'"
"119","Doetinchem(16/06/1905)","SDAP","428","4.1441%","' L.M.  Hermans'"
"120","Arnhem(11/06/1909)","SDAP","1051","16.2971%","' L.M.  Hermans'"
"121","Doetinchem(11/06/1909)","SDAP","838","8.2872%","' L.M.  Hermans'"
"122","Gulpen(03/12/1909)","","458","11.5627%","' L.M.  Hermans'"
"123","Tiel(17/06/1913)","SDAP","953","16.3409%","' L.M.  Hermans'"
"124","Arnhem(17/06/1913)","SDAP","1933","24.3175%","' L.M.  Hermans'"
"125","Rheden(17/06/1913)","SDAP","1175","20.474%","' L.M.  Hermans'"
"126","Winschoten(17/06/1913)","SDAP","2303","40.3469%","' L.M.  Hermans'"
"127","Doetinchem(17/06/1913)","SDAP","663","5.5204%","' L.M.  Hermans'"
"128","Winschoten(25/06/1913)","SDAP","2537","44.4386%","' L.M.  Hermans'"
"129","Nijmegen(04/01/1916)","","965","23.7042%","' L.M.  Hermans'"
"130","Tiel(08/12/1916)","","1054","19.0769%","' L.M.  Hermans'"
"131","Brielle(14/06/1901)","AR(Ka)","1936","42.9268%","' H.C.  Vegtel'"
"132","Brielle(27/06/1901)","AR(Ka/VA)","2386","49.3791%","' H.C.  Vegtel'"
"133","Brielle(26/01/1905)","","2255","44.5564%","' H.C.  Vegtel'"
"134","Brielle(03/02/1905)","","2440","45.5649%","' H.C.  Vegtel'"
"135","Brielle(11/06/1909)","AR(Ka/CHU)","2632","42.6511%","' H.C.  Vegtel'"
"136","Zierikzee(11/06/1909)","AR(Ka/CHU)","3402","44.6222%","' H.C.  Vegtel'"
"137","Brielle(23/06/1909)","AR(Ka/CHU)","2927","44.6938%","' H.C.  Vegtel'"
"138","Rotterdam V(24/10/1910)","","2029","42.8692%","' H.C.  Vegtel'"
"139","Rotterdam V(03/11/1910)","","2464","47.2393%","' H.C.  Vegtel'"
"140","Hoorn(23/04/1912)","","2109","32.9583%","' H.C.  Vegtel'"
"141","Hoorn(29/04/1912)","","1842","32.0627%","' H.C.  Vegtel'"
"142","Den Haag I(14/06/1901)","SDAP","681","16.7899%","' J.A.  Bergmeyer'"
"143","Middelburg(14/06/1901)","SDAP","697","11.0547%","' J.A.  Bergmeyer'"
"144","Dordrecht(14/06/1901)","SDAP","763","16.3488%","' J.A.  Bergmeyer'"
"145","Rotterdam V(14/06/1901)","SDAP","141","5.1329%","' J.A.  Bergmeyer'"
"146","Delft(14/06/1901)","SDAP","558","13.229%","' J.A.  Bergmeyer'"
"147","Tilburg(03/12/1901)","","107","2.4496%","' J.A.  Bergmeyer'"
"148","Middelburg(11/02/1903)","","1185","24.243%","' J.A.  Bergmeyer'"
"149","Delft(16/06/1905)","SDAP","582","9.7049%","' J.A.  Bergmeyer'"
"150","Middelburg(16/06/1905)","SDAP","523","6.3432%","' J.A.  Bergmeyer'"
"151","Tilburg(16/06/1905)","","267","5.8772%","' J.A.  Bergmeyer'"
"152","Den Haag I(16/06/1905)","SDAP","1370","20.4875%","' J.A.  Bergmeyer'"
"153","Zwolle(11/06/1909)","SDAP","752","12.007%","' J.A.  Bergmeyer'"
"154","Ridderkerk(11/06/1909)","SDAP","151","1.9892%","' J.A.  Bergmeyer'"
"155","Tiel(11/06/1909)","SDAP","313","7.3612%","' J.A.  Bergmeyer'"
"156","Gorinchem(11/06/1909)","SDAP","182","2.4908%","' J.A.  Bergmeyer'"
"157","Schoterland(11/06/1909)","SDAP","1756","36.4618%","' J.A.  Bergmeyer'"
"158","Gouda(11/06/1909)","SDAP","543","6.6228%","' J.A.  Bergmeyer'"
"159","Schoterland(23/06/1909)","SDAP","2125","45.3092%","' J.A.  Bergmeyer'"
"160","Schoterland(03/08/1909)","SDAP","2219","47.3538%","' J.A.  Bergmeyer'"
"161","Emmen(17/06/1913)","SDAP","1212","14.1539%","' J.A.  Bergmeyer'"
"162","Gorinchem(17/06/1913)","SDAP","275","3.4806%","' J.A.  Bergmeyer'"
"163","Tilburg(17/06/1913)","SDAP","443","7.9348%","' J.A.  Bergmeyer'"
"164","Emmen(28/02/1917)","","1910","37.2828%","' J.A.  Bergmeyer'"
"165","Hilversum(14/06/1901)","SDAP","576","10.1498%","'dr. H.  Gorter'"
"166","Gouda(14/06/1901)","SDAP","213","4.4017%","'dr. H.  Gorter'"
"167","Gouda(22/10/1902)","","492","10.4392%","'dr. H.  Gorter'"
"168","Hilversum(16/06/1905)","SDAP","791","9.6652%","'dr. H.  Gorter'"
"169","Enkhuizen(16/06/1905)","SDAP","124","1.3306%","'dr. H.  Gorter'"
"170","Groningen(16/06/1905)","SDAP","1230","18.8102%","'dr. H.  Gorter'"
"171","Gouda(16/06/1905)","SDAP","669","8.5648%","'dr. H.  Gorter'"
"172","Enschede(17/06/1913)","SDP","196","1.1663%","'dr. H.  Gorter'"
"173","Amsterdam II(17/06/1913)","SDP","56","1.4485%","'dr. H.  Gorter'"
"174","Amsterdam II(22/07/1913)","SDP","48","1.4406%","'dr. H.  Gorter'"
"175","Den Haag I(14/06/1901)","Lib","1307","32.2239%","'mr. W.  Dolk'"
"176","Den Haag I(27/06/1901)","Lib(VL/VD/SDAP)","2164","49.9077%","'mr. W.  Dolk'"
"177","Den Haag II(11/09/1902)","","1916","50.2096%","'mr. W.  Dolk'"
"178","Den Haag II(16/06/1905)","Lib","3362","44.7372%","'mr. W.  Dolk'"
"179","Den Haag II(28/06/1905)","Lib(VL/VD)","4529","56.9614%","'mr. W.  Dolk'"
"180","Den Haag II(11/06/1909)","Lib(VL)","3188","39.3775%","'mr. W.  Dolk'"
"181","Den Haag II(23/06/1909)","Lib(VL/VD/SDAP)","4719","51.6698%","'mr. W.  Dolk'"
"182","Den Haag II(17/06/1913)","Lib","3727","34.049%","'mr. W.  Dolk'"
"183","Den Haag II(25/06/1913)","Lib(VL/VD/SDAP)","6496","58.4909%","'mr. W.  Dolk'"
"184","Den Haag I(14/06/1901)","VL","344","8.4813%","'mr. D. van Houten'"
"185","Den Haag II(14/06/1901)","VD","164","3.5949%","' P.J. in de Betou'"
"186","Den Haag II(14/06/1901)","Ka(AR)","1862","40.8154%","' W.B. van Liefland'"
"187","Den Haag III(14/06/1901)","AR","767","16.9241%","' A.  Hoogenraad'"
"188","Den Haag III(14/06/1901)","Lib(VL/Ka)","1331","29.3689%","' G.J.C.A.  Pop'"
"189","Enschede(14/06/1901)","Ka(AR)","4256","43.2169%","'mr. P.J.M.  Aalberse'"
