"","District","Aanbevolen.door","Aantal.stemmen","Percentage","V5"
"1","Franeker(11/06/1909)","CHU(Ka/AR)","2974","43.3023%","' C.E. van Koetsveld'"
"2","Franeker(23/06/1909)","CHU(Ka/AR)","3350","47.7004%","' C.E. van Koetsveld'"
"3","Sneek(17/06/1913)","OCH","1195","16.9407%","' C.E. van Koetsveld'"
"4","Franeker(11/06/1909)","VD","1391","20.2533%","' A.  Rauwerda'"
"5","Harlingen(11/06/1909)","SDAP","785","12.4663%","' H.A.J. van Wijhe'"
"6","Sneek(11/06/1909)","SDAP","939","16.0733%","' H.A.J. van Wijhe'"
"7","Leeuwarden(11/06/1909)","AR(Ka/CHU)","1554","22.7926%","' G.  Hofstede'"
"8","Zuidhorn(11/06/1909)","AR(Ka/CHU)","3617","46.5089%","' G.  Hofstede'"
"9","Zuidhorn(23/06/1909)","AR(Ka/CHU)","3603","46.4484%","' G.  Hofstede'"
"10","Emmen(17/06/1913)","AR(Ka/CHU)","2666","31.1339%","' G.  Hofstede'"
"11","Leeuwarden(11/06/1909)","VL","197","2.8894%","' H.D. van Ketwich Verschuur'"
"12","Almelo(11/06/1909)","SDAP","638","9.1195%","' J.W.  Albarda'"
"13","Enschede(17/06/1913)","SDAP","5325","31.6851%","' J.W.  Albarda'"
"14","Enschede(25/06/1913)","SDAP(VL/Lib/VD)","8836","51.7118%","' J.W.  Albarda'"
"15","Enschede(15/06/1917)","SDAP","5614","87.1063%","' J.W.  Albarda'"
"16","Almelo(11/06/1909)","Lib(VL)","1614","23.0703%","' D. van der Sluis'"
"17","Enschede(11/06/1909)","AR(Ka/CHU)","7163","50.8808%","' G.  Elhorst'"
"18","Enschede(17/06/1913)","AR(Ka/CHU)","7936","47.2212%","' G.  Elhorst'"
"19","Enschede(25/06/1913)","AR(Ka/CHU)","8251","48.2882%","' G.  Elhorst'"
"20","Enschede(11/06/1909)","Lib(VL)","2033","14.441%","' C.K.  Elout'"
"21","Kampen(11/06/1909)","Lib(VL)","2595","38.173%","' N.J.  Bosch'"
"22","Kampen(17/06/1913)","Lib","14","0.1988%","' N.J.  Bosch'"
"23","Kampen(11/06/1909)","AR(Ka/CHU)","4027","59.238%","'mr. F.A.C. graaf van Lynden van Sandenburg'"
"24","Ommen(11/06/1909)","Lib(VL)","3109","42.8828%","' H.W.  Teesselink'"
"25","Steenwijk(11/06/1909)","Lib(VL)","2949","43.5277%","'mr. J. van Gilse'"
"26","Zutphen(24/07/1917)","","None","None%","'mr. J. van Gilse'"
"27","Appingedam(11/06/1909)","VD","1543","21.8431%","' H.  Groenewout'"
"28","Appingedam(11/06/1909)","AR(Ka/CHU)","2816","39.8641%","' A.  Zijlstra'"
"29","Hoogezand(11/06/1909)","AR(Ka/CHU)","1583","29.0993%","' A.  Zijlstra'"
"30","Appingedam(23/06/1909)","AR(Ka/CHU)","3066","44.7722%","' A.  Zijlstra'"
"31","Appingedam(17/06/1913)","AR(Ka)","2341","29.4614%","' A.  Zijlstra'"
"32","Zuidhorn(17/06/1913)","AR(Ka/CHU)","3627","43.0351%","' A.  Zijlstra'"
"33","Zuidhorn(25/06/1913)","AR(Ka/CHU)","3444","41.8622%","' A.  Zijlstra'"
