"","District","Aanbevolen door","Aantal stemmen","Percentage","V5"
"549","Den Haag(30/10/1866)","NA","1254","36.2847%","'mr. J.P.P. baron van Zuylen van Nijevelt'"
"550","Doetinchem(30/11/1848)","","248","42.1769%","'jhr. J.A.C.A. van Nispen van Sevenaer'"
"551","Doetinchem(13/12/1848)","","289","50.1736%","'jhr. J.A.C.A. van Nispen van Sevenaer'"
"552","Nijmegen(27/08/1850)","","1318","36.0208%","'jhr. J.A.C.A. van Nispen van Sevenaer'"
"553","Nijmegen(17/05/1853)","","1424","32.5635%","'jhr. J.A.C.A. van Nispen van Sevenaer'"
"554","Nijmegen(13/06/1854)","","1110","78.0591%","'jhr. J.A.C.A. van Nispen van Sevenaer'"
"555","Nijmegen(08/06/1858)","","1049","93.1616%","'jhr. J.A.C.A. van Nispen van Sevenaer'"
"556","Tilburg(10/06/1862)","","38","4.0254%","'jhr. J.A.C.A. van Nispen van Sevenaer'"
"557","Nijmegen(10/06/1862)","","1215","59.7345%","'jhr. J.A.C.A. van Nispen van Sevenaer'"
"558","Leiden(10/06/1862)","","218","19.4123%","'jhr. J.A.C.A. van Nispen van Sevenaer'"
"559","Nijmegen(12/06/1866)","","904","81.0762%","'jhr. J.A.C.A. van Nispen van Sevenaer'"
"560","Nijmegen(30/10/1866)","","1286","39.3513%","'jhr. J.A.C.A. van Nispen van Sevenaer'"
"561","Nijmegen(22/01/1868)","","1022","37.1772%","'jhr. J.A.C.A. van Nispen van Sevenaer'"
"562","Nijmegen(13/06/1871)","(DT)*","1206","71.0247%","'jhr. J.A.C.A. van Nispen van Sevenaer'"
"563","Zaltbommel(30/11/1848)","NA","144","17.497%","'jhr. C.E.J.F. van Nispen van Pannerden'"
"564","Doetinchem(30/11/1848)","NA","55","9.3537%","'jhr. C.E.J.F. van Nispen van Pannerden'"
"565","Nijmegen(27/08/1850)","NA","93","2.5417%","'jhr. C.E.J.F. van Nispen van Pannerden'"
"566","Nijmegen(08/06/1852)","NA","35","2.4964%","'jhr. C.E.J.F. van Nispen van Pannerden'"
"567","Nijmegen(17/05/1853)","NA","614","14.0407%","'jhr. C.E.J.F. van Nispen van Pannerden'"
