"","District","Aanbevolen.door","Aantal.stemmen","Percentage","V5"
"1","Amsterdam VII(16/06/1905)","VL(Lib)","1667","45.3482%","'dr. C.F.J.  Blooker'"
"2","Amsterdam VII(28/06/1905)","VL(Lib/VD)","2062","51.6016%","'dr. C.F.J.  Blooker'"
"3","Amsterdam VII(11/06/1909)","VL","1271","33.7404%","'dr. C.F.J.  Blooker'"
"4","Haarlemmermeer(16/06/1905)","CD","531","6.1274%","' W.H.  Lieftinck'"
"5","Amsterdam VII(16/06/1905)","CD","29","0.7889%","' W.H.  Lieftinck'"
"6","Hilversum(16/06/1905)","CD","112","1.3685%","' W.H.  Lieftinck'"
"7","Haarlem(17/06/1913)","NBPK","291","2.9338%","' W.H.  Lieftinck'"
"8","Amsterdam VII(16/06/1905)","SDAP","209","5.6855%","' T.  Westra'"
"9","Haarlemmermeer(16/06/1905)","SDAP","453","5.2273%","' J.  Gerritz'"
"10","Beverwijk(16/06/1905)","SDAP","490","4.8698%","' J.  Gerritz'"
"11","Beverwijk(16/06/1905)","VL","191","1.8982%","' O.  Kamerlingh Onnes'"
"12","Haarlem(16/06/1905)","CHP(Ka/AR)","3022","45.6289%","'jhr.mr. F.K. van Lennep'"
"13","Haarlem(28/06/1905)","CHP(Ka/AR)","3589","47.0442%","'jhr.mr. F.K. van Lennep'"
"14","Haarlem(11/06/1909)","CHU(Ka/AR)","3913","48.0949%","'jhr.mr. F.K. van Lennep'"
"15","Haarlem(23/06/1909)","CHU(Ka/AR)","4339","50.3248%","'jhr.mr. F.K. van Lennep'"
"16","Den Helder(16/06/1905)","AR(CHP)","491","8.0545%","' L.  Adriaanse'"
"17","Hilversum(16/06/1905)","VD","1996","24.3891%","' N.H. van Roggen'"
"18","Hilversum(11/06/1909)","VD","1657","22.4101%","' N.H. van Roggen'"
"19","Middelburg(16/06/1905)","VD","3542","42.9594%","' H.  Snijders'"
"20","Middelburg(11/06/1909)","VD","2467","28.1685%","' H.  Snijders'"
"21","Breda(11/06/1909)","VD","151","2.694%","' H.  Snijders'"
"22","Veendam(17/06/1913)","VD","2272","29.8555%","' H.  Snijders'"
"23","Veendam(25/06/1913)","VD(VL/Lib)","2624","43.0446%","' H.  Snijders'"
"24","Oostburg(16/06/1905)","SDAP","268","3.695%","'mr. G.W.  Sannes'"
"25","Oostburg(11/06/1909)","SDAP","289","4.0279%","'mr. G.W.  Sannes'"
"26","Middelburg(11/06/1909)","SDAP","483","5.515%","'mr. G.W.  Sannes'"
"27","Veendam(11/06/1909)","SDAP","1893","30.6162%","'mr. G.W.  Sannes'"
"28","Groningen(17/06/1913)","SDAP","2451","28.0403%","'mr. G.W.  Sannes'"
"29","Veendam(17/06/1913)","SDAP","3156","41.4717%","'mr. G.W.  Sannes'"
"30","Groningen(25/06/1913)","SDAP","3328","44.3793%","'mr. G.W.  Sannes'"
"31","Veendam(25/06/1913)","SDAP","3472","56.9554%","'mr. G.W.  Sannes'"
"32","Veendam(15/06/1917)","SDAP","None","None%","'mr. G.W.  Sannes'"
"33","Veendam(15/06/1917)","SDAP","None","None%","'mr. G.W.  Sannes'"
"34","Veendam(09/07/1917)","","None","None%","'mr. G.W.  Sannes'"
"35","Zierikzee(16/06/1905)","Lib(VL)","3339","49.3351%","'mr. R.J.H.  Patijn'"
"36","Zierikzee(28/06/1905)","Lib(VL)","3709","52.9177%","'mr. R.J.H.  Patijn'"
"37","Zierikzee(11/06/1909)","Lib(VL)","3944","51.7314%","'mr. R.J.H.  Patijn'"
"38","Zierikzee(17/06/1913)","Lib","4361","53.6474%","'mr. R.J.H.  Patijn'"
"39","Zierikzee(15/06/1917)","Lib","None","None%","'mr. R.J.H.  Patijn'"
"40","Breukelen(16/06/1905)","Lib","1825","30.051%","'dr. H.P.  Kapteyn'"
"41","Utrecht I(16/06/1905)","CHP(Ka/AR)","2729","39.3795%","'jhr.mr. G.C. von Weiler'"
"42","Utrecht I(28/06/1905)","CHP(Ka/AR)","3001","42.0426%","'jhr.mr. G.C. von Weiler'"
"43","Wijk bij Duurstede(16/06/1905)","VL","2065","32.1301%","'mr. H.C.  Dresselhuys'"
"44","Wijk bij Duurstede(30/12/1909)","","3005","44.9312%","'mr. H.C.  Dresselhuys'"
"45","Ede(17/06/1913)","VL","379","5.4525%","'mr. H.C.  Dresselhuys'"
"46","Wijk bij Duurstede(17/06/1913)","VL","3062","34.9783%","'mr. H.C.  Dresselhuys'"
"47","Tiel(08/12/1916)","","2800","50.6787%","'mr. H.C.  Dresselhuys'"
"48","Tiel(15/06/1917)","VL","None","None%","'mr. H.C.  Dresselhuys'"
"49","Leeuwarden(16/06/1905)","Lib","2228","35.4777%","' L.W.J.K.  Thomson'"
"50","Harlingen(16/06/1905)","Lib","2277","34.9126%","' L.W.J.K.  Thomson'"
