"","District","Aanbevolen.door","Aantal.stemmen","Percentage","V5"
"1","Den Bosch(27/08/1850)",NA,"118","3.102%","'mr. A.A.  Heeren'"
"2","Den Bosch(27/08/1850)",NA,"109","2.8654%","'mr. W.C. van Heurn'"
"3","Den Bosch(27/08/1850)",NA,"53","1.3933%","' L.D. van Heyst'"
"4","Den Bosch(17/05/1853)",NA,"44","1.1072%","' G.W.  Vreede'"
"5","Den Bosch(17/05/1853)",NA,"37","0.9311%","' S. van Hoogstraten'"
"6","Den Bosch(11/10/1859)",NA,"570","33.3919%","'mr. H.  Sassen'"
"7","Den Bosch(11/10/1859)",NA,"121","7.0885%","' J.U. van der Marck'"
"8","Den Bosch(10/06/1862)",NA,"31","2.9384%","'mr. J.F.  Kolen'"
"9","Den Bosch(12/06/1866)",NA,"38","3.4799%","'mr. B.  Donker Curtius'"
"10","Den Bosch(30/10/1866)","","1143","27.0277%","'mr. F.J.E. van Zinnicq Bergman'"
"11","Den Bosch(22/01/1868)","","1311","31.5068%","'mr. F.J.E. van Zinnicq Bergman'"
"12","Den Bosch(08/06/1869)","AK/DT/DZH","1574","70.6463%","'mr. F.J.E. van Zinnicq Bergman'"
"13","Den Bosch(10/06/1873)","(DT)*","1474","84.6154%","'mr. F.J.E. van Zinnicq Bergman'"
"14","Den Bosch(12/06/1877)","(DT)*","1135","97.6764%","'mr. F.J.E. van Zinnicq Bergman'"
"15","Den Bosch(30/10/1866)",NA,"191","4.5164%","'mr. J.J.  Suys'"
"16","Den Bosch(22/01/1868)",NA,"676","16.2461%","'mr. J.J.  Suys'"
"17","Den Bosch(22/01/1868)","","82","1.9707%","'mr. P.F. van Cooth'"
"18","Den Bosch(08/06/1869)","(AH)*","649","29.1293%","'mr. P.F. van Cooth'"
"19","Den Bosch(11/01/1876)","","78","5.9226%","'mr. P.F. van Cooth'"
"20","Den Bosch(15/06/1886)","","234","7.0952%","'mr. P.F. van Cooth'"
"21","Den Bosch(01/09/1887)","","152","5.6213%","'mr. P.F. van Cooth'"
"22","Breda(10/04/1888)","Lib","596","21.728%","'mr. P.F. van Cooth'"
"23","Den Bosch(11/01/1876)","","1221","92.7107%","' P.G.J. van der Schrieck'"
"24","Den Bosch(10/06/1879)","(DT)*","1344","92.562%","' P.G.J. van der Schrieck'"
"25","Den Bosch(27/09/1881)","","1043","99.0503%","' P.G.J. van der Schrieck'"
"26","Den Bosch(12/06/1883)","(DT)*","1132","91.1433%","' P.G.J. van der Schrieck'"
"27","Den Bosch(28/10/1884)","(DT)*","1265","45.8666%","' P.G.J. van der Schrieck'"
"28","Den Bosch(15/06/1886)","(DT)*","1420","43.0564%","' P.G.J. van der Schrieck'"
"29","Den Bosch(01/09/1887)","(DT)*","1256","46.4497%","' P.G.J. van der Schrieck'"
"30","Den Bosch(06/03/1888)","Ka","1485","66.4132%","' P.G.J. van der Schrieck'"
"31","Den Bosch(09/06/1891)","Ka","837","89.3276%","' P.G.J. van der Schrieck'"
"32","Den Bosch(10/04/1894)","","809","90.4922%","' P.G.J. van der Schrieck'"
"33","Den Bosch(10/06/1879)","","64","4.4077%","' H.S.J.  Rose'"
"34","Den Bosch(14/06/1881)","(AH)*","98","6.9209%","' H.S.J.  Rose'"
"35","Den Bosch(28/10/1884)","(AH)*","88","3.1907%","' H.S.J.  Rose'"
"36","Den Bosch(15/06/1886)",NA,"210","6.3675%","'jhr.mr. P.M.F. van Meeuwen'"
"37","Den Bosch(01/09/1887)",NA,"94","3.4763%","'mr. A.H.  Sassen'"
"38","Amsterdam(06/03/1888)","Lib","5415","3.863%","'mr. J.D.  Veegens'"
"39","Tilburg(06/03/1888)","Lib","76","5.3786%","'mr. J.D.  Veegens'"
"40","Groningen(06/03/1888)","Lib","2372","23.5738%","'mr. J.D.  Veegens'"
"41","Amsterdam(20/03/1888)","Lib","728","12.6896%","'mr. J.D.  Veegens'"
"42","Groningen(20/03/1888)","Lib","3738","67.0133%","'mr. J.D.  Veegens'"
"43","Groningen(09/06/1891)","Lib","2387","30.9437%","'mr. J.D.  Veegens'"
"44","Groningen(10/04/1894)","Lib(VT)","2123","31.9392%","'mr. J.D.  Veegens'"
"45","Hoogezand(15/06/1897)","Lib","1705","47.2823%","'mr. J.D.  Veegens'"
"46","Hoogezand(25/06/1897)","Lib(CHK)","2800","64.2939%","'mr. J.D.  Veegens'"
"47","Hoogezand(14/06/1901)","Lib(VL)","1016","28.1909%","'mr. J.D.  Veegens'"
"48","Amsterdam VII(11/06/1909)","VD","221","5.8667%","'mr. J.D.  Veegens'"
"49","Groningen(06/03/1888)","AR(Ka)","1643","16.3288%","' A.  Brummelkamp jr.'"
"50","Groningen(20/03/1888)","AR(Ka)","1840","32.9867%","' A.  Brummelkamp jr.'"
"51","Zuidhorn(12/02/1891)","","891","37.5316%","' A.  Brummelkamp jr.'"
"52","Wolvega(09/06/1891)","AR(Ka)","737","35.2463%","' A.  Brummelkamp jr.'"
"53","Veendam(09/06/1891)","AR","518","32.2741%","' A.  Brummelkamp jr.'"
