"","District","Aanbevolen.door","Aantal.stemmen","Percentage","V5"
"1","Haarlem(27/08/1850)",NA,"18","2.3684%","'jhr. M.  Salvador'"
"2","Haarlem(08/06/1852)",NA,"84","11.1554%","'jhr. M.  Salvador'"
"3","Alkmaar(29/06/1852)",NA,"54","3.7762%","'jhr. M.  Salvador'"
"4","Haarlem(17/05/1853)",NA,"103","11.3311%","'jhr. M.  Salvador'"
"5","Haarlem(20/10/1853)",NA,"134","16.6253%","'jhr. M.  Salvador'"
"6","Haarlem(13/06/1854)",NA,"50","7.7399%","'jhr. M.  Salvador'"
"7","Haarlem(10/06/1862)",NA,"132","18.1319%","'jhr. M.  Salvador'"
"8","Haarlem(30/10/1866)",NA,"166","4.7213%","'jhr. M.  Salvador'"
"9","Haarlem(22/01/1868)",NA,"157","9.6201%","'jhr. M.  Salvador'"
"10","Alkmaar(08/06/1858)",NA,"31","2.881%","' F.  Sieuwerts'"
"11","Alkmaar(12/06/1860)",NA,"45","4.1247%","' J.L.  Kikkert'"
"12","Alkmaar(10/06/1862)",NA,"251","21.4347%","' J.L.  Kikkert'"
"13","Alkmaar(14/06/1864)",NA,"188","15.372%","' J.L.  Kikkert'"
"14","Alkmaar(14/06/1864)",NA,"80","6.5413%","' R.C.  Sloos'"
"15","Amsterdam(08/06/1858)","","468","12.8642%","'mr. J.L. de Bruyn Kops'"
"16","Delft(14/06/1864)","","369","22.3501%","'mr. J.L. de Bruyn Kops'"
"17","Delft(30/10/1866)","","680","15.825%","'mr. J.L. de Bruyn Kops'"
"18","Leiden(30/10/1866)","","713","19.0591%","'mr. J.L. de Bruyn Kops'"
"19","Delft(13/11/1866)","","707","18.4451%","'mr. J.L. de Bruyn Kops'"
"20","Alkmaar(22/01/1868)","","1060","25.697%","'mr. J.L. de Bruyn Kops'"
"21","Leiden(22/01/1868)","","586","18.8728%","'mr. J.L. de Bruyn Kops'"
"22","Delft(22/01/1868)","","847","21.9203%","'mr. J.L. de Bruyn Kops'"
"23","Leiden(04/02/1868)","","491","32.5166%","'mr. J.L. de Bruyn Kops'"
"24","Delft(04/02/1868)","","871","20.0046%","'mr. J.L. de Bruyn Kops'"
"25","Alkmaar(13/06/1871)","(AH)*","1254","55.8077%","'mr. J.L. de Bruyn Kops'"
"26","Alkmaar(08/06/1875)","(AH)*","1729","61.9491%","'mr. J.L. de Bruyn Kops'"
"27","Alkmaar(10/06/1879)","(AH)*","1157","57.7345%","'mr. J.L. de Bruyn Kops'"
"28","Alkmaar(12/06/1883)","(AH)*","1336","57.2899%","'mr. J.L. de Bruyn Kops'"
"29","Alkmaar(28/10/1884)","(AH)*","1167","21.9526%","'mr. J.L. de Bruyn Kops'"
"30","Alkmaar(11/11/1884)","","1917","63.561%","'mr. J.L. de Bruyn Kops'"
"31","Alkmaar(15/06/1886)","(AH)*","1898","28.9373%","'mr. J.L. de Bruyn Kops'"
"32","Alkmaar(01/09/1887)","","1348","37.4861%","'mr. J.L. de Bruyn Kops'"
"33","Delft(12/06/1860)",NA,"606","43.1624%","'jhr.mr. H.G.C.L.  Janssens'"
"34","Delft(26/06/1860)",NA,"761","34.4344%","'jhr.mr. H.G.C.L.  Janssens'"
"35","Alkmaar(25/10/1870)",NA,"914","45.45%","'jhr.mr. H.G.C.L.  Janssens'"
"36","Den Haag(12/06/1866)","","901","61.5858%","'jhr. F. de Casembroot'"
"37","Den Haag(30/10/1866)","","1246","36.0532%","'jhr. F. de Casembroot'"
"38","Den Haag(22/01/1868)","","969","38.4524%","'jhr. F. de Casembroot'"
"39","Alkmaar(08/06/1875)","DZH(DT)","862","30.885%","'jhr. F. de Casembroot'"
"40","Delft(08/06/1875)","DZH(DT)","1116","43.9197%","'jhr. F. de Casembroot'"
"41","Delft(22/06/1875)","DZH(AR/DT)","1381","55.2842%","'jhr. F. de Casembroot'"
"42","Delft(10/06/1879)","(DT)*","1059","45.864%","'jhr. F. de Casembroot'"
"43","Delft(24/06/1879)","(DT)*","1279","60.4157%","'jhr. F. de Casembroot'"
"44","Rotterdam(22/01/1868)","","938","13.5608%","'mr. D.C.A. graaf van Hogendorp'"
"45","Rotterdam(08/06/1869)","DT/DZH","442","14.3274%","'mr. D.C.A. graaf van Hogendorp'"
"46","Rotterdam(10/06/1873)","","30","1.1867%","'mr. D.C.A. graaf van Hogendorp'"
"47","Alkmaar(08/06/1875)","","865","31.1263%","'mr. D.C.A. graaf van Hogendorp'"
"48","Amsterdam(22/10/1872)","","643","32.9237%","' G.  Fabius'"
"49","Amsterdam(05/11/1872)","","790","45.4545%","' G.  Fabius'"
"50","Amsterdam(10/06/1873)","(DT)*","729","15.7282%","' G.  Fabius'"
"51","Amsterdam(24/06/1873)","(DZH)*","672","51.0251%","' G.  Fabius'"
"52","Alkmaar(12/06/1877)","","414","19.6023%","' G.  Fabius'"
"53","Amsterdam(12/06/1877)","","308","6.7485%","' G.  Fabius'"
"54","Amsterdam(10/06/1879)","(DT)*","461","8.7927%","'mr. J.A.N.  Travaglino'"
"55","Haarlem(15/07/1884)","","504","26.114%","'mr. J.A.N.  Travaglino'"
"56","Haarlem(28/10/1884)","(DT)*","478","11.8965%","'mr. J.A.N.  Travaglino'"
"57","Amsterdam(28/10/1884)","(DT)*","598","2.536%","'mr. J.A.N.  Travaglino'"
"58","Alkmaar(28/10/1884)","(DT)*","755","14.2024%","'mr. J.A.N.  Travaglino'"
"59","Beverwijk(06/03/1888)","Ka","1456","46.399%","'mr. J.A.N.  Travaglino'"
"60","Beverwijk(20/03/1888)","Ka(AR)","1592","47.7075%","'mr. J.A.N.  Travaglino'"
"61","Druten(10/04/1888)","Ka","1501","80.569%","'mr. J.A.N.  Travaglino'"
"62","Druten(09/06/1891)","Ka","1081","80.6716%","'mr. J.A.N.  Travaglino'"
"63","Amsterdam(09/06/1891)","Ka","1256","1.0531%","'mr. J.A.N.  Travaglino'"
"64","Druten(10/04/1894)","Ka(TT)","934","69.7535%","'mr. J.A.N.  Travaglino'"
"65","Druten(15/06/1897)","Ka","2841","67.5624%","'mr. J.A.N.  Travaglino'"
"66","Druten(14/06/1901)","Ka","None","None%","'mr. J.A.N.  Travaglino'"
"67","Amsterdam(14/06/1881)",NA,"507","5.8728%","'mr. I.A.  Levy'"
"68","Alkmaar(25/10/1887)",NA,"1306","56.4635%","'mr. I.A.  Levy'"
"69","Haarlem(06/03/1888)",NA,"469","22.3015%","'mr. I.A.  Levy'"
"70","Alkmaar(06/03/1888)",NA,"954","22.0731%","'mr. I.A.  Levy'"
"71","Amsterdam(09/06/1891)",NA,"7011","5.8786%","'mr. I.A.  Levy'"
"72","Amsterdam(10/04/1894)",NA,"2883","3.5152%","'mr. I.A.  Levy'"
"73","Amsterdam(24/04/1894)",NA,"5261","12.6783%","'mr. I.A.  Levy'"
"74","Amsterdam VIII(15/06/1897)",NA,"254","15.3382%","'mr. I.A.  Levy'"
"75","Almelo(16/06/1905)",NA,"1907","24.3147%","'mr. I.A.  Levy'"
"76","Haarlem(30/11/1848)",NA,"449","85.687%","'mr. W.H. van Voorst'"
"77","Haarlem(27/08/1850)",NA,"543","71.4474%","'mr. W.H. van Voorst'"
"78","Haarlem(08/06/1852)",NA,"418","55.5113%","'mr. W.H. van Voorst'"
"79","Haarlem(17/05/1853)",NA,"575","63.2563%","'mr. W.H. van Voorst'"
"80","Haarlem(27/08/1850)",NA,"59","7.7632%","' C. van der Tuuk'"
"81","Haarlem(27/08/1850)",NA,"46","6.0526%","'mr. A.A. del Court van Krimpen'"
"82","Amsterdam III(30/11/1848)","","5","1.3812%","'mr. J.  Heemskerk Bzn.'"
"83","Amsterdam V(30/11/1848)","","186","43.9716%","'mr. J.  Heemskerk Bzn.'"
"84","Amsterdam II(30/11/1848)","","5","1.3736%","'mr. J.  Heemskerk Bzn.'"
"85","Amsterdam IV(30/11/1848)","","5","1.5015%","'mr. J.  Heemskerk Bzn.'"
"86","Amsterdam V(14/12/1848)","","238","58.3333%","'mr. J.  Heemskerk Bzn.'"
"87","Amsterdam(27/08/1850)","","1335","11.6299%","'mr. J.  Heemskerk Bzn.'"
"88","Amsterdam(17/05/1853)","","870","7.386%","'mr. J.  Heemskerk Bzn.'"
"89","Amsterdam(31/05/1853)","","795","12.5473%","'mr. J.  Heemskerk Bzn.'"
"90","Amsterdam(16/06/1853)","","650","37.7468%","'mr. J.  Heemskerk Bzn.'"
"91","Amsterdam(28/06/1853)","","615","39.4484%","'mr. J.  Heemskerk Bzn.'"
"92","Haarlem(20/10/1853)","","397","49.2556%","'mr. J.  Heemskerk Bzn.'"
"93","Haarlem(03/11/1853)","","509","63.8645%","'mr. J.  Heemskerk Bzn.'"
"94","Haarlem(13/06/1854)","","416","64.3963%","'mr. J.  Heemskerk Bzn.'"
"95","Haarlem(08/06/1858)","","467","61.2861%","'mr. J.  Heemskerk Bzn.'"
"96","Amsterdam(10/06/1862)","","755","17.8825%","'mr. J.  Heemskerk Bzn.'"
"97","Haarlem(10/06/1862)","","161","22.1154%","'mr. J.  Heemskerk Bzn.'"
"98","Amsterdam(12/06/1866)","","1113","22.6496%","'mr. J.  Heemskerk Bzn.'"
"99","Amsterdam(30/10/1866)","","1716","8.6357%","'mr. J.  Heemskerk Bzn.'"
"100","Amsterdam(22/01/1868)","","1394","7.9922%","'mr. J.  Heemskerk Bzn.'"
"101","Amsterdam(13/02/1868)","","1352","53.4387%","'mr. J.  Heemskerk Bzn.'"
"102","Amsterdam(08/06/1869)","(AH)*","1493","20.9986%","'mr. J.  Heemskerk Bzn.'"
"103","Haarlem(20/10/1853)",NA,"22","2.7295%","'mr. D.  Léon'"
"104","Haarlem(08/06/1858)",NA,"229","30.0525%","' G.L.J. van der Hucht'"
"105","Haarlem(14/06/1864)",NA,"451","36.3417%","' G.L.J. van der Hucht'"
"106","Haarlem(28/06/1864)",NA,"644","42.5363%","' G.L.J. van der Hucht'"
"107","Haarlem(28/08/1866)",NA,"313","34.0959%","' G.L.J. van der Hucht'"
"108","Haarlem(30/10/1866)",NA,"778","22.1274%","' G.L.J. van der Hucht'"
"109","Haarlem(13/11/1866)",NA,"941","24.8023%","' G.L.J. van der Hucht'"
"110","Haarlem(22/01/1868)",NA,"761","46.6299%","' G.L.J. van der Hucht'"
"111","Haarlem(04/02/1868)",NA,"1032","54.1732%","' G.L.J. van der Hucht'"
"112","Haarlem(13/06/1871)",NA,"510","31.6377%","' G.L.J. van der Hucht'"
"113","Haarlem(10/06/1873)",NA,"380","28.8097%","' G.L.J. van der Hucht'"
"114","Haarlem(30/11/1848)",NA,"9","1.7176%","'mr. C.  Diemont'"
"115","Haarlem(08/06/1858)",NA,"46","6.0367%","'mr. C.  Diemont'"
"116","Haarlem(10/06/1862)",NA,"197","27.0604%","' J.J. van Mulken'"
"117","Haarlem(24/06/1862)",NA,"456","53.6471%","' J.J. van Mulken'"
"118","Haarlem(09/05/1865)",NA,"757","76.9309%","' J.J. van Mulken'"
"119","Haarlem(12/06/1866)",NA,"638","61.2284%","' J.J. van Mulken'"
"120","Haarlem(30/10/1866)",NA,"583","16.5813%","' H.G.  Jansen'"
"121","Haarlem(13/11/1866)",NA,"897","23.6426%","' H.G.  Jansen'"
"122","Amsterdam(22/01/1868)",NA,"1328","7.6138%","'mr. D.  Koorders'"
"123","Haarlem(25/02/1868)",NA,"808","48.2676%","'mr. D.  Koorders'"
"124","Haarlem(10/03/1868)",NA,"1052","52.4165%","'mr. D.  Koorders'"
"125","Haarlem(16/02/1869)","","785","53.0047%","'mr. C.J.F.  Mirandolle'"
"126","Haarlem(08/06/1869)","(AH)*","862","61.9253%","'mr. C.J.F.  Mirandolle'"
"127","Haarlem(10/06/1873)","(AH)*","833","63.1539%","'mr. C.J.F.  Mirandolle'"
"128","Haarlem(12/06/1877)","(AH)*","939","76.094%","'mr. C.J.F.  Mirandolle'"
"129","Haarlem(14/06/1881)","(AH)*","731","76.6247%","'mr. C.J.F.  Mirandolle'"
"130","Haarlem(08/06/1869)","(DT)*","568","40.8046%","' A. van Lennep'"
"131","Haarlem(13/06/1871)","(AH)*","1015","62.9653%","'mr. C.  Fock'"
"132","Amsterdam(13/06/1871)","(AH)*","1262","17.472%","'mr. C.  Fock'"
"133","Den Haag(10/06/1862)",NA,"411","65.3418%","'mr. J.  Kappeyne van de Coppello'"
"134","Den Haag(12/06/1866)",NA,"529","36.1586%","'mr. J.  Kappeyne van de Coppello'"
"135","Haarlem(06/07/1871)",NA,"894","62.2997%","'mr. J.  Kappeyne van de Coppello'"
"136","Haarlem(08/06/1875)",NA,"840","61.8557%","'mr. J.  Kappeyne van de Coppello'"
"137","Amsterdam(03/08/1880)",NA,"494","28.9227%","'mr. J.  Kappeyne van de Coppello'"
"138","Amsterdam(17/08/1880)",NA,"653","38.9154%","'mr. J.  Kappeyne van de Coppello'"
"139","Amsterdam(27/03/1883)",NA,"475","24.5351%","'mr. J.  Kappeyne van de Coppello'"
"140","Haarlem(15/07/1884)",NA,"580","30.0518%","'mr. J.  Kappeyne van de Coppello'"
