"","District","Aanbevolen.door","Aantal.stemmen","Percentage","V5"
"1","Leiden(14/06/1864)",NA,"663","39.4643%","'mr. D.T.  Siegenbeek'"
"2","Leiden(18/09/1866)",NA,"41","3.664%","' F.L.  Geerling'"
"3","Leiden(30/10/1866)",NA,"721","19.2729%","'jhr.mr. H. van Alphen'"
"4","Leiden(22/01/1868)",NA,"578","18.6151%","'jhr.mr. H. van Alphen'"
"5","Leiden(30/10/1866)",NA,"36","0.9623%","' C. de Graaf'"
"6","Leiden(08/06/1869)","(AH)*","797","40.1511%","'mr. H.A.  Neeb'"
"7","Leiden(22/06/1869)","(AH)*","835","40.4358%","'mr. H.A.  Neeb'"
"8","Leiden(18/03/1873)","","651","37.3066%","'mr. H.A.  Neeb'"
"9","Leiden(01/04/1873)","","709","42.0273%","'mr. H.A.  Neeb'"
"10","Leiden(12/06/1877)","(AH)*","926","45.017%","'mr. H.A.  Neeb'"
"11","Leiden(18/03/1873)",NA,"440","25.2149%","' W.J.F.  Nuyens'"
"12","Leiden(08/06/1875)","(AH)*","610","32.6727%","' G.J.  Grashuis'"
"13","Leiden(10/06/1879)","(AH)*","800","37.4181%","' L.M. de Laat de Kanter'"
"14","Leiden(24/06/1879)","(AH)*","848","38.7392%","' L.M. de Laat de Kanter'"
"15","Leiden(29/07/1879)","","625","33.4403%","' L.M. de Laat de Kanter'"
"16","Leiden(13/01/1880)","","1021","61.2845%","' J.H.  Donner'"
"17","Leiden(14/06/1881)","AR(DT)","1189","83.0307%","' J.H.  Donner'"
"18","Leiden(28/10/1884)","AR(DT)","1512","31.7048%","' J.H.  Donner'"
"19","Leiden(15/06/1886)","AR","828","17.3041%","' J.H.  Donner'"
"20","Leiden(01/09/1887)","AR","828","15.5932%","' J.H.  Donner'"
"21","Leiden(14/09/1887)","AR","1393","16.4075%","' J.H.  Donner'"
"22","Katwijk(06/03/1888)","AR","1392","39.3777%","' J.H.  Donner'"
"23","Rotterdam(06/03/1888)","AR","742","2.8393%","' J.H.  Donner'"
"24","Katwijk(20/03/1888)","AR","1715","53.9648%","' J.H.  Donner'"
"25","Katwijk(09/06/1891)","AR","1256","36.9738%","' J.H.  Donner'"
"26","Katwijk(23/06/1891)","AR","1942","57.6261%","' J.H.  Donner'"
"27","Katwijk(10/04/1894)","AR(VT)","1311","41.2524%","' J.H.  Donner'"
"28","Katwijk(11/05/1894)","AR(VT)","1160","34.2385%","' J.H.  Donner'"
"29","Katwijk(25/05/1894)","AR(VT)","1859","52.322%","' J.H.  Donner'"
"30","Katwijk(15/06/1897)","AR","2012","38.3823%","' J.H.  Donner'"
"31","Katwijk(25/06/1897)","AR","2723","53.5813%","' J.H.  Donner'"
"32","Leiden(13/01/1880)",NA,"142","8.5234%","'jhr.mr. E. van den Berch van Heemstede'"
"33","Leiden(13/01/1880)",NA,"31","1.8607%","' R.G.S. baron van Rhemen tot Rhemenshuizen'"
"34","Leiden(14/06/1881)","(AH)*","137","9.567%","'mr. A.E.J.  Modderman'"
"35","Delft(12/06/1883)","(AH)*","918","34.2027%","'mr. A.E.J.  Modderman'"
"36","Delft(26/06/1883)","","1385","48.5454%","'mr. A.E.J.  Modderman'"
"37","Middelburg(10/06/1879)","(AH)*","951","47.8611%","' H.J.  Bool'"
"38","Leiden(14/06/1881)","(AH)*","43","3.0028%","' H.J.  Bool'"
"39","Middelburg(29/11/1881)","","989","50.4077%","' H.J.  Bool'"
"40","Middelburg(03/01/1882)","","1109","47.4337%","' H.J.  Bool'"
"41","Leiden(01/09/1887)","","791","14.8964%","' H.J.  Bool'"
"42","Leiden(06/03/1888)","Lib","1102","51.9077%","' H.J.  Bool'"
"43","Leiden(09/06/1891)","Lib","1049","54.7495%","' H.J.  Bool'"
"44","Leiden(10/04/1894)","Lib(TT)","1023","59.6501%","' H.J.  Bool'"
"45","Gouda(10/06/1873)","(AH)*","564","29.6374%","'mr. J.T.  Buys'"
"46","Leiden(14/06/1881)","","37","2.5838%","'mr. J.T.  Buys'"
"47","Leiden(12/06/1883)","(AH)*","709","34.1851%","' D.  Hartevelt'"
"48","Leiden(28/10/1884)","(AH)*","852","17.8654%","' D.  Hartevelt'"
"49","Leiden(28/10/1884)","(AH)*","869","18.2218%","' J. van der Breggen'"
"50","Gouda(28/10/1884)","(AH)*","1177","20.1093%","' J. van der Breggen'"
