,amco,year,name,totaal personele belastingen,total_inhabitants,taxes_percap
96,10020,1870,Rimburg,216.0,234.0,0.9230769230769231
97,10020,1879,Rimburg,212.0,283.0,0.7491166077738516
98,10021,1859,Zuidhorn,4104.0,1613.3333333333333,2.543801652892562
99,10021,1869,Zuidhorn,4846.0,2668.0,1.8163418290854574
100,10021,1870,Zuidhorn,4931.0,2710.0,1.8195571955719556
101,10021,1879,Zuidhorn,5932.0,2813.0,2.108780661215784
102,10021,1889,Zuidhorn,5830.0,1400.5,4.1627990003570154
103,10021,1933,Zuidhorn,,3393.0,
104,10021,1934,Zuidhorn,,3435.0,
105,10022,1859,Haskerland,8701.0,3904.3333333333335,2.2285494749423718
106,10022,1859,Scharsterland,,0.0,
107,10022,1859,Skarsterlan,,0.0,
108,10022,1869,Haskerland,9275.0,6217.0,1.4918771111468554
109,10022,1869,Scharsterland,,0.0,
110,10022,1869,Skarsterlan,,0.0,
111,10022,1870,Haskerland,9597.0,6357.0,1.5096743747050496
112,10022,1870,Scharsterland,,0.0,
113,10022,1870,Skarsterlan,,0.0,
114,10022,1879,Haskerland,11241.0,7513.0,1.4962065752695328
115,10022,1879,Scharsterland,,0.0,
116,10022,1879,Skarsterlan,,0.0,
117,10022,1889,Haskerland,11567.0,3764.5,3.072652410678709
118,10022,1889,Scharsterland,,0.0,
119,10022,1889,Skarsterlan,,0.0,
120,10022,1933,Haskerland,,8230.0,
121,10022,1933,Scharsterland,,0.0,
122,10022,1933,Skarsterlan,,0.0,
123,10022,1934,Haskerland,,9868.0,
124,10022,1934,Scharsterland,,0.0,
125,10022,1934,Skarsterlan,,0.0,
126,10023,1859,Cuijk En St Agatha,2479.0,1486.0,1.6682368775235532
127,10023,1869,Cuijk En St Agatha,2504.0,2249.0,1.113383726100489
128,10023,1870,Cuijk En St Agatha,2746.0,2268.0,1.210758377425044
129,10023,1879,Cuijk En St Agatha,2798.0,2361.0,1.1850910631088523
130,10023,1889,Cuijk En St Agatha,3135.0,1305.5,2.401378782075833
131,10023,1933,Cuijk En St Agatha,,4133.0,
132,10023,1934,Cuijk En St Agatha,,4202.0,
133,10024,1859,Lithoijen,397.0,448.0,0.8861607142857143
134,10024,1869,Lithoijen,513.0,662.0,0.7749244712990937
135,10024,1870,Lithoijen,471.0,670.0,0.7029850746268657
136,10024,1879,Lithoijen,471.0,672.0,0.7008928571428571
137,10024,1889,Lithoijen,651.0,350.0,1.86
138,10024,1933,Lithoijen,,682.0,
139,10024,1934,Lithoijen,,722.0,
140,10027,1859,Tiel,14692.0,4660.666666666667,3.152338721212988
141,10027,1869,Tiel,16779.0,7970.0,2.1052697616060225
142,10027,1870,Tiel,15767.0,8142.0,1.9365020879390813
