"cbsnr","naam","acode","main.cat","year","Aandeel der gemeente in s Rijks personele belasting","% aangeslagenen Rijksinkomstenbel. 33 in % beroepsbev. 30"
306,"AMERONGEN",11372,"h",1869,3838,NA
306,"AMERONGEN",11372,"h",1870,3557,NA
306,"AMERONGEN",11372,"h",1879,3439,NA
307,"AMERSFOORT",10948,"h",1889,27181,NA
307,"AMERSFOORT",10948,"h",1933,NA,653
307,"AMERSFOORT",10948,"h",1869,23856,NA
307,"AMERSFOORT",10948,"h",1870,24115,NA
307,"AMERSFOORT",10948,"h",1879,26481,NA
308,"BAARN",11411,"h",1889,25673,NA
308,"BAARN",11411,"h",1933,NA,683
308,"BAARN",11411,"h",1869,10628,NA
308,"BAARN",11411,"h",1870,10608,NA
308,"BAARN",11411,"h",1879,20138,NA
309,"BENSCHOP",11330,"h",1889,4122,NA
309,"BENSCHOP",11330,"h",1933,NA,256
309,"BENSCHOP",11330,"h",1869,2975,NA
309,"BENSCHOP",11330,"h",1870,3148,NA
309,"BENSCHOP",11330,"h",1879,4326,NA
310,"DE BILT",10168,"h",1889,7640,NA
310,"DE BILT",10168,"h",1933,NA,895
310,"DE BILT",10168,"h",1869,5261,NA
310,"DE BILT",10168,"h",1870,5346,NA
310,"DE BILT",10168,"h",1879,7068,NA
312,"BUNNIK",10820,"h",1889,3274,NA
312,"BUNNIK",10820,"h",1933,NA,482
312,"BUNNIK",10820,"h",1869,2935,NA
312,"BUNNIK",10820,"h",1870,2887,NA
312,"BUNNIK",10820,"h",1879,3188,NA
313,"BUNSCHOTEN",11343,"h",1889,2066,NA
313,"BUNSCHOTEN",11343,"h",1933,NA,291
313,"BUNSCHOTEN",11343,"h",1869,1317,NA
313,"BUNSCHOTEN",11343,"h",1870,1374,NA
313,"BUNSCHOTEN",11343,"h",1879,1847,NA
314,"COTHEN",11316,"h",1889,1900,NA
314,"COTHEN",11316,"h",1933,NA,272
314,"COTHEN",11316,"h",1869,1335,NA
314,"COTHEN",11316,"h",1870,1375,NA
314,"COTHEN",11316,"h",1879,1687,NA
315,"DOORN",10213,"h",1889,6650,NA
315,"DOORN",10213,"h",1933,NA,751
315,"DOORN",10213,"h",1869,3855,NA
315,"DOORN",10213,"h",1870,3989,NA
315,"DOORN",10213,"h",1879,5761,NA
316,"DRIEBERGEN-RIJSENBURG",10777,"h",1933,NA,699
317,"EEMNES",10248,"h",1889,2001,NA
317,"EEMNES",10248,"h",1933,NA,428
317,"EEMNES",10248,"h",1869,1623,NA
317,"EEMNES",10248,"h",1870,1571,NA
317,"EEMNES",10248,"h",1879,1827,NA
318,"HARMELEN",10183,"h",1889,4465,NA
318,"HARMELEN",10183,"h",1933,NA,372
318,"HARMELEN",10183,"h",1869,3595,NA
318,"HARMELEN",10183,"h",1870,3668,NA
318,"HARMELEN",10183,"h",1879,4461,NA
319,"HOENKOOP",10611,"h",1889,1151,NA
319,"HOENKOOP",10611,"h",1933,NA,314
319,"HOENKOOP",10611,"h",1869,645,NA
319,"HOENKOOP",10611,"h",1870,717,NA
319,"HOENKOOP",10611,"h",1879,1152,NA
320,"HOOGLAND",10545,"h",1889,3033,NA
320,"HOOGLAND",10545,"h",1933,NA,282
320,"HOOGLAND",10545,"h",1869,2450,NA
320,"HOOGLAND",10545,"h",1870,2636,NA
320,"HOOGLAND",10545,"h",1879,3118,NA
321,"HOUTEN",10230,"h",1889,4444,NA
321,"HOUTEN",10230,"h",1933,NA,349
321,"HOUTEN",10230,"h",1869,8249,NA
321,"HOUTEN",10230,"h",1870,3043,NA
321,"HOUTEN",10230,"h",1879,3990,NA
322,"JUTPHAAS",10374,"h",1889,5170,NA
322,"JUTPHAAS",10374,"h",1933,NA,286
322,"JUTPHAAS",10374,"h",1869,5171,NA
322,"JUTPHAAS",10374,"h",1870,5775,NA
322,"JUTPHAAS",10374,"h",1879,5469,NA
323,"KAMERIK",10554,"h",1889,4449,NA
323,"KAMERIK",10554,"h",1933,NA,279
323,"KAMERIK",10554,"h",1869,3301,NA
323,"KAMERIK",10554,"h",1870,3390,NA
323,"KAMERIK",10554,"h",1879,4376,NA
324,"KOCKENGEN",10765,"h",1889,1945,NA
324,"KOCKENGEN",10765,"h",1933,NA,222
324,"KOCKENGEN",10765,"h",1869,1515,NA
324,"KOCKENGEN",10765,"h",1870,1500,NA
324,"KOCKENGEN",10765,"h",1879,1819,NA
325,"LANGBROEK",11413,"h",1889,3459,NA
325,"LANGBROEK",11413,"h",1933,NA,261
325,"LANGBROEK",11413,"h",1869,2449,NA
325,"LANGBROEK",11413,"h",1870,2629,NA
325,"LANGBROEK",11413,"h",1879,2946,NA
326,"LEERSUM",11142,"h",1889,2062,NA
326,"LEERSUM",11142,"h",1933,NA,391
326,"LEERSUM",11142,"h",1869,2146,NA
326,"LEERSUM",11142,"h",1870,2182,NA
326,"LEERSUM",11142,"h",1879,1974,NA
327,"LEUSDEN",10978,"h",1889,3372,NA
327,"LEUSDEN",10978,"h",1933,NA,365
327,"LEUSDEN",10978,"h",1869,2225,NA
327,"LEUSDEN",10978,"h",1870,2409,NA
327,"LEUSDEN",10978,"h",1879,3029,NA
328,"LINSCHOTEN",11324,"h",1889,2972,NA
328,"LINSCHOTEN",11324,"h",1933,NA,296
328,"LINSCHOTEN",11324,"h",1869,2458,NA
328,"LINSCHOTEN",11324,"h",1870,2523,NA
328,"LINSCHOTEN",11324,"h",1879,3123,NA
329,"LOENEN",11202,"h",1889,5393,NA
329,"LOENEN",11202,"h",1933,NA,613
329,"LOENEN",11202,"h",1869,4988,NA
329,"LOENEN",11202,"h",1870,5057,NA
329,"LOENEN",11202,"h",1879,5384,NA
330,"LOOSDRECHT",10639,"h",1889,5329,NA
330,"LOOSDRECHT",10639,"h",1933,NA,424
330,"LOOSDRECHT",10639,"h",1869,3982,NA
330,"LOOSDRECHT",10639,"h",1870,3997,NA
330,"LOOSDRECHT",10639,"h",1879,5398,NA
331,"LOPIK",10333,"h",1889,3922,NA
331,"LOPIK",10333,"h",1933,NA,278
331,"LOPIK",10333,"h",1869,2479,NA
331,"LOPIK",10333,"h",1870,2775,NA
331,"LOPIK",10333,"h",1879,3799,NA
332,"MAARN",10392,"h",1889,1075,NA
332,"MAARN",10392,"h",1933,NA,457
332,"MAARN",10392,"h",1869,854,NA
332,"MAARN",10392,"h",1870,897,NA
332,"MAARN",10392,"h",1879,943,NA
333,"MAARSSEN",10191,"h",1889,6663,NA
333,"MAARSSEN",10191,"h",1933,NA,535
333,"MAARSSEN",10191,"h",1869,5693,NA
333,"MAARSSEN",10191,"h",1870,5699,NA
333,"MAARSSEN",10191,"h",1879,6315,NA
334,"MAARTENSDIJK",10691,"h",1889,4504,NA
334,"MAARTENSDIJK",10691,"h",1933,NA,855
334,"MAARTENSDIJK",10691,"h",1869,3298,NA
334,"MAARTENSDIJK",10691,"h",1870,3396,NA
334,"MAARTENSDIJK",10691,"h",1879,4439,NA
335,"MONTFOORT",10033,"h",1889,2802,NA
335,"MONTFOORT",10033,"h",1933,NA,386
335,"MONTFOORT",10033,"h",1869,2169,NA
335,"MONTFOORT",10033,"h",1870,2613,NA
335,"MONTFOORT",10033,"h",1879,2730,NA
336,"MIJDRECHT",11379,"h",1889,5930,NA
336,"MIJDRECHT",11379,"h",1933,NA,340
336,"MIJDRECHT",11379,"h",1869,4078,NA
336,"MIJDRECHT",11379,"h",1870,4431,NA
336,"MIJDRECHT",11379,"h",1879,5624,NA
337,"NIGTEVECHT",10160,"h",1889,1533,NA
337,"NIGTEVECHT",10160,"h",1933,NA,430
337,"NIGTEVECHT",10160,"h",1869,1438,NA
337,"NIGTEVECHT",10160,"h",1870,1601,NA
337,"NIGTEVECHT",10160,"h",1879,1573,NA
338,"POLSBROEK",10993,"h",1889,2087,NA
338,"POLSBROEK",10993,"h",1933,NA,290
338,"POLSBROEK",10993,"h",1869,1486,NA
338,"POLSBROEK",10993,"h",1870,1600,NA
338,"POLSBROEK",10993,"h",1879,2164,NA
339,"RENSWOUDE",10269,"h",1889,1834,NA
339,"RENSWOUDE",10269,"h",1933,NA,259
339,"RENSWOUDE",10269,"h",1869,1547,NA
339,"RENSWOUDE",10269,"h",1870,1536,NA
339,"RENSWOUDE",10269,"h",1879,1648,NA
340,"RHENEN",10309,"h",1889,5603,NA
340,"RHENEN",10309,"h",1933,NA,347
340,"RHENEN",10309,"h",1869,4337,NA
340,"RHENEN",10309,"h",1870,4518,NA
340,"RHENEN",10309,"h",1879,5234,NA
341,"SNELREWAARD",10802,"h",1889,1465,NA
341,"SNELREWAARD",10802,"h",1933,NA,246
341,"SNELREWAARD",10802,"h",1869,957,NA
341,"SNELREWAARD",10802,"h",1870,965,NA
341,"SNELREWAARD",10802,"h",1879,1419,NA
342,"SOEST",11021,"h",1889,7727,NA
342,"SOEST",11021,"h",1933,NA,773
342,"SOEST",11021,"h",1869,5014,NA
342,"SOEST",11021,"h",1870,5191,NA
342,"SOEST",11021,"h",1879,6921,NA
343,"STOUTENBURG",10438,"h",1889,1002,NA
343,"STOUTENBURG",10438,"h",1933,NA,247
343,"STOUTENBURG",10438,"h",1869,1180,NA
343,"STOUTENBURG",10438,"h",1870,1187,NA
343,"STOUTENBURG",10438,"h",1879,988,NA
344,"UTRECHT",10722,"h",1889,247185,NA
344,"UTRECHT",10722,"h",1933,NA,593
344,"UTRECHT",10722,"h",1869,204842,NA
344,"UTRECHT",10722,"h",1870,206636,NA
344,"UTRECHT",10722,"h",1879,36008,NA
345,"VEENENDAAL",11052,"h",1889,3478,NA
345,"VEENENDAAL",11052,"h",1933,NA,493
345,"VEENENDAAL",11052,"h",1869,3278,NA
345,"VEENENDAAL",11052,"h",1870,3650,NA
345,"VEENENDAAL",11052,"h",1879,3517,NA
346,"VINKEVEEN EN WAVERVEEN",11048,"h",1889,4374,NA
346,"VINKEVEEN EN WAVERVEEN",11048,"h",1933,NA,234
346,"VINKEVEEN EN WAVERVEEN",11048,"h",1869,3064,NA
346,"VINKEVEEN EN WAVERVEEN",11048,"h",1870,3107,NA
346,"VINKEVEEN EN WAVERVEEN",11048,"h",1879,4052,NA
348,"VREESWIJK",10441,"h",1889,2326,NA
348,"VREESWIJK",10441,"h",1933,NA,420
348,"VREESWIJK",10441,"h",1869,2013,NA
348,"VREESWIJK",10441,"h",1870,1923,NA
348,"VREESWIJK",10441,"h",1879,2388,NA
349,"WILLESKOP",10758,"h",1889,2074,NA
349,"WILLESKOP",10758,"h",1933,NA,312
349,"WILLESKOP",10758,"h",1869,1167,NA
349,"WILLESKOP",10758,"h",1870,1218,NA
349,"WILLESKOP",10758,"h",1879,2070,NA
350,"WILNIS",10365,"h",1889,2814,NA
350,"WILNIS",10365,"h",1933,NA,184
350,"WILNIS",10365,"h",1869,2088,NA
350,"WILNIS",10365,"h",1870,2107,NA
350,"WILNIS",10365,"h",1879,2852,NA
351,"WOUDENBERG",11398,"h",1889,3245,NA
351,"WOUDENBERG",11398,"h",1933,NA,465
351,"WOUDENBERG",11398,"h",1869,2213,NA
351,"WOUDENBERG",11398,"h",1870,2227,NA
351,"WOUDENBERG",11398,"h",1879,3416,NA
352,"WIJK BIJ DUURSTEDE U",10760,"h",1889,6130,NA
352,"WIJK BIJ DUURSTEDE U",10760,"h",1933,NA,317
352,"WIJK BIJ DUURSTEDE U",10760,"h",1869,5897,NA
352,"WIJK BIJ DUURSTEDE U",10760,"h",1870,6367,NA
352,"WIJK BIJ DUURSTEDE U",10760,"h",1879,6201,NA
353,"IJSSELSTEIN",10152,"h",1889,5533,NA
353,"IJSSELSTEIN",10152,"h",1933,NA,317
353,"IJSSELSTEIN",10152,"h",1869,4507,NA
353,"IJSSELSTEIN",10152,"h",1870,5095,NA
353,"IJSSELSTEIN",10152,"h",1879,5839,NA
354,"ZEGVELD",10949,"h",1889,2358,NA
354,"ZEGVELD",10949,"h",1933,NA,218
354,"ZEGVELD",10949,"h",1869,1573,NA
354,"ZEGVELD",10949,"h",1870,1702,NA
354,"ZEGVELD",10949,"h",1879,2304,NA
355,"ZEIST",10324,"h",1889,25444,NA
355,"ZEIST",10324,"h",1933,NA,834
355,"ZEIST",10324,"h",1869,20217,NA
355,"ZEIST",10324,"h",1870,20217,NA
355,"ZEIST",10324,"h",1879,23063,NA
358,"AALSMEER",11264,"h",1889,4517,NA
358,"AALSMEER",11264,"h",1933,NA,745
358,"AALSMEER",11264,"h",1869,3690,NA
358,"AALSMEER",11264,"h",1870,3680,NA
358,"AALSMEER",11264,"h",1879,4116,NA
359,"ABBEKERK",10439,"h",1889,2325,NA
359,"ABBEKERK",10439,"h",1933,NA,352
359,"ABBEKERK",10439,"h",1869,1602,NA
359,"ABBEKERK",10439,"h",1870,1796,NA
359,"ABBEKERK",10439,"h",1879,1940,NA
360,"AKERSLOOT",10346,"h",1889,4926,NA
360,"AKERSLOOT",10346,"h",1933,NA,383
360,"AKERSLOOT",10346,"h",1869,2832,NA
360,"AKERSLOOT",10346,"h",1870,2903,NA
360,"AKERSLOOT",10346,"h",1879,4560,NA
361,"ALKMAAR",10527,"h",1889,44921,NA
361,"ALKMAAR",10527,"h",1933,NA,611
361,"ALKMAAR",10527,"h",1869,30490,NA
361,"ALKMAAR",10527,"h",1870,30535,NA
361,"ALKMAAR",10527,"h",1879,43634,NA
363,"AMSTERDAM",11150,"h",1889,1203224,NA
363,"AMSTERDAM",11150,"h",1933,NA,613
363,"AMSTERDAM",11150,"h",1869,904051,NA
363,"AMSTERDAM",11150,"h",1870,911277,NA
363,"AMSTERDAM",11150,"h",1879,1139760,NA
364,"ANDIJK",10822,"h",1889,4064,NA
364,"ANDIJK",10822,"h",1933,NA,238
364,"ANDIJK",10822,"h",1869,3031,NA
364,"ANDIJK",10822,"h",1870,2965,NA
364,"ANDIJK",10822,"h",1879,3982,NA
366,"ANNA PAULOWNA",10344,"h",1889,4149,NA
366,"ANNA PAULOWNA",10344,"h",1933,NA,467
366,"ANNA PAULOWNA",10344,"h",1870,1373,NA
366,"ANNA PAULOWNA",10344,"h",1879,4339,NA
367,"ASSENDELFT",11373,"h",1889,6120,NA
367,"ASSENDELFT",11373,"h",1933,NA,517
367,"ASSENDELFT",11373,"h",1869,3870,NA
367,"ASSENDELFT",11373,"h",1870,4066,NA
367,"ASSENDELFT",11373,"h",1879,5071,NA
368,"AVENHORN",11147,"h",1889,3123,NA
368,"AVENHORN",11147,"h",1933,NA,406
368,"AVENHORN",11147,"h",1869,2381,NA
368,"AVENHORN",11147,"h",1870,2626,NA
368,"AVENHORN",11147,"h",1879,2945,NA
369,"BARSINGERHORN",10973,"h",1889,5178,NA
369,"BARSINGERHORN",10973,"h",1933,NA,402
369,"BARSINGERHORN",10973,"h",1869,4136,NA
369,"BARSINGERHORN",10973,"h",1870,4241,NA
369,"BARSINGERHORN",10973,"h",1879,5145,NA
370,"BEEMSTER",10816,"h",1889,16871,NA
370,"BEEMSTER",10816,"h",1933,NA,467
370,"BEEMSTER",10816,"h",1869,13375,NA
370,"BEEMSTER",10816,"h",1870,13448,NA
370,"BEEMSTER",10816,"h",1879,16518,NA
371,"BEETS",10536,"h",1889,1360,NA
371,"BEETS",10536,"h",1933,NA,554
371,"BEETS",10536,"h",1869,1143,NA
371,"BEETS",10536,"h",1870,1160,NA
371,"BEETS",10536,"h",1879,1229,NA
372,"BENNEBROEK",10734,"h",1889,3026,NA
372,"BENNEBROEK",10734,"h",1933,NA,624
372,"BENNEBROEK",10734,"h",1869,2552,NA
372,"BENNEBROEK",10734,"h",1870,2421,NA
372,"BENNEBROEK",10734,"h",1879,2476,NA
373,"BERGEN NH",11424,"h",1889,4798,NA
373,"BERGEN NH",11424,"h",1933,NA,754
373,"BERGEN NH",11424,"h",1869,2188,NA
373,"BERGEN NH",11424,"h",1870,2940,NA
373,"BERGEN NH",11424,"h",1879,4646,NA
374,"BERKHOUT",10354,"h",1889,6885,NA
374,"BERKHOUT",10354,"h",1933,NA,344
374,"BERKHOUT",10354,"h",1869,4712,NA
374,"BERKHOUT",10354,"h",1870,5054,NA
374,"BERKHOUT",10354,"h",1879,6693,NA
375,"BEVERWIJK",10272,"h",1889,8202,NA
375,"BEVERWIJK",10272,"h",1933,NA,511
375,"BEVERWIJK",10272,"h",1869,5208,NA
375,"BEVERWIJK",10272,"h",1870,5060,NA
375,"BEVERWIJK",10272,"h",1879,7399,NA
376,"BLARICUM",10493,"h",1889,1187,NA
376,"BLARICUM",10493,"h",1933,NA,824
376,"BLARICUM",10493,"h",1869,840,NA
376,"BLARICUM",10493,"h",1870,875,NA
376,"BLARICUM",10493,"h",1879,1178,NA
377,"BLOEMENDAAL",10850,"h",1889,14978,NA
377,"BLOEMENDAAL",10850,"h",1933,NA,966
377,"BLOEMENDAAL",10850,"h",1869,13435,NA
377,"BLOEMENDAAL",10850,"h",1870,13712,NA
377,"BLOEMENDAAL",10850,"h",1879,15442,NA
378,"BLOKKER",10804,"h",1889,3847,NA
378,"BLOKKER",10804,"h",1933,NA,405
378,"BLOKKER",10804,"h",1869,3234,NA
378,"BLOKKER",10804,"h",1870,3211,NA
378,"BLOKKER",10804,"h",1879,3627,NA
379,"BOVENKARSPEL",10945,"h",1889,2252,NA
379,"BOVENKARSPEL",10945,"h",1933,NA,390
379,"BOVENKARSPEL",10945,"h",1869,1881,NA
379,"BOVENKARSPEL",10945,"h",1870,1951,NA
379,"BOVENKARSPEL",10945,"h",1879,2156,NA
380,"BROEK IN WATERLAND",10289,"h",1889,2808,NA
380,"BROEK IN WATERLAND",10289,"h",1933,NA,497
380,"BROEK IN WATERLAND",10289,"h",1869,2003,NA
380,"BROEK IN WATERLAND",10289,"h",1870,1898,NA
380,"BROEK IN WATERLAND",10289,"h",1879,2518,NA
381,"BUSSUM",10281,"h",1889,9289,NA
381,"BUSSUM",10281,"h",1933,NA,725
381,"BUSSUM",10281,"h",1869,1534,NA
381,"BUSSUM",10281,"h",1870,1493,NA
381,"BUSSUM",10281,"h",1879,5503,NA
382,"CALLANTSOOG",10559,"h",1889,1273,NA
382,"CALLANTSOOG",10559,"h",1933,NA,441
382,"CALLANTSOOG",10559,"h",1869,1091,NA
382,"CALLANTSOOG",10559,"h",1870,1089,NA
382,"CALLANTSOOG",10559,"h",1879,998,NA
383,"CASTRICUM",11287,"h",1889,2822,NA
383,"CASTRICUM",11287,"h",1933,NA,587
383,"CASTRICUM",11287,"h",1869,1968,NA
383,"CASTRICUM",11287,"h",1870,2010,NA
383,"CASTRICUM",11287,"h",1879,2869,NA
384,"DIEMEN",11039,"h",1889,3138,NA
384,"DIEMEN",11039,"h",1933,NA,712
384,"DIEMEN",11039,"h",1869,2403,NA
384,"DIEMEN",11039,"h",1870,2257,NA
384,"DIEMEN",11039,"h",1879,2996,NA
385,"EDAM-VOLENDAM",10884,"h",1889,9739,NA
385,"EDAM-VOLENDAM",10884,"h",1933,NA,468
385,"EDAM-VOLENDAM",10884,"h",1869,7606,NA
385,"EDAM-VOLENDAM",10884,"h",1870,7543,NA
385,"EDAM-VOLENDAM",10884,"h",1879,9411,NA
386,"EGMOND AAN ZEE",10421,"h",1889,1422,NA
386,"EGMOND AAN ZEE",10421,"h",1933,NA,318
386,"EGMOND AAN ZEE",10421,"h",1869,941,NA
386,"EGMOND AAN ZEE",10421,"h",1870,982,NA
386,"EGMOND AAN ZEE",10421,"h",1879,1313,NA
387,"EGMOND BINNEN",10989,"h",1889,3348,NA
387,"EGMOND BINNEN",10989,"h",1933,NA,306
387,"EGMOND BINNEN",10989,"h",1869,2135,NA
387,"EGMOND BINNEN",10989,"h",1870,2279,NA
387,"EGMOND BINNEN",10989,"h",1879,3254,NA
388,"ENKHUIZEN",10729,"h",1889,9990,NA
388,"ENKHUIZEN",10729,"h",1933,NA,528
388,"ENKHUIZEN",10729,"h",1869,6856,NA
388,"ENKHUIZEN",10729,"h",1870,7098,NA
388,"ENKHUIZEN",10729,"h",1879,9021,NA
389,"GRAFT",10484,"h",1889,2101,NA
389,"GRAFT",10484,"h",1933,NA,307
389,"GRAFT",10484,"h",1869,1870,NA
389,"GRAFT",10484,"h",1870,1743,NA
389,"GRAFT",10484,"h",1879,2173,NA
390,"'S GRAVELAND",10534,"h",1889,4648,NA
390,"'S GRAVELAND",10534,"h",1933,NA,532
390,"'S GRAVELAND",10534,"h",1869,4390,NA
390,"'S GRAVELAND",10534,"h",1870,4031,NA
390,"'S GRAVELAND",10534,"h",1879,4175,NA
391,"GROOTEBROEK",11337,"h",1889,2939,NA
391,"GROOTEBROEK",11337,"h",1933,NA,307
391,"GROOTEBROEK",11337,"h",1869,2685,NA
391,"GROOTEBROEK",11337,"h",1870,2699,NA
391,"GROOTEBROEK",11337,"h",1879,2983,NA
392,"HAARLEM",10357,"h",1889,125812,NA
392,"HAARLEM",10357,"h",1933,NA,615
392,"HAARLEM",10357,"h",1869,89086,NA
392,"HAARLEM",10357,"h",1870,92936,NA
392,"HAARLEM",10357,"h",1879,116338,NA
393,"HAARLEMMERLIEDE EN SPAARNWOUDE",10508,"h",1889,4153,NA
393,"HAARLEMMERLIEDE EN SPAARNWOUDE",10508,"h",1933,NA,474
393,"HAARLEMMERLIEDE EN SPAARNWOUDE",10508,"h",1869,2661,NA
393,"HAARLEMMERLIEDE EN SPAARNWOUDE",10508,"h",1870,2604,NA
393,"HAARLEMMERLIEDE EN SPAARNWOUDE",10508,"h",1879,3995,NA
394,"HAARLEMMERMEER",11387,"h",1889,17730,NA
394,"HAARLEMMERMEER",11387,"h",1933,NA,418
394,"HAARLEMMERMEER",11387,"h",1869,17313,NA
394,"HAARLEMMERMEER",11387,"h",1870,16819,NA
394,"HAARLEMMERMEER",11387,"h",1879,17901,NA
395,"HARENKARSPEL",10963,"h",1889,4667,NA
395,"HARENKARSPEL",10963,"h",1933,NA,309
395,"HARENKARSPEL",10963,"h",1869,3349,NA
395,"HARENKARSPEL",10963,"h",1870,2687,NA
395,"HARENKARSPEL",10963,"h",1879,5082,NA
396,"HEEMSKERK",10679,"h",1889,2332,NA
396,"HEEMSKERK",10679,"h",1933,NA,232
396,"HEEMSKERK",10679,"h",1869,2459,NA
396,"HEEMSKERK",10679,"h",1870,2168,NA
396,"HEEMSKERK",10679,"h",1879,2257,NA
397,"HEEMSTEDE",11288,"h",1889,14045,NA
397,"HEEMSTEDE",11288,"h",1933,NA,855
397,"HEEMSTEDE",11288,"h",1869,12450,NA
397,"HEEMSTEDE",11288,"h",1870,13656,NA
397,"HEEMSTEDE",11288,"h",1879,13857,NA
398,"HEERHUGOWAARD",10752,"h",1889,7668,NA
398,"HEERHUGOWAARD",10752,"h",1933,NA,318
398,"HEERHUGOWAARD",10752,"h",1869,4026,NA
398,"HEERHUGOWAARD",10752,"h",1870,4304,NA
398,"HEERHUGOWAARD",10752,"h",1879,7774,NA
399,"HEILOO",10793,"h",1889,4373,NA
399,"HEILOO",10793,"h",1933,NA,796
399,"HEILOO",10793,"h",1869,2468,NA
399,"HEILOO",10793,"h",1870,2836,NA
399,"HEILOO",10793,"h",1879,4164,NA
400,"DEN HELDER",10285,"h",1889,33640,NA
400,"DEN HELDER",10285,"h",1933,NA,838
400,"DEN HELDER",10285,"h",1869,30358,NA
400,"DEN HELDER",10285,"h",1870,29266,NA
400,"DEN HELDER",10285,"h",1879,37248,NA
401,"HENSBROEK",10181,"h",1889,2046,NA
401,"HENSBROEK",10181,"h",1933,NA,212
401,"HENSBROEK",10181,"h",1869,1347,NA
401,"HENSBROEK",10181,"h",1870,1478,NA
401,"HENSBROEK",10181,"h",1879,1684,NA
402,"HILVERSUM",11285,"h",1889,27174,NA
402,"HILVERSUM",11285,"h",1933,NA,705
402,"HILVERSUM",11285,"h",1869,9033,NA
402,"HILVERSUM",11285,"h",1870,9318,NA
402,"HILVERSUM",11285,"h",1879,18785,NA
403,"HOOGKARSPEL",10642,"h",1889,3397,NA
403,"HOOGKARSPEL",10642,"h",1933,NA,345
403,"HOOGKARSPEL",10642,"h",1869,2765,NA
403,"HOOGKARSPEL",10642,"h",1870,2000,NA
403,"HOOGKARSPEL",10642,"h",1879,3344,NA
404,"HOOGWOUD",11029,"h",1889,5898,NA
404,"HOOGWOUD",11029,"h",1933,NA,384
404,"HOOGWOUD",11029,"h",1869,4677,NA
404,"HOOGWOUD",11029,"h",1870,5066,NA
404,"HOOGWOUD",11029,"h",1879,5660,NA
405,"HOORN",11392,"h",1889,25356,NA
405,"HOORN",11392,"h",1933,NA,555
405,"HOORN",11392,"h",1869,19136,NA
405,"HOORN",11392,"h",1870,18812,NA
405,"HOORN",11392,"h",1879,19445,NA
406,"HUIZEN",11170,"h",1889,4130,NA
406,"HUIZEN",11170,"h",1933,NA,568
406,"HUIZEN",11170,"h",1869,2115,NA
406,"HUIZEN",11170,"h",1870,2043,NA
406,"HUIZEN",11170,"h",1879,3513,NA
407,"ILPENDAM",10809,"h",1889,4365,NA
407,"ILPENDAM",10809,"h",1933,NA,435
407,"ILPENDAM",10809,"h",1869,2877,NA
407,"ILPENDAM",10809,"h",1870,3024,NA
407,"ILPENDAM",10809,"h",1879,4298,NA
408,"JISP",10481,"h",1889,1309,NA
408,"JISP",10481,"h",1933,NA,396
408,"JISP",10481,"h",1869,838,NA
408,"JISP",10481,"h",1870,875,NA
408,"JISP",10481,"h",1879,1135,NA
409,"KATWOUDE",11136,"h",1889,681,NA
409,"KATWOUDE",11136,"h",1933,NA,542
409,"KATWOUDE",11136,"h",1869,396,NA
409,"KATWOUDE",11136,"h",1870,466,NA
409,"KATWOUDE",11136,"h",1879,723,NA
410,"KOEDIJK",10510,"h",1889,2670,NA
410,"KOEDIJK",10510,"h",1933,NA,355
410,"KOEDIJK",10510,"h",1869,1864,NA
410,"KOEDIJK",10510,"h",1870,1905,NA
410,"KOEDIJK",10510,"h",1879,2517,NA
411,"KOOG AAN DE ZAAN",10776,"h",1889,5620,NA
411,"KOOG AAN DE ZAAN",10776,"h",1933,NA,696
411,"KOOG AAN DE ZAAN",10776,"h",1869,5271,NA
411,"KOOG AAN DE ZAAN",10776,"h",1870,5113,NA
411,"KOOG AAN DE ZAAN",10776,"h",1879,5687,NA
413,"KROMMENIE",10373,"h",1889,4683,NA
413,"KROMMENIE",10373,"h",1933,NA,542
413,"KROMMENIE",10373,"h",1869,4393,NA
413,"KROMMENIE",10373,"h",1870,4531,NA
413,"KROMMENIE",10373,"h",1879,5083,NA
414,"KWADIJK",10775,"h",1889,902,NA
414,"KWADIJK",10775,"h",1933,NA,597
414,"KWADIJK",10775,"h",1869,617,NA
414,"KWADIJK",10775,"h",1870,640,NA
414,"KWADIJK",10775,"h",1879,764,NA
415,"LANDSMEER",11225,"h",1889,2246,NA
415,"LANDSMEER",11225,"h",1933,NA,515
415,"LANDSMEER",11225,"h",1869,1541,NA
415,"LANDSMEER",11225,"h",1870,1449,NA
415,"LANDSMEER",11225,"h",1879,1977,NA
417,"LAREN",10649,"h",1889,2829,NA
417,"LAREN",10649,"h",1933,NA,370
417,"LAREN",10649,"h",1869,1256,NA
417,"LAREN",10649,"h",1870,1404,NA
417,"LAREN",10649,"h",1879,1947,NA
418,"LIMMEN",11370,"h",1889,2268,NA
418,"LIMMEN",11370,"h",1933,NA,321
418,"LIMMEN",11370,"h",1869,1481,NA
418,"LIMMEN",11370,"h",1870,1400,NA
418,"LIMMEN",11370,"h",1879,2192,NA
419,"MARKEN",10901,"h",1889,480,NA
419,"MARKEN",10901,"h",1933,NA,327
419,"MARKEN",10901,"h",1869,299,NA
419,"MARKEN",10901,"h",1870,366,NA
419,"MARKEN",10901,"h",1879,466,NA
420,"MEDEMBLIK",11215,"h",1889,4694,NA
420,"MEDEMBLIK",11215,"h",1933,NA,682
420,"MEDEMBLIK",11215,"h",1869,4126,NA
420,"MEDEMBLIK",11215,"h",1870,4088,NA
