"naam","year","cbsnr","acode","industry","services","agricul","total","industry_share","services_share","agricul_share"
"ZWEELOO",1930,138,10872,0,38,0,38,0,1,0
"ZWIJNDRECHT",1889,642,10468,938,459,547,1944,0.482510288065844,0.236111111111111,0.281378600823045
"ZWIJNDRECHT",1899,642,10468,1033,536,613,2182,0.473418881759853,0.245646196150321,0.280934922089826
"ZWIJNDRECHT",1930,642,10468,1651,1593,741,3985,0.414303638644918,0.399749058971142,0.18594730238394
"ZWOLLE",1889,193,10093,3451,5611,582,9644,0.357839070924927,0.581812525922854,0.060348403152219
"ZWOLLE",1899,193,10093,3003,6942,588,10533,0.285103958986044,0.659071489604101,0.0558245514098547
"ZWOLLE",1930,193,10093,3659,8545,486,12690,0.288337273443656,0.673364854215918,0.0382978723404255
"ZWOLLERKERSPEL",1889,1245,10654,1777,322,1640,3739,0.475260764910404,0.0861192832308104,0.438619951858786
"ZWOLLERKERSPEL",1899,1245,10654,1777,292,1644,3713,0.478588742256935,0.0786426070562887,0.442768650686776
"ZWOLLERKERSPEL",1930,1245,10654,1808,766,1488,4062,0.445100935499754,0.188577055637617,0.366322008862629
