politician,vote,law,date,house,b1_nummer
Helsdingen,1,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00557
K. ter Laan,1,Staatsschuldwet 1914,1914-12-11,Tweede Kamer,00773
de Jong,1,Successiewet 1878,1878-05-24,Tweede Kamer,00650
de Beaufort,1,Successiewet 1878,1878-05-24,Tweede Kamer,00071
Idzerda,1,Successiewet 1878,1878-05-24,Tweede Kamer,00625
Verniers van der Loeff,1,Successiewet 1878,1878-05-24,Tweede Kamer,00273
Bredius jr,1,Successiewet 1878,1878-05-24,Tweede Kamer,00202
Patijn,1,Successiewet 1878,1878-05-24,Tweede Kamer,01022
Rombach,1,Successiewet 1878,1878-05-24,Tweede Kamer,01121
Hingst,1,Successiewet 1878,1878-05-24,Tweede Kamer,00583
de Vos van Steenwijk,1,Successiewet 1878,1878-05-24,Tweede Kamer,01479
Blussé,1,Successiewet 1878,1878-05-24,Tweede Kamer,00132
van der Kaay,1,Successiewet 1878,1878-05-24,Tweede Kamer,00666
Sandberg,1,Successiewet 1878,1878-05-24,Tweede Kamer,01168
Stieltjes,1,Successiewet 1878,1878-05-24,Tweede Kamer,01303
Mees,1,Successiewet 1878,1878-05-24,Tweede Kamer,00889
Viruly Verbrugge,1,Successiewet 1878,1878-05-24,Tweede Kamer,01437
van de Werk,1,Successiewet 1878,1878-05-24,Tweede Kamer,01522
van Stolk,1,Successiewet 1878,1878-05-24,Tweede Kamer,01311
van der Feltz,1,Successiewet 1878,1878-05-24,Tweede Kamer,00400
van Harinxma thoe Slooten,1,Successiewet 1878,1878-05-24,Tweede Kamer,00520
Oldenhuis gratama,1,Successiewet 1878,1878-05-24,Tweede Kamer,00998
Sickesz,1,Successiewet 1878,1878-05-24,Tweede Kamer,01246
Bastert,1,Successiewet 1878,1878-05-24,Tweede Kamer,00066
Gevers Deynoot,1,Successiewet 1878,1878-05-24,Tweede Kamer,00455
Luyben,1,Successiewet 1878,1878-05-24,Tweede Kamer,00851
Moens,1,Successiewet 1878,1878-05-24,Tweede Kamer,00931
Bredius,1,Successiewet 1878,1878-05-24,Tweede Kamer,00202
van Delden,1,Successiewet 1878,1878-05-24,Tweede Kamer,00299
Schepel,1,Successiewet 1878,1878-05-24,Tweede Kamer,01191
Lenting,1,Successiewet 1878,1878-05-24,Tweede Kamer,00808
Godefroi,1,Successiewet 1878,1878-05-24,Tweede Kamer,00464
de Meijier,1,Successiewet 1878,1878-05-24,Tweede Kamer,00917
Goeman Borgesius,1,Successiewet 1878,1878-05-24,Tweede Kamer,00469
Bergsma,1,Successiewet 1878,1878-05-24,Tweede Kamer,00102
de Ruiter Zylker,1,Successiewet 1878,1878-05-24,Tweede Kamer,01142
van Tienlioven,1,Successiewet 1878,1878-05-24,Tweede Kamer,01365
Dijckmeester,1,Successiewet 1878,1878-05-24,Tweede Kamer,00360
Roell,1,Successiewet 1878,1878-05-24,Tweede Kamer,01118
Vening Meinesz,1,Successiewet 1878,1878-05-24,Tweede Kamer,01405
van Houten,1,Successiewet 1878,1878-05-24,Tweede Kamer,00607
Cremers,1,Successiewet 1878,1878-05-24,Tweede Kamer,00280
Mirandolle,1,Successiewet 1878,1878-05-24,Tweede Kamer,00930
Fransen van de Putte,1,Successiewet 1878,1878-05-24,Tweede Kamer,00421
de Bruyn Kops,1,Successiewet 1878,1878-05-24,Tweede Kamer,00232
Wybenga,1,Successiewet 1878,1878-05-24,Tweede Kamer,01572
van Heukelom,1,Successiewet 1878,1878-05-24,Tweede Kamer,00569
Holtzman,1,Successiewet 1878,1878-05-24,Tweede Kamer,00594
van Eek,1,Successiewet 1878,1878-05-24,Tweede Kamer,00368
Dullert,1,Successiewet 1878,1878-05-24,Tweede Kamer,00349
Cremer van den Berch van Heemstede,0,Successiewet 1878,1878-05-24,Tweede Kamer,00088
Schimmelpenninck van der Oye,0,Successiewet 1878,1878-05-24,Tweede Kamer,01203
Bichon van IJsselmonde,0,Successiewet 1878,1878-05-24,Tweede Kamer,00112
Reekers,0,Successiewet 1878,1878-05-24,Tweede Kamer,01091
van Asch van Wijck,0,Successiewet 1878,1878-05-24,Tweede Kamer,00041
Heydenrijck,0,Successiewet 1878,1878-05-24,Tweede Kamer,00578
de Casembroot,0,Successiewet 1878,1878-05-24,Tweede Kamer,00255
Kerens de Wylre,0,Successiewet 1878,1878-05-24,Tweede Kamer,00683
van Kerkwijk,0,Successiewet 1878,1878-05-24,Tweede Kamer,00684
de Bieberstein,0,Successiewet 1878,1878-05-24,Tweede Kamer,00280
van Nispen tot Sevenaer,0,Successiewet 1878,1878-05-24,Tweede Kamer,00973
Corver Hooft,0,Successiewet 1878,1878-05-24,Tweede Kamer,00273
Begram,0,Successiewet 1878,1878-05-24,Tweede Kamer,00082
van der Schrieck,0,Successiewet 1878,1878-05-24,Tweede Kamer,01229
Teding van Berkhout,0,Successiewet 1878,1878-05-24,Tweede Kamer,01343
Haffmans,0,Successiewet 1878,1878-05-24,Tweede Kamer,00508
van Baar,0,Successiewet 1878,1878-05-24,Tweede Kamer,00049
Borret,0,Successiewet 1878,1878-05-24,Tweede Kamer,00168
Verheijen,0,Successiewet 1878,1878-05-24,Tweede Kamer,01414
Maekay,0,Successiewet 1878,1878-05-24,Tweede Kamer,00862
Lambrechts,0,Successiewet 1878,1878-05-24,Tweede Kamer,00778
van Zinnicq Bergmann,0,Successiewet 1878,1878-05-24,Tweede Kamer,01601
Saaymans Vader,0,Successiewet 1878,1878-05-24,Tweede Kamer,01166
Insinger,0,Successiewet 1878,1878-05-24,Tweede Kamer,00628
Schagen van Leeuwen,0,Successiewet 1878,1878-05-24,Tweede Kamer,01183
de Jonge,0,Successiewet 1878,1878-05-24,Tweede Kamer,00656
Schimmelpenninck,0,Successiewet 1878,1878-05-24,Tweede Kamer,00578
H.A. Amorie Hoeven,0,Successiewet 1878,1878-05-24,Tweede Kamer,00022
Arnoldts,0,Successiewet 1878,1878-05-24,Tweede Kamer,00031
Brouwers,0,Successiewet 1878,1878-05-24,Tweede Kamer,00217
van Wassenaer van Catwijck,0,Successiewet 1878,1878-05-24,Tweede Kamer,01509
Wintgens,0,Successiewet 1878,1878-05-24,Tweede Kamer,01557
Elhorst,1,Successiewet 1911,1911-03-10,Tweede Kamer,00376
O.F.A.M. van Nispen tot Sevenaer,1,Successiewet 1911,1911-03-10,Tweede Kamer,00977
ter Laan,1,Successiewet 1911,1911-03-10,Tweede Kamer,00773
Patijn,1,Successiewet 1911,1911-03-10,Tweede Kamer,01023
de Monte verLoren,1,Successiewet 1911,1911-03-10,Tweede Kamer,00940
Ketelaar,1,Successiewet 1911,1911-03-10,Tweede Kamer,00689
van Hamel,1,Successiewet 1911,1911-03-10,Tweede Kamer,00517
Ferf,1,Successiewet 1911,1911-03-10,Tweede Kamer,00404
Dolk,1,Successiewet 1911,1911-03-10,Tweede Kamer,00325
Schaper,1,Successiewet 1911,1911-03-10,Tweede Kamer,01189
Aalberse,1,Successiewet 1911,1911-03-10,Tweede Kamer,00001
Rink,1,Successiewet 1911,1911-03-10,Tweede Kamer,01113
Vliegen,1,Successiewet 1911,1911-03-10,Tweede Kamer,01451
Snoeck Henkemans,1,Successiewet 1911,1911-03-10,Tweede Kamer,01283
Roodkuyzen,1,Successiewet 1911,1911-03-10,Tweede Kamer,01125
Smidt,1,Successiewet 1911,1911-03-10,Tweede Kamer,01271
de Klerk,1,Successiewet 1911,1911-03-10,Tweede Kamer,00704
Heemskerk,1,Successiewet 1911,1911-03-10,Tweede Kamer,00540
de Geer,1,Successiewet 1911,1911-03-10,Tweede Kamer,00432
van Karnebeek,1,Successiewet 1911,1911-03-10,Tweede Kamer,00676
van der Voort van Zijp,1,Successiewet 1911,1911-03-10,Tweede Kamer,01470
J.W.J.C.M. van Nispen tot Sevenaer,1,Successiewet 1911,1911-03-10,Tweede Kamer,00975
Limburg,1,Successiewet 1911,1911-03-10,Tweede Kamer,00822
de Ram,1,Successiewet 1911,1911-03-10,Tweede Kamer,01079
Ankerman,1,Successiewet 1911,1911-03-10,Tweede Kamer,00029
Ros,1,Successiewet 1911,1911-03-10,Tweede Kamer,00175
Smeenge,1,Successiewet 1911,1911-03-10,Tweede Kamer,01269
Hubrecht,1,Successiewet 1911,1911-03-10,Tweede Kamer,00613
Thomson,1,Successiewet 1911,1911-03-10,Tweede Kamer,01359
Lieftinck,1,Successiewet 1911,1911-03-10,Tweede Kamer,00815
Goeman Borgesius,1,Successiewet 1911,1911-03-10,Tweede Kamer,00469
de Visser,1,Successiewet 1911,1911-03-10,Tweede Kamer,01446
de Vlugt,1,Successiewet 1911,1911-03-10,Tweede Kamer,01456
de Kanter,1,Successiewet 1911,1911-03-10,Tweede Kamer,00672
Kuyper,1,Successiewet 1911,1911-03-10,Tweede Kamer,00766
Duys,1,Successiewet 1911,1911-03-10,Tweede Kamer,00357
van Best,1,Successiewet 1911,1911-03-10,Tweede Kamer,00104
Duymaer van Twist,1,Successiewet 1911,1911-03-10,Tweede Kamer,00354
van Vuuren,1,Successiewet 1911,1911-03-10,Tweede Kamer,01494
van Wijnbergen,1,Successiewet 1911,1911-03-10,Tweede Kamer,01583
Drucker,1,Successiewet 1911,1911-03-10,Tweede Kamer,00348
Fleskens,1,Successiewet 1911,1911-03-10,Tweede Kamer,00408
Jannink,1,Successiewet 1911,1911-03-10,Tweede Kamer,00634
van Sasse van Ysselt,1,Successiewet 1911,1911-03-10,Tweede Kamer,01172
Teenstra,1,Successiewet 1911,1911-03-10,Tweede Kamer,01344
van Foresst,1,Successiewet 1911,1911-03-10,Tweede Kamer,00417
van Lennep,1,Successiewet 1911,1911-03-10,Tweede Kamer,00806
de Wijkorslooth de Weerdesteyn,1,Successiewet 1911,1911-03-10,Tweede Kamer,01580
Eland,1,Successiewet 1911,1911-03-10,Tweede Kamer,00374
Middelberg,1,Successiewet 1911,1911-03-10,Tweede Kamer,00925
de Jongh,1,Successiewet 1911,1911-03-10,Tweede Kamer,00662
de Savornin Lohman,1,Successiewet 1911,1911-03-10,Tweede Kamer,01177
Helsdingen,1,Successiewet 1911,1911-03-10,Tweede Kamer,00557
Kooien,1,Successiewet 1911,1911-03-10,Tweede Kamer,00733
van Vliet,1,Successiewet 1911,1911-03-10,Tweede Kamer,01454
vau Veen,1,Successiewet 1911,1911-03-10,Tweede Kamer,01392
Duynstee,1,Successiewet 1911,1911-03-10,Tweede Kamer,00356
Roessingh,1,Successiewet 1911,1911-03-10,Tweede Kamer,01120
Verheij,1,Successiewet 1911,1911-03-10,Tweede Kamer,01411
de Beaufort,1,Successiewet 1911,1911-03-10,Tweede Kamer,00071
Loeff,1,Successiewet 1911,1911-03-10,Tweede Kamer,00835
Nolens,1,Successiewet 1911,1911-03-10,Tweede Kamer,00981
Treub,1,Successiewet 1911,1911-03-10,Tweede Kamer,01375
van Bylandt,1,Successiewet 1911,1911-03-10,Tweede Kamer,00245
van Idsinga,0,Successiewet 1911,1911-03-10,Tweede Kamer,00624
van Dedem,0,Successiewet 1911,1911-03-10,Tweede Kamer,00293
van Wassenaer van Catwijck,0,Successiewet 1911,1911-03-10,Tweede Kamer,01510
van Lynden van Sandenburg,0,Successiewet 1911,1911-03-10,Tweede Kamer,00858
van Hoogstrate,0,Successiewet 1911,1911-03-10,Tweede Kamer,00601
Limburg,1,Successiewet 1916,1916-07-18,Tweede Kamer,00822
Eerdmans,1,Successiewet 1916,1916-07-18,Tweede Kamer,00369
Fock,1,Successiewet 1916,1916-07-18,Tweede Kamer,00410
Bichon van IJsselmonde,1,Successiewet 1916,1916-07-18,Tweede Kamer,00111
Ankerman,1,Successiewet 1916,1916-07-18,Tweede Kamer,00029
Marchant,1,Successiewet 1916,1916-07-18,Tweede Kamer,00875
Spiekman,1,Successiewet 1916,1916-07-18,Tweede Kamer,01288
van Raalte,1,Successiewet 1916,1916-07-18,Tweede Kamer,01075
de Beaufort,1,Successiewet 1916,1916-07-18,Tweede Kamer,00071
Teenstra,1,Successiewet 1916,1916-07-18,Tweede Kamer,01344
van Leeuwen,1,Successiewet 1916,1916-07-18,Tweede Kamer,00796
Heeres,1,Successiewet 1916,1916-07-18,Tweede Kamer,00544
Boissevain,1,Successiewet 1916,1916-07-18,Tweede Kamer,00152
de Meester,1,Successiewet 1916,1916-07-18,Tweede Kamer,00892
van Hamel,1,Successiewet 1916,1916-07-18,Tweede Kamer,00517
Lieftinck,1,Successiewet 1916,1916-07-18,Tweede Kamer,00815
Schaper,1,Successiewet 1916,1916-07-18,Tweede Kamer,01189
van den Tempel,1,Successiewet 1916,1916-07-18,Tweede Kamer,01347
Sannes,1,Successiewet 1916,1916-07-18,Tweede Kamer,01170
de Muralt,1,Successiewet 1916,1916-07-18,Tweede Kamer,00949
Drion,1,Successiewet 1916,1916-07-18,Tweede Kamer,00344
Kleerekoper,1,Successiewet 1916,1916-07-18,Tweede Kamer,00702
Duijs,1,Successiewet 1916,1916-07-18,Tweede Kamer,00357
de Jong,1,Successiewet 1916,1916-07-18,Tweede Kamer,00655
van Doorn,1,Successiewet 1916,1916-07-18,Tweede Kamer,00337
Jansen,1,Successiewet 1916,1916-07-18,Tweede Kamer,00635
Jannink,1,Successiewet 1916,1916-07-18,Tweede Kamer,00634
Hubrecht,1,Successiewet 1916,1916-07-18,Tweede Kamer,00613
Roodenburg,1,Successiewet 1916,1916-07-18,Tweede Kamer,01124
ter Spill,1,Successiewet 1916,1916-07-18,Tweede Kamer,01289
Smeenge,1,Successiewet 1916,1916-07-18,Tweede Kamer,01269
Rink,1,Successiewet 1916,1916-07-18,Tweede Kamer,01113
van Foreest,1,Successiewet 1916,1916-07-18,Tweede Kamer,00417
Rutgers,1,Successiewet 1916,1916-07-18,Tweede Kamer,01147
J. ter Laan,1,Successiewet 1916,1916-07-18,Tweede Kamer,00772
de Geer,1,Successiewet 1916,1916-07-18,Tweede Kamer,00432
van Beresteyn,1,Successiewet 1916,1916-07-18,Tweede Kamer,00090
Koster,1,Successiewet 1916,1916-07-18,Tweede Kamer,00742
Schim van der Loeff,1,Successiewet 1916,1916-07-18,Tweede Kamer,00835
Nierstrasz,1,Successiewet 1916,1916-07-18,Tweede Kamer,00967
Knobel,1,Successiewet 1916,1916-07-18,Tweede Kamer,00709
Patijn,1,Successiewet 1916,1916-07-18,Tweede Kamer,01023
Snoeck Henkemans,1,Successiewet 1916,1916-07-18,Tweede Kamer,01283
Eland,1,Successiewet 1916,1916-07-18,Tweede Kamer,00374
Tydeman,1,Successiewet 1916,1916-07-18,Tweede Kamer,01384
Albarda,1,Successiewet 1916,1916-07-18,Tweede Kamer,00011
K. ter Laan,1,Successiewet 1916,1916-07-18,Tweede Kamer,00773
Goeman Borgesius,1,Successiewet 1916,1916-07-18,Tweede Kamer,00469
Gerretson,0,Successiewet 1916,1916-07-18,Tweede Kamer,00448
van Best,0,Successiewet 1916,1916-07-18,Tweede Kamer,00104
Ruys de Beerenbrouck,0,Successiewet 1916,1916-07-18,Tweede Kamer,01152
Bogaardt,0,Successiewet 1916,1916-07-18,Tweede Kamer,00150
Arts,0,Successiewet 1916,1916-07-18,Tweede Kamer,00034
de Monté ver Loren,0,Successiewet 1916,1916-07-18,Tweede Kamer,00940
van der Voort van Zijp,0,Successiewet 1916,1916-07-18,Tweede Kamer,01470
van Wijnbergen,0,Successiewet 1916,1916-07-18,Tweede Kamer,01583
Janssen,0,Successiewet 1916,1916-07-18,Tweede Kamer,00638
van Sasse van Ysselt,0,Successiewet 1916,1916-07-18,Tweede Kamer,01172
de Visser,0,Successiewet 1916,1916-07-18,Tweede Kamer,01446
Scheurer,0,Successiewet 1916,1916-07-18,Tweede Kamer,01194
van Vliet,0,Successiewet 1916,1916-07-18,Tweede Kamer,01454
Fruytier,0,Successiewet 1916,1916-07-18,Tweede Kamer,00430
Juten,0,Successiewet 1916,1916-07-18,Tweede Kamer,00665
van Nispen tot Sevenaer,0,Successiewet 1916,1916-07-18,Tweede Kamer,00975
Brummelkamp,0,Successiewet 1916,1916-07-18,Tweede Kamer,00228
Bongaerts,0,Successiewet 1916,1916-07-18,Tweede Kamer,00157
van Vuuren,0,Successiewet 1916,1916-07-18,Tweede Kamer,01494
Kooien,0,Successiewet 1916,1916-07-18,Tweede Kamer,00733
Schimmelpenninck,0,Successiewet 1916,1916-07-18,Tweede Kamer,01201
de Savornin Lohman,0,Successiewet 1916,1916-07-18,Tweede Kamer,01177
Kolkman,0,Successiewet 1916,1916-07-18,Tweede Kamer,00727
Duymaer van Twist,0,Successiewet 1916,1916-07-18,Tweede Kamer,00354
van Veen,0,Successiewet 1916,1916-07-18,Tweede Kamer,01392
Fleskens,0,Successiewet 1916,1916-07-18,Tweede Kamer,00408
de Wijkerslooth de Weerdesteyn,0,Successiewet 1916,1916-07-18,Tweede Kamer,01580
van Wichen,0,Successiewet 1916,1916-07-18,Tweede Kamer,01538
van de Velde,0,Successiewet 1916,1916-07-18,Tweede Kamer,01400
de Groot,1,Successiewet 1921,1921-04-14,Tweede Kamer,00491
Fleskens,1,Successiewet 1921,1921-04-14,Tweede Kamer,00408
L.M. Hermans,1,Successiewet 1921,1921-04-14,Tweede Kamer,00565
Schokking,1,Successiewet 1921,1921-04-14,Tweede Kamer,01215
Treub,1,Successiewet 1921,1921-04-14,Tweede Kamer,01375
Ossendorp,1,Successiewet 1921,1921-04-14,Tweede Kamer,01007
Bomans,1,Successiewet 1921,1921-04-14,Tweede Kamer,00154
Reijmer,1,Successiewet 1921,1921-04-14,Tweede Kamer,01105
Kleerekoper,1,Successiewet 1921,1921-04-14,Tweede Kamer,00702
van Zadelhoff,1,Successiewet 1921,1921-04-14,Tweede Kamer,01592
Haazevoet,1,Successiewet 1921,1921-04-14,Tweede Kamer,00506
Deckers,1,Successiewet 1921,1921-04-14,Tweede Kamer,00292
Ter Hall,1,Successiewet 1921,1921-04-14,Tweede Kamer,00514
H. Hermans,1,Successiewet 1921,1921-04-14,Tweede Kamer,00563
Nolens,1,Successiewet 1921,1921-04-14,Tweede Kamer,00981
Bongaerts,1,Successiewet 1921,1921-04-14,Tweede Kamer,00157
A.P. Staalman,1,Successiewet 1921,1921-04-14,Tweede Kamer,01293
Duys,1,Successiewet 1921,1921-04-14,Tweede Kamer,00357
Zijlstra,1,Successiewet 1921,1921-04-14,Tweede Kamer,01610
Kolkman,1,Successiewet 1921,1921-04-14,Tweede Kamer,00727
Stulemeijer,1,Successiewet 1921,1921-04-14,Tweede Kamer,01322
de Wilde,1,Successiewet 1921,1921-04-14,Tweede Kamer,01548
van Stapele,1,Successiewet 1921,1921-04-14,Tweede Kamer,01295
de Muralt,1,Successiewet 1921,1921-04-14,Tweede Kamer,00949
van Schaik,1,Successiewet 1921,1921-04-14,Tweede Kamer,01184
van Rijckevorsel,1,Successiewet 1921,1921-04-14,Tweede Kamer,01157
Duymaer van Twist,1,Successiewet 1921,1921-04-14,Tweede Kamer,00354
Oud,1,Successiewet 1921,1921-04-14,Tweede Kamer,01010
Rutgers,1,Successiewet 1921,1921-04-14,Tweede Kamer,01147
Scheurer,1,Successiewet 1921,1921-04-14,Tweede Kamer,01194
van de Bilt,1,Successiewet 1921,1921-04-14,Tweede Kamer,00121
Rugge,1,Successiewet 1921,1921-04-14,Tweede Kamer,01140
Wintermans,1,Successiewet 1921,1921-04-14,Tweede Kamer,01555
Poels,1,Successiewet 1921,1921-04-14,Tweede Kamer,01043
van der Molen,1,Successiewet 1921,1921-04-14,Tweede Kamer,00934
Smeenk,1,Successiewet 1921,1921-04-14,Tweede Kamer,01270
de Jonge,1,Successiewet 1921,1921-04-14,Tweede Kamer,00657
van Vuuren,1,Successiewet 1921,1921-04-14,Tweede Kamer,01494
G.J. ter Laan,1,Successiewet 1921,1921-04-14,Tweede Kamer,00672
Schaper,1,Successiewet 1921,1921-04-14,Tweede Kamer,01189
Troelstra,1,Successiewet 1921,1921-04-14,Tweede Kamer,01376
Groeneweg,1,Successiewet 1921,1921-04-14,Tweede Kamer,00488
van den Tempel,1,Successiewet 1921,1921-04-14,Tweede Kamer,01347
K. ter Laan,1,Successiewet 1921,1921-04-14,Tweede Kamer,00773
Ketelaar,1,Successiewet 1921,1921-04-14,Tweede Kamer,00689
Teenstra,1,Successiewet 1921,1921-04-14,Tweede Kamer,01344
Engels,1,Successiewet 1921,1921-04-14,Tweede Kamer,00385
Bulten,1,Successiewet 1921,1921-04-14,Tweede Kamer,00237
van Wijnbergen,1,Successiewet 1921,1921-04-14,Tweede Kamer,01583
Bakker,1,Successiewet 1921,1921-04-14,Tweede Kamer,00059
van Beresteyn,1,Successiewet 1921,1921-04-14,Tweede Kamer,00090
Marchant,1,Successiewet 1921,1921-04-14,Tweede Kamer,00875
Hugenholtz,1,Successiewet 1921,1921-04-14,Tweede Kamer,00615
Schouten,1,Successiewet 1921,1921-04-14,Tweede Kamer,01225
van Dijk,1,Successiewet 1921,1921-04-14,Tweede Kamer,00363
Albarda,1,Successiewet 1921,1921-04-14,Tweede Kamer,00011
Drion,0,Successiewet 1921,1921-04-14,Tweede Kamer,00344
Gerretson,0,Successiewet 1921,1921-04-14,Tweede Kamer,00448
Rink,0,Successiewet 1921,1921-04-14,Tweede Kamer,01113
Dresselhuys,0,Successiewet 1921,1921-04-14,Tweede Kamer,00341
A. Staalman,0,Successiewet 1921,1921-04-14,Tweede Kamer,01292
de Monté ver Loren,0,Successiewet 1921,1921-04-14,Tweede Kamer,00940
de Kanter,0,Successiewet 1921,1921-04-14,Tweede Kamer,00672
Heemskerk,0,Successiewet 1921,1921-04-14,Tweede Kamer,00540
van Rappard,0,Successiewet 1921,1921-04-14,Tweede Kamer,01082
Fruytier,0,Successiewet 1921,1921-04-14,Tweede Kamer,00430
de Wijkerslooth de Weerdesteyn,0,Successiewet 1921,1921-04-14,Tweede Kamer,01580
van Sasse van Ysselt,0,Successiewet 1921,1921-04-14,Tweede Kamer,01172
Swane,0,Successiewet 1921,1921-04-14,Tweede Kamer,01328
Braat,0,Successiewet 1921,1921-04-14,Tweede Kamer,00191
Beumer,0,Successiewet 1921,1921-04-14,Tweede Kamer,00106
Weitkamp,0,Successiewet 1921,1921-04-14,Tweede Kamer,01514
Snoeck Henkemans,0,Successiewet 1921,1921-04-14,Tweede Kamer,01283
Koelen,0,Successiewet 1921,1921-04-14,Tweede Kamer,00733
Viruly,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01436
 Magnée,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00871
 Vlielander Hein,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01452
 van Lier,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00818
 de Jong,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00651
 E. Gremers,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00280
 Pijnappel,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01068
 Vening Meinesz,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01405
 Blijdenstein,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00139
 Fransen van de Putte,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00421
 Bultman,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00238
 Welt,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01065
 Kist,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00701
 Wertheim,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01524
 van Alphen,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00018
 Nebbens Sterling,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00958
 Muller,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00948
 Stork,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01313
 A. Prins,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01060
 Merkelbach,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00905
 J. Prins,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01061
 Fokker,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00413
 Alberda van Ekenstein,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00014
 Coenen,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00260
 Breebaart,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00204
 van Roijen,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01137
 van Gennep,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00444
Engelberts,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00381
 Rahusen,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01077
 Verheijen,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01414
 L. van Nispen,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01077
 Melvil van Lynden,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00260
 Smitz,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01281
 Godin de Beaufort,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00465
 Pyls,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01065
 W. Cremers,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00282
 de Savornin Lohman,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01177
 Prinzen,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01062
 van Nispen tot Pannerdeu,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00971
 Sassen,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01174
 Regout,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01095
 van Pallandt van Waardenburg,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01016
Neerijnen,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00260
van Naamen van Eemnes,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00954
van Kol,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,00723
 Haffmans,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,00509
 Franssen,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,00423
 Reekers,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,01091
 Zijlma,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,01609
 Woltjer,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,01565
 de Vos van Steenwijk,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,01482
 van Weideren Reugers,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,01517
 van Holthe tot Echten,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,00593
 van Houten,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,00605
 de Boer,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,00144
 Drucker,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,00348
 Kraus,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,00751
 Dojes,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,00324
 Bergsma,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,00101
 Polak,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,01046
 van Swaay,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,01291
 van Waterschoot van der Gracht,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,01512
 de Gijselaar,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,00501
 van Nierop,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,00965
