politician,vote,law,date,house,b1_nummer,re,dugobo,fogobo,duprbo,foprbo,dush,fosh,cash,misc,debt,ta11,tl11,nw11,ta0,tl0,nw0,w_deflated,begin_periode,einde_periode,class,date_of_birth,date_of_death,tenure,age_of_death,age_of_entrance,age_of_vote,long_elec_horiz,kiesdistrict,strikes,rk_pct,hervormd_pct,gereformeerd_pct,overig_pct,kiesdistrict_corrected,aandeel_gem,percentage_aangesl,industry_share,services_share,agricul_share,side,kiesgerechtigden,opkomst,turnout,socialistdum,socialistpercentage,truename,aantal_stemmen,ncm,tvs,total,share_re,share_dugobo,share_fogobo,share_duprbo,share_foprbo,share_dush,share_fosh,share_cash,share_misc,share_bonds,share_shares,share_domestic,share_foreign,wealth_timevote
Rutgers van Rozenburg,1,Kieswet 1887,1887-03-23,Tweede Kamer,01148,497152,11003,143154,198358,0,145724,0,17285,28227,-2761,936347.255,-3789.985,932557.27,936372.255,-3789.985,932582.27,844663.3662986878,1869-09-21,1897-09-20,liberal,1830-08-10,1902-10-31,6392,26379,14287,20679,3834,Amsterdam,3,22.9,40.2,8.1,28.7,AMSTERDAM,12.03224,6.13,0.298372234843154,0.695784161958947,0.00584360319789845,1886-06-15,6059,3335,0.550420861528305,0,0,J.W.H. Rutgers van Rozenburg,2370,6.791863347709444e-5,0.08048358067035691,1040903,0.4776160698931601,0.010570629539928312,0.13752866501489572,0.19056338582941926,0,0.13999767509556607,0,0.016605774025053248,0.027117800601977323,0.3386626803842433,0.13999767509556607,0.34113169046491365,0.13752866501489572,458334.104795781
Goeman Borgesius,1,Kieswet 1887,1887-03-23,Tweede Kamer,00469,0,3527,75690,146919,71952,72583,52999.5,7740,35899,-8097.76,248711.86,-711.1,248000.76,241571.07,-4404.43,237166.64,160709.0670972835,1877-11-19,1917-01-17,liberal,1847-01-11,1917-01-18,3411,25574,11270,14681,10892,Winschoten,0,1.5,83.6,8.5,6.4,WINSCHOTEN,0.1339,4.61,0.336520076481836,0.551488664299372,0.111991259218793,1886-06-15,2981,1521,0.5102314659510232,0,0,H. Goeman Borgesius,1030,0.0010291396854764108,0.01191026827012026,467309.5,0,0.007547460515996358,0.16196974382074406,0.3143933517294213,0.15397076241762686,0.15532104526015414,0.11341412917991181,0.01656289889248988,0.07682060818365559,0.6378813184837886,0.26873517444006595,0.47726185750557176,0.4293546354182827,59367.010210949236
Smeenge,1,Kieswet 1887,1887-03-23,Tweede Kamer,01269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1886-04-05,1918-09-16,liberal,1852-05-25,1935-05-09,352,30298,12368,12720,11499,Assen,0,5.2,81.5,8,5.3,ASSEN,0.17645,4.64,0.307319223985891,0.531305114638448,0.161375661375661,1886-06-15,2806,1585,0.5648610121168923,0,0,H. Smeenge,1043,0.19401993355481728,0.34651162790697676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
De Vos van Steenwijk,1,Kieswet 1887,1887-03-23,Tweede Kamer,01479,800,0,30720,63193,13478,172933,4734,3004,39259,-3015.9,221812.14,-527,221317.75,227597.15,-2035.9,225561.23,232494.57405540845,1878-03-18,1888-03-26,liberal,1827-03-02,1897-10-10,3292,25790,18644,21936,369,Winschoten,0,1.5,83.6,8.5,6.4,WINSCHOTEN,0.1339,4.61,0.336520076481836,0.551488664299372,0.111991259218793,1886-06-15,2981,1521,0.5102314659510232,0,0,J.W.J. baron de Vos van Steenwijk,1064,5.114217524718718e-4,0.09069212410501193,328121,0.0024381249599995125,0,0.09362399846398127,0.19259053824656147,0.041076310263591785,0.5270403296344945,0.014427604450797115,0.00915515922479817,0.11964793475577606,0.3272908469741345,0.5414679340852917,0.7196308678810561,0.14912791317837018,168516.6455901398
A. Van Dedem,1,Kieswet 1887,1887-03-23,Tweede Kamer,00293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1879-09-15,1913-09-15,confessional,1838-02-07,1931-03-01,2746,33989,15195,17941,9672,Zwolle,0,26.5,61.4,7.5,4.6,ZWOLLE,0.78653,5.47,0.285103958986044,0.659071489604101,0.0558245514098547,1886-06-15,3220,2952,0.9167701863354037,0,0,A. baron van Dedem,1581,0.001526929483620211,0.054865352581898945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Van der Kaay,1,Kieswet 1887,1887-03-23,Tweede Kamer,00666,0,0,0,3627.15,0,118.9,0,666,4045.09,-1815.66,8457.79,-1815.66,6642.13,8457.79,-1815.66,6642.13,4222.443110295422,1875-08-10,1894-03-19,confessional,1831-05-05,1918-07-29,4243,31861,16168,20411,2553,Alkmaar,0,34.7,54.6,3.6,7.2,ALKMAAR,0.44921,6.11,0.294545454545455,0.649242424242424,0.0562121212121212,1886-06-15,4243,3291,0.7756304501531935,0,0,W. van der Kaay,1938,8.565127085073125e-4,0.04149804072717929,8457.14,0,0,0,0.4288861246236908,0,0.014059126371326478,0,0.07875002660473872,0.47830472240024413,0.4288861246236908,0.014059126371326478,0.4429452509950173,0,2995.7665628048658
Van Kerkwijk,1,Kieswet 1887,1887-03-23,Tweede Kamer,00684,25524,148610,0,31025,0,99332,2000,2258,11869,-1524,320618.47,-2159.96,318458.51,306895.97,-2159.96,319236.01,285890.36377138627,1863-03-04,1901-05-20,liberal,1830-12-19,1901-05-21,8785,25720,11763,20548,5171,Zierikzee,0,5.4,82.5,10.2,1.9,ZIERIKZEE,0.16795,4.13,0.31493890421758,0.51714623571147,0.16791486007095,1886-06-15,1557,1359,0.8728323699421965,0,0,J.J. van Kerkwijk,864,0.28475836431226764,0.6423791821561339,320618,0.07960875559076533,0.46351109419932757,0,0.09676624518897878,0,0.30981417138151945,0.006237952953358826,0.007042648884342115,0.037019131801707954,0.5602773393883064,0.3160521243348783,0.8700915107698258,0.006237952953358826,179805.69760968987
Gleichman,1,Kieswet 1887,1887-03-23,Tweede Kamer,00462,116001,38202,54378,95490,84483,174563,80372,7745,12301,-1228,662359.18,-1320.39,661038.79,662695.8,-3300.39,663355.45,605681.4640750177,1880-09-21,1901-06-08,liberal,1834-07-19,1906-04-30,2374,26217,16866,19240,5190,Amsterdam,3,22.9,40.2,8.1,28.7,AMSTERDAM,12.03224,6.13,0.298372234843154,0.695784161958947,0.00584360319789845,1886-06-15,6059,3335,0.550420861528305,0,0,J.G. Gleichman,2347,1.769880179111874e-5,0.04153908780375568,663535,0.17482272977310917,0.05757345128742267,0.08195196937614443,0.14391102202596698,0.1273225979036524,0.26308031980227115,0.12112699405457135,0.011672330773809973,0.018538585003051836,0.4107590405931865,0.38420731385684254,0.4645647931156608,0.3304015613343682,272147.68394963915
Van der Goes van Dirxland,1,Kieswet 1887,1887-03-23,Tweede Kamer,00470,24000,2075,0,45000,12779.5,47280,0,8509,10929,-67091.36,150754.42,-67091.36,41831.53,109288.85,-27591.33,81697.52,77545.67881794885,1886-07-14,1888-03-26,liberal,1841-11-30,1890-01-29,252,17592,16297,16549,369,'s-Gravenhage,0,30.8,54.7,3.6,10.8,'S-GRAVENHAGE,5.25337,6.66,0.285232716304926,0.660284463894967,0.0544828198001065,1886-06-15,2888,2263,0.7835872576177285,0,0,H.M.A. baron van der Goes van Dirxland,1152,0.06457522326539959,0.26379665674376,150572.5,0.15939165518271928,0.013780736854339271,0,0.2988593534675987,0.08487273572531505,0.314001560709957,0,0.05651098308123993,0.0725829749788308,0.39751282604725297,0.314001560709957,0.626641651031895,0.08487273572531505,67992.18156564968
Van der Sleyden,1,Kieswet 1887,1887-03-23,Tweede Kamer,01256,22000,39884,2007,9920,0,78814,0,1330,6278,1344.82,142011.36,-1420.89,140590.47,142011.36,-1420.89,140590.47,81785.85279143824,1881-03-30,1888-03-26,liberal,1842-01-08,1923-12-11,2184,29921,14326,16510,369,Arnhem,0,40.9,45.6,3.9,9.6,ARNHEM,2.11668,5.59,0.297175541607613,0.641526624822839,0.0612978335695485,1886-11-23,3891,1272,0.3269082498072475,0,0,Ph.W. van der Sleyden,1152,0.9345088161209067,0.9672544080604534,160233,0.13730005679229623,0.24891252114108828,0.012525509726460842,0.061909843789980844,0,0.49187121254672883,0,0.008300412524261544,0.03918044347918344,0.32334787465752995,0.49187121254672883,0.8026935774777979,0.012525509726460842,23977.418407945337
Van Houten,1,Kieswet 1887,1887-03-23,Tweede Kamer,00607,44734,5858,3600,120977.5,40603,235994,16692,426,12745,-7381.44,481444.36,-7381.44,451163.26,462162.19,-11412,450750.19,277948.34281128657,1869-02-24,1894-03-19,liberal,1837-02-17,1930-10-14,6601,34206,11695,18296,2553,Groningen,0,10.5,60.9,14.9,13.7,GRONINGEN,1.56159,5.62,0.239074431870457,0.73889042230196,0.022035145827583,1886-06-15,1726,1040,0.6025492468134415,0,0,S. van Houten,706,8.220502901353966e-4,0.03413926499032882,481629.5,0.09288052330681572,0.012162876235778747,0.007474625204643819,0.25118374185966597,0.08430339088448693,0.4899907501513093,0.03465734553219851,8.844973158828518e-4,0.026462249509218185,0.35512463418457546,0.5246480956835078,0.753337368246754,0.12643536162132926,55478.21213118811
De Beaufort,1,Kieswet 1887,1887-03-23,Tweede Kamer,00071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1877-04-23,1918-04-01,liberal,1845-03-19,1918-04-02,3621,26676,11723,15344,11331,Amsterdam,3,22.9,40.2,8.1,28.7,AMSTERDAM,12.03224,6.13,0.298372234843154,0.695784161958947,0.00584360319789845,1886-06-15,6059,3335,0.550420861528305,0,0,W.H. de Beaufort,2368,9.474824038982134e-5,0.032051976177585276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Godin de Beaufort,1,Kieswet 1887,1887-03-23,Tweede Kamer,00465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1882-11-14,1888-03-26,confessional,1850-01-16,1921-04-07,1590,26013,11990,13580,369,Gouda,0,18.7,65.7,10.6,5.1,GOUDA,0.37547,4.7,0.344887348353553,0.615106874638937,0.0400057770075101,1886-06-15,4183,3610,0.8630169734640211,0,0,K.A. Godin de Beaufort,1969,4.311774461028192e-4,0.06530679933665008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hartogh,1,Kieswet 1887,1887-03-23,Tweede Kamer,00525,100000,17640,36024,65228,63335,187158,186743,375,15108,-352668,665024.14,-355737.92,266032.21,654917.69,-355438.115,299479.575,268197.577832307,1886-07-14,1901-02-12,liberal,1844-12-29,1901-02-13,252,20499,15172,15424,5074,Amsterdam,3,22.9,40.2,8.1,28.7,AMSTERDAM,12.03224,6.13,0.298372234843154,0.695784161958947,0.00584360319789845,1886-06-15,6059,3335,0.550420861528305,0,0,A.F.K. Hartogh,2298,0.0707976154214351,0.09999564857926113,671611,0.14889571493022002,0.02626520411369081,0.053638192346462464,0.09712169693468392,0.09430310105105486,0.2786702421491012,0.27805232493214077,5.583589309883251e-4,0.022495164611657643,0.27132819444589207,0.556722567081242,0.40205714319747593,0.4259936183296581,147853.05436019556
Van Bylandt,1,Kieswet 1887,1887-03-23,Tweede Kamer,00245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1882-11-08,1916-01-26,confessional,1841-12-04,1924-07-04,1596,30162,14949,16545,10535,Amersfoort,2,33.8,51.5,10.5,4.3,AMERSFOORT,0.27181,6.53,0.297297297297297,0.627233791168217,0.0754689115344853,1886-07-20,3650,2516,0.6893150684931507,0,0,W.K.F.P. graaf van Bylandt,1799,0.00471604447974583,0.04465349483717236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
De Savornin Lohman,1,Kieswet 1887,1887-03-23,Tweede Kamer,01177,16466,11005,19,49000,577,58904.8,2787,2570,8729,-8623.08,150267.52,-8623.08,141644.44,150331.52,-8623.08,141708.44,84837.26570317429,1879-09-15,1921-02-07,confessional,1837-05-29,1924-06-11,2746,31789,15449,18195,12374,Goes,0,8.4,74.6,13.8,3.1,GOES,0.17908,5.04,0.291332569683085,0.582283314242077,0.126384116074838,1886-06-29,2926,2542,0.8687628161312372,0,0,A.F. de Savornin Lohman,1431,0.07430087773014901,0.29210042865891,150057.8,0.10973105030195032,0.0733384069338615,1.266178765782252e-4,0.3265408395964755,0.0038451849887176813,0.39254740506658103,0.018572843264395456,0.01712673383189678,0.058170918139543566,0.40385104939563293,0.4111202483309765,0.792426651596918,0.02254464612969136,25728.4299006592
Schaepman,1,Kieswet 1887,1887-03-23,Tweede Kamer,01180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1880-07-15,1903-01-20,confessional,1844-03-02,1903-01-21,2442,21508,13284,15726,5781,Breda,0,87.3,10.5,0.3,1.9,BREDA,0.57616,5.26,0.305503292568203,0.671448730009407,0.0230479774223895,1886-06-15,4387,2611,0.5951675404604513,0,0,H.J.A.M. Schaepman,2040,5.8115400581154e-4,0.028227480282274803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Smit,1,Kieswet 1887,1887-03-23,Tweede Kamer,01273,15000,0,2,37604,667,97395,0,12808,5135,-30288.01,175815.11,-30288.01,145527.1,175815.11,-30288.01,145527.1,108116.99173861956,1886-07-14,1897-09-20,liberal,1845-05-01,1935-05-10,252,32880,15049,15301,3834,Middelburg,0,11.2,67.8,15,6.1,MIDDELBURG,0.58078,5.36,0.290065050266115,0.649911295091662,0.0600236546422235,1886-06-15,2929,2728,0.9313758962103107,0,0,A. Smit,1409,0.01436749354585251,0.15815467504770456,168611,0.08896216735562923,0,1.1861622314083898e-5,0.22302222274940545,0.00395585104174698,0.5776313526401006,0,0.07596182929939328,0.030454715291410406,0.2269899354134665,0.5776313526401006,0.800653575389506,0.003967712664061064,31078.077179134656
Fabius,1,Kieswet 1887,1887-03-23,Tweede Kamer,00396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1881-09-20,1890-03-25,confessional,1849-11-29,1924-04-08,2010,27158,11618,13628,1098,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J.Ch. Fabius,302,0.0028577345206046803,0.04058811348105198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reekers,1,Kieswet 1887,1887-03-23,Tweede Kamer,01091,129127,14179,1649,51320,0,7448,0,882,57151,-25805,261951,-27395,234556,261951,-27395,234556,120529.53179612223,1878-03-26,1894-03-19,confessional,1842-06-06,1922-05-27,3284,29209,13077,16361,2553,Haarlemmermeer,0,41.6,43.2,9.7,10.6,HAARLEMMERMEER,0.1773,4.18,0.449591280653951,0.148337874659401,0.402070844686648,1886-06-29,1761,1551,0.8807495741056218,0,0,F.J.M.A. Reekers,845,0.10457516339869281,0.5522875816993464,261756,0.4933105640367365,0.05416876786014456,0.006299760081908342,0.19606045324653495,0,0.028453980042482313,0,0.003369550268188695,0.21833692446400466,0.25652898118858786,0.028453980042482313,0.27868320114916184,0.006299760081908342,46665.394872971854
Ae. Mackay,1,Kieswet 1887,1887-03-23,Tweede Kamer,00862,123989,409,19970,14986,18347,43403,16316,2014,3754,-1896.75,244163.65,-1896.75,242371.93,244153.58,-1896.75,242256.87,224426.76447416568,1876-05-02,1905-09-18,confessional,1838-11-29,1909-11-13,3977,25916,13669,17646,6753,Utrecht,0,34.7,52.5,5.6,7.2,UTRECHT,2.47185,5.93,0.290613050450228,0.677470087578636,0.0319168619711361,1886-06-15,3229,2871,0.8891297615360793,0,0,Æ. baron Mackay,1803,5.633168093735917e-5,0.025391505182514647,243188,0.5098483477803181,0.0016818264059081862,0.08211753869434348,0.06162310640327648,0.0754436896557396,0.17847508923137656,0.06709212625622975,0.008281658634472095,0.015436616938335774,0.22086616115926772,0.2455672154876063,0.2417800220405612,0.2246533546063128,80709.15857942769
De Ruiter-Zylker,1,Kieswet 1887,1887-03-23,Tweede Kamer,01142,25300,429,29166,209186,18637,11711,308,0,11427,-309036.99,299579.93,-309036.99,-9457.06,149789.965,-154518.495,-4728.53,-4499.045031778339,1868-04-21,1891-09-14,liberal,1835-06-30,1892-10-24,6910,20936,11984,18894,1636,Appingedam,0,3.6,65.9,24.1,6.3,APPINGEDAM,0.09384,4.36,NA,NA,NA,1886-06-15,3537,2299,0.6499858637263217,0,0,D. de Ruiter Zijlker,1507,0.060084090600840905,0.20439441204394412,306164,0.08263545028154845,0.0014012098091219086,0.09526266968030206,0.6832481937784978,0.0608726042251865,0.0382507414326962,0.001005996786036242,0,0.03732313400661084,0.8407846774931083,0.03925673821873244,0.7229001450203159,0.1571412706915248,-3695.667309830001
Kist,1,Kieswet 1887,1887-03-23,Tweede Kamer,00701,19000,0,6970,4294,4909,3956,7825,701,2983,-1671.63,50576.98,-1671.63,48605.34,50276.98,-1671.63,48605.34,43336.14394154672,1881-09-19,1888-03-26,liberal,1836-12-25,1912-06-02,2011,27552,16339,18350,369,Amsterdam,3,22.9,40.2,8.1,28.7,AMSTERDAM,12.03224,6.13,0.298372234843154,0.695784161958947,0.00584360319789845,1886-06-15,6059,3335,0.550420861528305,0,0,H.J. Kist,2346,0.002088681954658196,0.10208433053391933,50638,0.3752122911647379,0,0.13764366681148543,0.08479797780323077,0.0969430072277736,0.07812314862356333,0.15452821991389865,0.013843358742446384,0.05890832971286386,0.3193846518424898,0.232651368537462,0.1629211264267941,0.3891148939531577,15437.388602945472
De Meijier,1,Kieswet 1887,1887-03-23,Tweede Kamer,00917,240000,30150,41110.725,133119.7,72895.015,64083.65,1484.5,2000,12851.75,-1398.04,188847.0325,-579.045,187738.51,188847.03,-1108.52,187738.57,173921.01133027382,1877-12-10,1894-03-19,confessional,1836-07-20,1909-03-23,3390,26543,15118,18508,2553,Haarlem,0,37.7,42.9,3.4,16,HAARLEM,1.25812,6.15,0.328900157872076,0.631153422953643,0.0399464191742812,1886-06-15,3392,2289,0.6748231132075472,0,0,W. de Meijier,1334,0.09762651141961487,0.2987012987012987,597695.34,0.40154236437580393,0.05044375952471037,0.06878207382376446,0.2227216628458238,0.12196015280962372,0.10721791807846454,0.0024837068329828372,0.003346186369798366,0.021502175339028075,0.46390764900392234,0.10970162491144736,0.3803833404489987,0.193225933466371,70355.67798006852
Verniers van der Loeff,1,Kieswet 1887,1887-03-23,Tweede Kamer,00273,438401,2807,139865,49123,20546,46618,0,8886,23330,-8520,724127.4,-8923.8,715203.6,724127.4,-8923.8,715203.6,678486.4299444731,1875-09-20,1887-08-16,confessional,1821-11-26,1889-03-16,4202,24582,19656,23858,146,Almelo,1,50.9,41.3,4.7,3,ALMELO,NA,3.64,0.441624365482233,0.541355628545835,0.0170200059719319,1886-06-15,2786,2680,0.9619526202440776,0,0,J.R. Corver Hooft,1405,0.005091577681917828,0.04967824057704547,729576,0.6008983299889251,0.0038474401570227092,0.1917072381766944,0.06733088807745868,0.028161562332094256,0.06389738697544875,0,0.012179676963057995,0.031977477329298114,0.29104712874327004,0.06389738697544875,0.13507571520993014,0.21986880050878865,600896.5039425602
Mees,1,Kieswet 1887,1887-03-23,Tweede Kamer,00889,0,22456,7572,216713.1,14406,94026,0,650,5520,-3982.97,370399.09,-3982.97,366416.12,370399.09,-3982.97,366416.12,318232.4003098661,1873-10-04,1905-09-18,liberal,1834-07-05,1915-06-04,4918,29553,14336,19254,6753,Rotterdam,0,26.9,55.7,7.5,10,ROTTERDAM,5.11721,4.4,0.279048857111906,0.707138988191962,0.0138121546961326,1886-06-15,3768,2289,0.607484076433121,0,0,R.P. Mees,1476,1.1148272017837236e-4,0.1645484949832776,361343.1,0,0.06214592170156287,0.02095515314945823,0.5997432910715605,0.03986792607911982,0.2602125237758795,0,0.001798844367029563,0.015276339855389518,0.7227122920017015,0.2602125237758795,0.9221017365490028,0.06082307922857805,117091.80053117311
Van Gennep,1,Kieswet 1887,1887-03-23,Tweede Kamer,00444,12000,625,5083,1802,123,28830,157,3000,3336,-35405.24,54889.76,-35405.24,19454.52,54889.76,-35405.24,19484.52,18087.115890650115,1878-11-19,1897-04-06,liberal,1830-02-14,1911-06-08,3046,29698,17810,20856,3667,Rotterdam,0,26.9,55.7,7.5,10,ROTTERDAM,5.11721,4.4,0.279048857111906,0.707138988191962,0.0138121546961326,1886-06-15,3768,2289,0.607484076433121,0,0,J. van Gennep,1469,3.3444816053511704e-4,0.16376811594202897,54956,0.2183565033845258,0.011372734551277386,0.09249217555862872,0.032789868258242955,0.0022381541596913895,0.5246014993813233,0.002856830919280879,0.05458912584613145,0.06070310794089817,0.13889293252784046,0.5274583303006041,0.5687641021908436,0.09758716063760099,6990.312327470064
Van der Feltz,1,Kieswet 1887,1887-03-23,Tweede Kamer,00400,258705,46919.9,96603.765,148783.135,32028.125,93930.925,4978.15,1073.36,22919.75,-6793.175,703871.52,-4722.585,699148.935,703871.52,-4722.585,699148.935,643709.159667791,1877-12-17,1894-03-19,liberal,1824-03-01,1910-12-02,3383,31686,19649,23032,2553,Assen,0,5.2,81.5,8,5.3,ASSEN,0.17645,4.64,0.307319223985891,0.531305114638448,0.161375661375661,1886-06-15,2806,1585,0.5648610121168923,0,0,W.A. baron van der Feltz,1058,0.001651073197578426,0.11645569620253164,705942.11,0.36646772636923447,0.06646423174840782,0.13684374912838107,0.21075826600002656,0.045369336304360706,0.13305754631920172,0.007051782192168703,0.001520464617134116,0.03246689732108487,0.4594355831811762,0.14010932851137042,0.41028004406763613,0.18926486762491052,256167.65238431896
Meesters,1,Kieswet 1887,1887-03-23,Tweede Kamer,00894,26847,0,31227,6424,22331,4581,2760,220,3152,-552.97,100239.22,-552.97,99463.14,100239.72,-776.07,99463.64,99463.64,1886-07-14,1888-03-26,liberal,1822-11-11,1900-11-27,252,28505,23256,23508,369,Steenwijk,1,5,71.7,15.9,7.4,STEENWIJK,0.09053,4.21,0.365877712031558,0.529092702169625,0.105029585798817,1886-06-15,1725,1572,0.9113043478260869,0,0,J.R. Meesters,820,0.05060858424087124,0.5253042921204356,97542,0.27523528326259455,0,0.32013901703881403,0.06585880953845523,0.22893727830062946,0.04696438457279941,0.02829550347542597,0.002255438682823809,0.032314285128457486,0.6149351048778987,0.07525988804822538,0.11282319411125463,0.5773717988148694,58242.331409451304
Van der Borch van Verwolde,1,Kieswet 1887,1887-03-23,Tweede Kamer,00163,890249.085,5081,9920.625,148455.69,11637,9518.26,14536.89,750,6271.995,-352374.95,877446.51,-532164.99,345281.52,877446.51,-532164.99,345281.52,181976.63995591857,1884-07-29,1913-09-15,confessional,1842-02-01,1919-05-11,967,28222,15519,16486,9672,Zevenbergen,0,66.4,26,7.1,0.5,ZEVENBERGEN,0.10745,3.17,0.415221863062004,0.297090802233324,0.287687334704672,1886-06-15,2244,1468,0.6541889483065954,0,0,A.Ph.R.C. baron van der Borch van Verwolde,1104,0.0057028112449799195,0.02216867469879518,1096420.545,0.8119595068332106,0.004634170732362553,0.009048193273321051,0.1354003175852565,0.010613628185889203,0.008681212736669396,0.013258498362049573,6.840440955071669e-4,0.005720428195733965,0.1596963097768293,0.02193971109871897,0.14871570105428847,0.03292031982125983,38918.33753758313
Schepel,1,Kieswet 1887,1887-03-23,Tweede Kamer,01191,12200,915,6462,7856,2487,13829,0,430,2067,-29504,20722.54,-594,20128.53,20722.54,-594,20128.53,18647.070200821046,1874-04-29,1901-09-16,liberal,1833-11-23,1909-03-02,4711,27492,14767,19478,5290,Appingedam,0,3.6,65.9,24.1,6.3,APPINGEDAM,0.09384,4.36,NA,NA,NA,1886-06-15,3537,2299,0.6499858637263217,0,0,J. Schepel,1517,0.002229157378510923,0.338163174320107,46246,0.2638065994896856,0.019785494961726418,0.13973100376248757,0.16987415127794836,0.05377762401072525,0.29903126756908704,0,0.009298101457423345,0.044695757470916406,0.3831682740128876,0.29903126756908704,0.48869091380876184,0.19350862777321282,7711.9047236298475
Buteux,1,Kieswet 1887,1887-03-23,Tweede Kamer,00242,368960,3975,51732,104293.59,0,102598,13950,3352.1,9534.35,-7400.06,658396.34,-7400.06,650996.28,658396.34,-7400.06,650996.28,650996.28,1886-07-14,1888-03-26,liberal,1828-04-13,1900-01-07,252,26201,21276,21528,369,Middelburg,0,11.2,67.8,15,6.1,MIDDELBURG,0.58078,5.36,0.290065050266115,0.649911295091662,0.0600236546422235,1886-06-15,2929,2728,0.9313758962103107,0,0,J.P.I. Buteux,1441,0.005950167348456675,0.26794347341018965,658395.04,0.5603930430581615,0.006037408787283695,0.07857288839843021,0.15840579540210387,0,0.15583045704597046,0.02118788744216542,0.005091320250529226,0.014481199615355546,0.24301609258781778,0.17701834448813586,0.320273661235358,0.09976077584059563,362293.3239332612
Van Aylva van Pallandt,1,Kieswet 1887,1887-03-23,Tweede Kamer,00046,342886.71,0,0,42897.51,0,478.82,0,6050,34020,-57631.76,378051.85,-57631.76,320420.09,378051.85,-57631.76,320420.09,292561.86744263425,1884-11-17,1888-03-26,confessional,1826-09-20,1906-01-27,856,28983,21243,22099,369,Tiel,0,13.6,82.7,2.1,1.6,TIEL,0.19616,4,0.355354288758657,0.540490143846564,0.104155567394779,1886-06-15,3401,3187,0.9370773301970009,0,0,F.W.J. van Aylva baron van Pallandt,1602,0.00555643752976663,0.2543260835053183,426333.04000000004,0.8042696151346843,0,0,0.1006197173927688,0,0.0011231125788421182,0,0.014190783806012313,0.07979677108769237,0.1006197173927688,0.0011231125788421182,0.10174282997161092,0,130822.07903613237
Buma,1,Kieswet 1887,1887-03-23,Tweede Kamer,00239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1882-01-27,1888-03-26,confessional,1820-03-18,1893-11-29,1881,26919,22595,24476,369,Sneek,2,14.6,58.1,15.9,11.4,SNEEK,0.24409,4.96,0.309283196239718,0.634312573443008,0.0564042303172738,1886-10-19,5015,4093,0.8161515453639083,0,0,A. Buma,2291,0.001555337262606418,0.18754092992796334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Th. Mackay,1,Kieswet 1887,1887-03-23,Tweede Kamer,00864,31000,45475,4628,139332,34,31571,1050,0,20000,-17559.36,273101.15,-17559.36,255541.79,277056.14,-17413.25,259640.89,133419.71600312283,1882-06-28,1896-12-31,confessional,1840-04-24,1922-11-29,1729,30168,15405,17134,3571,Hilversum,0,36.7,50.8,6.3,6.2,HILVERSUM,0.27174,7.05,0.441309090909091,0.490327272727273,0.0683636363636364,1886-06-15,2370,1945,0.820675105485232,0,0,Th.Ph. baron Mackay,1160,0.04300838112042347,0.12792236435818263,273090,0.11351569079790545,0.1665201948075726,0.016946794097184078,0.5102054267823795,1.245010802299608e-4,0.11560657658647332,0.003844886301219378,0,0.07323592954703577,0.6937969167673661,0.1194514628876927,0.7923321981764253,0.020916181478633417,43342.388977165094
Rooseboom,1,Kieswet 1887,1887-03-23,Tweede Kamer,01130,0,21639,6952,58472,61344,75697,572,9559,17448,-4466.19,255654.03,-4466.19,251187.84,255654.03,-4466.19,251187.84,122929.5339279622,1884-11-17,1891-09-14,liberal,1843-03-09,1920-03-06,856,28121,15229,16085,1636,Arnhem,0,40.9,45.6,3.9,9.6,ARNHEM,2.11668,5.59,0.297175541607613,0.641526624822839,0.0612978335695485,1886-11-23,3891,1272,0.3269082498072475,0,0,W. Rooseboom,1836,0.0013818736300390737,0.08748689602592204,251683,0,0.08597720147963907,0.027622048370370664,0.23232399486655833,0.24373517480322468,0.3007632617220869,0.00227270018237227,0.03798031650925966,0.0693253020664884,0.5896584195197928,0.3030359619044592,0.6190644580682844,0.27362992335596764,42214.82281130821
