politician,vote,law,date,house,b1_nummer,re,dugobo,fogobo,duprbo,foprbo,dush,fosh,cash,misc,debt,ta11,tl11,nw11,ta0,tl0,nw0,w_deflated,begin_periode,einde_periode,class,date_of_birth,date_of_death,tenure,age_of_death,age_of_entrance,age_of_vote,long_elec_horiz,kiesdistrict,strikes,rk_pct,hervormd_pct,gereformeerd_pct,overig_pct,kiesdistrict_corrected,aandeel_gem,percentage_aangesl,industry_share,services_share,agricul_share,side,kiesgerechtigden,opkomst,turnout,socialistdum,socialistpercentage,truename,aantal_stemmen,ncm,tvs,total,share_re,share_dugobo,share_fogobo,share_duprbo,share_foprbo,share_dush,share_fosh,share_cash,share_misc,share_bonds,share_shares,share_domestic,share_foreign,wealth_timevote
Lenting,1,Kieswet 1872,1874-06-19,Tweede Kamer,00808,0,5717.5,71039.42,47160.82,0,62369.615,0,3564.28,4570.445,-95345.255,39434.045,-18025.27,21408.775,39434.045,-18025.27,21408.775,16723.800192236242,1868-03-02,1881-11-19,liberal,1822-06-13,1881-11-20,2300,21710,16699,18999,2710,Zutphen,1,21.3,71.3,3.1,4.3,ZUTPHEN,0.47346,5.91,0.225923134890731,0.707159005275056,0.0669178598342125,1873-06-10,3074,2377,0.7732595966167859,0,0,L.E. Lenting,1210,0.2054912054912055,0.5190905190905191,194422.08,0,0.0294076681002487,0.36538761441087353,0.24256925962318684,0,0.3207949169147866,0,0.01833269143093213,0.02350784951997222,0.637364542134309,0.3207949169147866,0.5927718446382222,0.36538761441087353,12014.614665733094
Dam,1,Kieswet 1872,1874-06-19,Tweede Kamer,00285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1866-04-24,1875-06-28,liberal,1824-10-08,1875-06-29,2978,18526,15173,18151,374,Zutphen,1,21.3,71.3,3.1,4.3,ZUTPHEN,0.47346,5.91,0.225923134890731,0.707159005275056,0.0669178598342125,1873-06-10,3074,2377,0.7732595966167859,0,0,J. Dam,1301,0.39753537197626654,0.5937927886809676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idzerda,1,Kieswet 1872,1874-06-19,Tweede Kamer,00625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1858-09-20,1881-09-17,liberal,1816-08-13,1881-12-06,5751,23856,15378,21129,2647,Sneek,2,14.6,58.1,15.9,11.4,SNEEK,0.24409,4.96,0.309283196239718,0.634312573443008,0.0564042303172738,1873-06-10,4153,2556,0.615458704550927,0,0,W.H. Idzerda,1419,0.0038892345986309895,0.22075295581829496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gevers Deynoot,1,Kieswet 1872,1874-06-19,Tweede Kamer,00455,207531,23741,66598,18858,13819,42795,1620,1426,9912,-1759.89,438929.77,-1759.89,437169.88,438937.08,-1702.49,437224.59,323201.59680929244,1852-09-20,1879-03-24,liberal,1808-09-08,1879-03-25,7942,25765,16083,24025,1739,Dordrecht,0,10.2,78,6.4,5.4,DORDRECHT,1.00232,5.03,0.328899543732117,0.657799087464233,0.0133013688036501,1873-06-10,2137,1413,0.6612072999532054,0,0,W.Th. Gevers Deynoot,892,0.008268091022170191,0.06526670081217531,386300,0.5372275433600828,0.0614574165156614,0.17239968936060057,0.0488169816205022,0.03577271550608335,0.11078177582190007,0.004193631892311675,0.0036914315298990424,0.02565881439295884,0.3184468030028475,0.11497540771421175,0.22105617395806368,0.2123660367589956,243187.9188225257
Mirandolle,1,Kieswet 1872,1874-06-19,Tweede Kamer,00930,37000,0,108600,4824,437245,12843,3887,143,30000,-8933.13,584511.39,-8933.13,575578,585511.39,-8933.13,575578.26,491581.98324464733,1869-02-20,1884-06-20,confessional,1827-09-28,1884-06-21,1945,20721,15121,17066,3654,Haarlem,1,37.7,42.9,3.4,16,HAARLEM,1.25812,6.15,0.328900157872076,0.631153422953643,0.0399464191742812,1873-06-10,2538,1334,0.5256107171000788,0,0,Ch.J.F. Mirandolle,833,0.3533541341653666,0.6497659906396256,634542,0.05830977303314832,0,0.17114706355134884,0.007602333651673176,0.6890718029697009,0.020239795001749293,0.006125678048103987,2.2535939307405972e-4,0.04727819435120134,0.867821200172723,0.02636547304985328,0.02784212865342247,0.8663445445691538,309060.20217887685
van Akerlaken,1,Kieswet 1872,1874-06-19,Tweede Kamer,00009,350750,34738,264565,11565,3268,17302.25,2700,27816,23734,0,736355,-5003,731352,736230,-4988,731242,695753.3709477694,1850-10-07,1874-09-20,liberal,1815-12-18,1892-01-18,8656,27790,12712,21368,93,Hoorn,0,30.8,57.6,2.2,9.4,HOORN,0.25356,5.55,0.269636267791249,0.659462308908803,0.0709014232999473,1873-06-10,3725,1664,0.44671140939597315,0,0,D. van Akerlaken,1338,0.6886264760720945,0.8315724052206339,736438.25,0.47627890050523586,0.047170282097650416,0.35924940074744893,0.015703964317442774,0.004437575044479289,0.023494502084865906,0.0036662951713874177,0.03777098758789348,0.03222809244359592,0.4265612222070214,0.027160797256253325,0.0863687484999591,0.36735327096331566,325019.2513851484
de Ruiter Zylker,1,Kieswet 1872,1874-06-19,Tweede Kamer,01142,25300,429,29166,209186,18637,11711,308,0,11427,-309036.99,299579.93,-309036.99,-9457.06,149789.965,-154518.495,-4728.53,-4499.045031778339,1868-04-21,1891-09-14,liberal,1835-06-30,1892-10-24,2250,20936,11984,14234,6296,Appingedam,0,3.6,65.9,24.1,6.3,APPINGEDAM,0.09384,4.36,NA,NA,NA,1874-04-21,2968,1994,0.671832884097035,0,0,D. de Ruiter Zijlker,633,0.3881578947368421,0.694078947368421,306164,0.08263545028154845,0.0014012098091219086,0.09526266968030206,0.6832481937784978,0.0608726042251865,0.0382507414326962,0.001005996786036242,0,0.03732313400661084,0.8407846774931083,0.03925673821873244,0.7229001450203159,0.1571412706915248,-2266.1517813055157
Schepel,1,Kieswet 1872,1874-06-19,Tweede Kamer,01191,12200,915,6462,7856,2487,13829,0,430,2067,-29504,20722.54,-594,20128.53,20722.54,-594,20128.53,18647.070200821046,1874-04-29,1901-09-16,liberal,1833-11-23,1909-03-02,51,27492,14767,14818,9950,Appingedam,0,3.6,65.9,24.1,6.3,APPINGEDAM,0.09384,4.36,NA,NA,NA,1874-04-21,2968,1994,0.671832884097035,0,0,J. Schepel,1253,0.26757713707637837,0.6337885685381892,46246,0.2638065994896856,0.019785494961726418,0.13973100376248757,0.16987415127794836,0.05377762401072525,0.29903126756908704,0,0.009298101457423345,0.044695757470916406,0.3831682740128876,0.29903126756908704,0.48869091380876184,0.19350862777321282,4816.763244279285
Wybenga,1,Kieswet 1872,1874-06-19,Tweede Kamer,01572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1855-06-28,1886-09-08,liberal,1804-06-18,1886-09-09,6931,30033,18637,25568,4464,Sneek,2,14.6,58.1,15.9,11.4,SNEEK,0.24409,4.96,0.309283196239718,0.634312573443008,0.0564042303172738,1873-06-10,4153,2556,0.615458704550927,0,0,S. Wybenga,1394,0.057985553772070625,0.27969502407704655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Storm van 'sGravesande,1,Kieswet 1872,1874-06-19,Tweede Kamer,01316,84846,159586,143749,168194,0,34675,0,545,17435,-980.18,539754.3,-980.18,538774.18,539754.3,-980.18,538774.18,395608.1964006222,1847-11-09,1879-09-14,NA,1809-05-16,1880-07-08,9719,25986,14056,23775,1913,Steenwijk,1,5,71.7,15.9,7.4,STEENWIJK,0.09053,4.21,0.365877712031558,0.529092702169625,0.105029585798817,1871-06-13,1416,675,0.4766949152542373,0,0,C.M. Storm van 's-Gravesande,523,0.6286149162861492,0.7960426179604262,609030,0.13931333431850648,0.2620330689785396,0.23602942383790618,0.2761670196870433,0,0.05693479795740768,0,8.948656059635814e-4,0.028627489614633104,0.7742295125034891,0.05693479795740768,0.5951348866229906,0.23602942383790618,295692.96636608295
